,Year,Site,Group.1,Group.2,ActivityStartDate,Day.x,Month.x,Chlorophyll.a..corrected.for.pheophytin,Weight,Temperature..water,pH,Specific.conductance,Turbidity,Dissolved.oxygen..DO.,Dissolved.oxygen.saturation,Oxidation.reduction.potential..ORP.,Ammonia,Nitrate...Nitrite,Orthophosphate,Total.dissolved.solids,Total.Nitrogen..mixed.forms,Total.Phosphorus..mixed.forms,Q_CFS,Days_Since_Peak_Discharge,...1,agency_cd,datetime,Day.y,Month.y,STAT
255,2020,HU,20-Aug,Clark Fork River at Huson,8/6/2020,6,8,35.84619048,11.68714286,18.6,8.075,266.35,1.995,8.7,,,0.009,0.023,0.004,,0.155,0.0125,37300,76,147,USGS,5/22/2020,22,5,A
217,2018,BN,18-Sep,Clark Fork River at Bonita,9/6/2018,6,9,65.22857143,14.67619048,15.15,8.455,459.65,2.8,11.725,116.8,55.35,0.03285,0.0043,0.00245,299,0.24,0.02185,5870,77,64,USGS,6/21/2018,21,6,A
243,2020,BM,20-Aug,Clark Fork River below Missoula,8/7/2020,7,8,55.13571429,17.42095238,17.25,8.265,285.35,2.595,9.295,,,,0.025,0.004,,0.155,0.0205,37300,77,120,USGS,5/22/2020,22,5,A
223,2018,GR,18-Sep,Clark Fork River above Little Blackfoot,9/6/2018,6,9,218.3571905,69.89,12.9,8.285,450.85,3.48,11.13,105.5,61.75,0.0249,0.0893,0.0079,293.15,0.368,0.0319,2450,78,37,USGS,6/20/2018,20,6,A
246,2020,BN,20-Aug,Clark Fork River at Bonita,8/8/2020,8,8,69.39333333,27.51904762,19.55,8.4,481.15,3.015,9.635,,,,,0.0085,,0.205,0.0175,3670,78,66,USGS,5/22/2020,22,5,A
234,2019,FH,19-Aug,Clark Fork River above Flathead,8/6/2019,6,8,11.84385714,9.007,20.55,8.57,247.15,2.32,9.12,101.5,,0.025,0.011666667,0.016666667,160.55,0.136666667,0.008,42000,79,173,USGS,5/19/2019,19,5,A
250,2020,DL,20-Sep,Clark Fork River at Deer Lodge,9/6/2020,6,9,101.8771429,38.15952381,12.75,8.14,485.4,1.305,10.085,,,0.02,0.089666667,0.008333333,,0.253333333,0.013,1590,79,24,USGS,6/19/2020,19,6,A
258,2020,MS,20-Aug,Clark Fork River above Missoula,8/8/2020,8,8,119.3466667,117.93375,18.3,8.365,297.3,2.775,10.23,,,0.007,0.003,0.0045,,0.2,0.016,20000,79,93,USGS,5/21/2020,21,5,A
161,2014,MS,14-Aug,Clark Fork River above Missoula,8/15/2014,15,8,92.16666667,36.31666667,17.4,7.91,301.15,1.55,8.325,,248,0.01265,0.0019,0.0043,195.95,0.1515,0.01155,17100,80,87,USGS,5/27/2014,27,5,A
238,2019,HU,19-Aug,Clark Fork River at Huson,8/6/2019,6,8,27.65980952,9.0455,20.4,8.485,274.9,1.71,9.745,107.35,,0.03,0.0425,0.0155,178.75,0.19,0.014,34000,80,146,USGS,5/18/2019,18,5,A
67,2008,BM,8-Aug,Clark Fork River below Missoula,8/10/2008,10,8,62.85,15.315,15.86666667,8.443333333,265.6666667,2.593333333,8.353333333,84.16666667,-55.26666667,0,0.042333333,,145.4666667,0.242333333,0.013333333,35500,81,108,USGS,5/21/2008,21,5,A
79,2008,MS,8-Aug,Clark Fork River above Missoula,8/10/2008,10,8,64.80015,29.22,16.2,8.273333333,276,1.636666667,7.88,79.93333333,-47.7,0,0.008333333,,146.3,0.141666667,0.009666667,16800,81,81,USGS,5/21/2008,21,5,A
228,2019,BM,19-Aug,Clark Fork River below Missoula,8/7/2019,7,8,42.20480952,15.06725,18.55,8.685,299.05,2.9,10.075,107.65,,0.03,0.0445,0.0135,194.35,0.17,0.014,34000,81,119,USGS,5/18/2019,18,5,A
241,2019,MS,19-Aug,Clark Fork River above Missoula,8/7/2019,7,8,108.2,53.43619048,18.05,8.52,303.85,2.195,9.745,103.45,,0.02,,0.014,197.655,0.13,0.014,16200,81,92,USGS,5/18/2019,18,5,A
74,2008,FH,8-Aug,Clark Fork River above Flathead,8/11/2008,11,8,3.9001,3.295,19.46666667,8.676666667,221,1.363333333,8.593333333,93.7,-77.2,0.01,0.016,,117.3333333,0.149333333,0.0085,45700,82,162,USGS,5/21/2008,21,5,A
77,2008,HU,8-Aug,Clark Fork River at Huson,8/11/2008,11,8,11.05,6.205,17.7,8.493333333,243.3333333,2.423333333,8.733333333,91.46666667,-57.9,0.015,0.0785,,129,0.2785,0.01525,35500,82,135,USGS,5/21/2008,21,5,A
108,2010,MS,10-Sep,Clark Fork River above Missoula,9/8/2010,8,9,71.9826087,30.72727273,13.26666667,7.723333333,304,2.28,9.063333333,,-31.76666667,0.00605,0.002466667,0.003833333,162.3333333,0.161666667,0.0121,10100,82,83,USGS,6/18/2010,18,6,A
158,2014,FH,14-Aug,Clark Fork River above Flathead,8/16/2014,16,8,17.3955814,12.65294118,19.2,8.176666667,237.7333333,1.44,8.4,,175.6666667,0.0134,0.008733333,0.003366667,154.6666667,0.178666667,0.009733333,41000,82,168,USGS,5/26/2014,26,5,A
160,2014,HU,14-Aug,Clark Fork River at Huson,8/16/2014,16,8,22.30964286,9.134210526,19.23333333,8.083333333,255.9,1.646666667,9.203333333,,209.1666667,0.0109,0.0214,0.0042,166.4,0.170666667,0.0152,33400,82,141,USGS,5/26/2014,26,5,A
98,2010,BN,10-Sep,Clark Fork River at Bonita,9/9/2010,9,9,138.3571429,82.45,14.3,8.206666667,455.6666667,3.666666667,9.546666667,,-58.46666667,0.006,0.0029,0.0118,245,0.234,0.0292,4130,83,56,USGS,6/18/2010,18,6,A
104,2010,GR,10-Sep,Clark Fork River above Little Blackfoot,9/9/2010,9,9,119.4666667,59.95,14.53333333,8.443333333,426.3333333,3.786666667,10.14666667,,-72.03333333,0.0103,0.033566667,0.018133333,226.3333333,0.281,0.037633333,1980,83,29,USGS,6/18/2010,18,6,A
137,2013,BM,13-Aug,Clark Fork River below Missoula,8/6/2013,6,8,22.80952381,8.047619048,17.4,8.36,271,2.91,8.475,,-457.7,0.013555,0.031145,0.003685,176.1,0.271875,0.013125,25600,83,113,USGS,5/15/2013,15,5,A
197,2017,BM,17-Sep,Clark Fork River below Missoula,9/5/2017,5,9,175.8380952,47.01904762,12.15,8.09,303.2,3.085,9.12,84.65,200.55,0.0091,0.0281,0.0041,197,0.2285,0.01695,29200,83,117,USGS,6/14/2017,14,6,A
210,2017,HU,17-Sep,Clark Fork River at Huson,9/5/2017,5,9,35.18571429,12.17142857,15.05,8.145,275.3,2.1265,9.97,99.25,217.4,0.01375,0.08665,0.0013,178.75,0.309,0.0104,29200,83,144,USGS,6/14/2017,14,6,A
213,2017,MS,17-Sep,Clark Fork River above Missoula,9/5/2017,5,9,68.82857143,47.53333333,12.4,8.32,306.15,2.64,9.685,90.45,165.5,0.0096,0.00395,0.0019,198.9,0.2105,0.014,14700,83,90,USGS,6/14/2017,14,6,A
100,2010,DL,10-Sep,Clark Fork River at Deer Lodge,9/9/2010,9,9,155.67,46,14.9,8.513333333,415,4.18,9.973333333,,-75.13333333,0.008466667,0.070033333,0.020466667,220.6666667,0.323,0.0379,1470,84,14,USGS,6/17/2010,17,6,A
200,2017,BN,17-Sep,Clark Fork River at Bonita,9/6/2017,6,9,58.45238095,31.16190476,12.9,8.225,506.3,5.275,9.495,89.6,192.85,0.0114,0.01095,0.00675,329.2,0.3345,0.0328,5140,84,63,USGS,6/14/2017,14,6,A
203,2017,DL,17-Sep,Clark Fork River at Deer Lodge,9/6/2017,6,9,76.86666667,61.25238095,10.65,8.185,471.1,2.2,10.785,97.2,217.1,0.0101,0.21265,0.0034,306.15,0.513,0.01785,1560,84,21,USGS,6/14/2017,14,6,A
208,2017,GR,17-Sep,Clark Fork River above Little Blackfoot,9/6/2017,6,9,77.34090909,139.9227273,10.9,8.23,487.1,2.665,10.875,98.55,214.5,0.0137,0.1808,0.0109,316.6,0.523,0.035,1840,84,36,USGS,6/14/2017,14,6,A
152,2013,MS,13-Aug,Clark Fork River above Missoula,8/7/2013,7,8,74.38095238,34.47619048,16.4,8.205,275.75,2.225,8.375,,-448.15,0.01299,0.002025,0.00333,179.45,0.155005,0.01165,12300,85,86,USGS,5/14/2013,14,5,A
114,2011,DL,11-Sep,Clark Fork River at Deer Lodge,9/8/2011,8,9,38.05015,11.11111111,11.65,8.445,375.15,2.475,10.065,,250.55,0.0075,0.11425,0.0136,244.05,0.3315,0.02905,1960,86,15,USGS,6/14/2011,14,6,A
281,2022,BN,22-Sep,Clark Fork River at Bonita,9/7/2022,7,9,87.89594762,43.23809524,16.55,8.395,531.9,4.03,11.495,,,,,0.00145,,0.22,0.0165,2170,86,68,USGS,6/13/2022,13,6,A
224,2018,HU,18-Aug,Clark Fork River at Huson,8/6/2018,6,8,26.85714286,10.13809524,17.3,8.165,255.6,2.145,9.05,94.55,14.55,0.0158,0.05845,0.0018,166.1,0.2345,0.0171,51200,87,145,USGS,5/11/2018,11,5,A
278,2022,BM,22-Sep,Clark Fork River below Missoula,9/8/2022,8,9,116.1640619,21.04761905,15.05,8.295,313.25,3.055,11.375,,,,0.033,0.0015,,0.185,0.0145,28700,87,122,USGS,6/13/2022,13,6,A
286,2022,FH,22-Sep,Clark Fork River above Flathead,9/8/2022,8,9,20.48092381,9.674761905,15.05,8.24,255,1.835,10.48,,,,0.011,0.001,,0.25,0.026,35700,87,176,USGS,6/13/2022,13,6,A
289,2022,GR,22-Sep,Clark Fork River above Little Blackfoot,9/8/2022,8,9,99.26024091,102.8636364,15.7,8.48,524.55,1.195,12.59,,,,,0.0013,,0.233333333,0.012666667,923,87,41,USGS,6/13/2022,13,6,A
291,2022,HU,22-Sep,Clark Fork River at Huson,9/8/2022,8,9,68.8747619,23.04761905,15.65,8.24,279.9,2.265,12.57,,,,0.0075,0.0014,,0.2,0.0115,28700,87,149,USGS,6/13/2022,13,6,A
293,2022,MS,22-Sep,Clark Fork River above Missoula,9/7/2022,7,9,95.71087619,40.71428571,14.9,8.365,319.15,3.73,11.88,,,,,,,0.115,0.008,11800,87,95,USGS,6/12/2022,12,6,A
125,2012,BN,12-Jul,Clark Fork River at Bonita,7/25/2012,25,7,216.1428571,122.7619048,19.26666667,8.42,408.6,1.72,9.056666667,,130.1666667,0.007776667,0.00277,0.003773333,265.6666667,0.253406667,0.013036667,2180,88,58,USGS,4/28/2012,28,4,A
220,2018,FH,18-Aug,Clark Fork River above Flathead,8/8/2018,8,8,14.40485714,7.945,17.95,8.33,239.15,0.98,8.545,90.1,9.85,0.01175,0.024333333,,155.35,0.164333333,0.010366667,59700,88,172,USGS,5/12/2018,12,5,A
254,2020,GR,20-Sep,Clark Fork River above Little Blackfoot,9/5/2020,5,9,147.9741667,66.27791667,12.35,8.265,489.1,2.4,10.695,,,0.02,0.036,0.013666667,,0.25,0.022333333,2040,88,39,USGS,6/9/2020,9,6,A:R
284,2022,DL,22-Sep,Clark Fork River at Deer Lodge,9/8/2022,8,9,208.5242,201.6956522,14.1,8.28,537.3,1.94,8.045,,,,0.1495,9.00E-04,,0.395,0.008,856,88,26,USGS,6/12/2022,12,6,A:e
128,2012,DL,12-Sep,Clark Fork River at Deer Lodge,9/3/2012,3,9,180.7142857,58.33333333,12.35,8.51,412.25,2.33,10.6,,181.75,0.00847,0.1038,0.003035,268.1,0.355545,0.017345,781,89,16,USGS,6/6/2012,6,6,A
132,2012,GR,12-Sep,Clark Fork River above Little Blackfoot,9/3/2012,3,9,147.7619048,57.0952381,11.75,8.465,438.15,2.275,10.95,,182.45,,,0.0035,284.7,0.27037,0.02242,999,89,31,USGS,6/6/2012,6,6,A
226,2018,MS,18-Aug,Clark Fork River above Missoula,8/8/2018,8,8,97.54761905,22.12380952,17.05,8.375,283.15,1.505,9.57,98.85,7.95,0.0118,0.0039,0.0033,183.95,0.1385,0.01545,31500,89,91,USGS,5/11/2018,11,5,A
112,2011,BN,11-Sep,Clark Fork River at Bonita,9/8/2011,8,9,59.61919048,17.2,13.05,8.43,426.6,3.77,9.645,,251.7,0.0062,0.00355,0.0194,277.25,0.2355,0.04135,7740,90,57,USGS,6/10/2011,10,6,A
118,2011,GR,11-Sep,Clark Fork River above Little Blackfoot,9/8/2011,8,9,46.61933333,16.66666667,11.8,8.565,383.05,2.82,11.215,,242.75,0.0127,0.0564,0.01565,248.95,0.3045,0.0323,2560,90,30,USGS,6/10/2011,10,6,A
214,2018,BM,18-Aug,Clark Fork River below Missoula,8/9/2018,9,8,38.462,11.46315789,15.8,8.335,285.65,2.31,8.935,90.15,2.65,0.0205,0.02865,0.00485,185.6,0.1805,0.01745,51200,90,118,USGS,5/11/2018,11,5,A
116,2011,FH,11-Sep,Clark Fork River above Flathead,9/9/2011,9,9,14.95238095,6.666666667,14.95,8.505,223.5,1.29,9.1,,240.95,0.00635,0.02435,0.0045,145.25,0.149,0.00805,54700,91,165,USGS,6/10/2011,10,6,A
267,2021,DL,21-Sep,Clark Fork River at Deer Lodge,9/5/2021,5,9,99.07145238,30.80952381,9.65,8.19,532.6,2.98,11.185,,,0,0.119,,,0.31,0.012,590,91,25,USGS,6/6/2021,6,6,A
120,2011,HU,11-Sep,Clark Fork River at Huson,9/9/2011,9,9,60,10.66666667,14.05,8.4,241.1,1.85,9.485,,241.65,0.01105,0.036,0.00495,156.65,0.215,0.01425,46600,92,138,USGS,6/9/2011,9,6,A
122,2011,MS,11-Sep,Clark Fork River above Missoula,9/10/2011,10,9,51.47619048,25.33333333,12.1,8.36,277,2.06,9.58,,243.6,0.0088,0.0029,0.0068,180,0.146,0.0135,28100,92,84,USGS,6/10/2011,10,6,A
272,2021,GR,21-Sep,Clark Fork River above Little Blackfoot,9/6/2021,6,9,144.8571429,46.80952381,10.55,8.52,509.45,1.985,13.315,,,0.01,0.034,0.002,,0.225,0.0155,577,92,40,USGS,6/6/2021,6,6,A
70,2008,BN,8-Sep,Clark Fork River at Bonita,9/7/2008,7,9,246.50005,61.085,13.05,8.66,470,5.465,9.65,90.2,-60.55,0,0.005,,249.5,0.205,0.038,3100,93,54,USGS,6/6/2008,6,6,A
110,2011,BM,11-Sep,Clark Fork River below Missoula,9/10/2011,10,9,39.33333333,8.428571429,12.35,8.395,276.55,2.08,9.615,,243.55,0.0072,0.0496,0.0066,179.7,0.201666667,0.013033333,46600,93,111,USGS,6/9/2011,9,6,A
269,2021,FH,21-Sep,Clark Fork River above Flathead,9/7/2021,7,9,50.76190476,19.23809524,13.45,8.305,269.7,2.635,9.54,,,0.02,0.01,,,0.115,0.0105,31700,93,175,USGS,6/6/2021,6,6,A
72,2008,DL,8-Sep,Clark Fork River at Deer Lodge,9/7/2008,7,9,200.85,45.145,11.9,8.985,464,3.64,10.375,97.75,-75.9,0.01,0.061,,251,0.311,0.0255,957,94,12,USGS,6/5/2008,5,6,A
101,2010,FH,10-Sep,Clark Fork River above Flathead,9/9/2010,9,9,36.90952381,24,16.3,8.54,243.3333333,1.736666667,8.903333333,,-78.36666667,0.0094,0.009166667,0.0032,129.3333333,0.157666667,0.0098,26400,94,164,USGS,6/7/2010,7,6,A
106,2010,HU,10-Sep,Clark Fork River at Huson,9/8/2010,8,9,93.32857143,24.15,14.63333333,8.38,268,3.753333333,9.136666667,,-68.73333333,,0.02725,0.003025,143.0333333,0.22025,0.014425,23100,94,137,USGS,6/6/2010,6,6,A
274,2021,HU,21-Sep,Clark Fork River at Huson,9/7/2021,7,9,363.7142857,64.80952381,12.25,7.895,300.7,2.11,9,,,0,0.0145,,,0.155,0.012,28200,94,148,USGS,6/5/2021,5,6,A
96,2010,BM,10-Sep,Clark Fork River below Missoula,9/9/2010,9,9,138.8285714,31.95,13.06666667,8.236666667,303.6666667,3.986666667,8.963333333,,-61.33333333,0.031925,0.05925,0.00685,161.3333333,0.26475,0.01965,23100,95,110,USGS,6/6/2010,6,6,A
204,2017,FH,17-Sep,Clark Fork River above Flathead,9/6/2017,6,9,20.43333333,11.72857143,14.55,8.215,250.4,1.435,9.27,90.7,208.55,0.0185,0.0218,,162.85,0.1825,0.00965,34500,95,171,USGS,6/3/2017,3,6,A
276,2021,MS,21-Sep,Clark Fork River above Missoula,9/8/2021,8,9,103.7619048,46.33333333,11.85,7.935,326.75,3.57,9.96,,,0,,,,0.115,0.0105,13500,95,94,USGS,6/5/2021,5,6,A
141,2013,BN,13-Sep,Clark Fork River at Bonita,9/4/2013,4,9,119.6190476,63.47619048,15.75,8.28,520,7.23,8.29,,-445.55,0.011295,0.001225,0.00701,338,0.236165,0.028765,1080,96,59,USGS,5/31/2013,31,5,A
149,2013,GR,13-Sep,Clark Fork River above Little Blackfoot,9/3/2013,3,9,150.0689655,71.71428571,14.9,8.265,499.15,2.085,10.1,,-411.05,0.00904,0.009025,0.016175,324.35,0.27177,0.029835,394,96,32,USGS,5/30/2013,30,5,A
92,2009,HU,9-Sep,Clark Fork River at Huson,9/6/2009,6,9,51.33333333,14.57894737,18.9,8.393333333,266.3333333,2.296666667,8.563333333,,-67.6,0.01073,0.015222,0.00297,141.5666667,0.2265,0.0130675,35300,97,136,USGS,6/1/2009,1,6,A
144,2013,DL,13-Sep,Clark Fork River at Deer Lodge,9/4/2013,4,9,168.1153846,80.96153846,14.9,8.23,496.95,4.055,10.325,,-435.55,0.015045,0.19883,0.008675,323.05,0.451905,0.020785,349,97,17,USGS,5/30/2013,30,5,A
180,2015,MS,15-Sep,Clark Fork River above Missoula,9/8/2015,8,9,76.0952381,27.95238095,12.65,8.13,303.3,4.785,8.85,83.4,139.6,0.00715,,0.0017,196.9,0.232,0.0203,7010,97,88,USGS,6/3/2015,3,6,A
86,2009,DL,9-Sep,Clark Fork River at Deer Lodge,9/7/2009,7,9,502.9047619,91.8,17.66666667,8.503333333,434.6666667,2.24,9.87,,-77.56666667,0.011886667,0.057916667,0.00663,231,0.289666667,0.01827,1140,98,13,USGS,6/1/2009,1,6,A
88,2009,FH,9-Sep,Clark Fork River above Flathead,9/7/2009,7,9,51.61904762,19.1,20.16666667,8.5,249.3333333,1.36,8.6,,-74.26666667,0.0119625,0.006725,0.00315,132.6,0.157,0.008326667,42500,98,163,USGS,6/1/2009,1,6,A
90,2009,GR,9-Sep,Clark Fork River above Little Blackfoot,9/7/2009,7,9,126.2857143,60.65,17.73333333,8.35,446.6666667,2.326666667,8.793333333,,-66.86666667,0.00843,0.00605,0.008946667,237.3333333,0.233666667,0.020806667,1420,98,28,USGS,6/1/2009,1,6,A
170,2015,DL,15-Sep,Clark Fork River at Deer Lodge,9/9/2015,9,9,158.3809524,50.85714286,11.7,8.385,471.1,3.365,10.005,92.3,150.45,0.01455,0.0891,0.0025,306.15,0.389,0.019,628,98,19,USGS,6/3/2015,3,6,A
175,2015,GR,15-Sep,Clark Fork River above Little Blackfoot,9/9/2015,9,9,129.1904762,45.85714286,11.5,8.2,482.45,3.71,9.205,84.5,116.65,0.0139,0.02665,0.0055,313.65,0.366,0.0316,807,98,34,USGS,6/3/2015,3,6,A
177,2015,HU,15-Sep,Clark Fork River at Huson,9/9/2015,9,9,93.76190476,14.04761905,13.85,8.52,261.3,2.905,10.21,98.9,118.5,0.0208,0.02945,0.0018,169.95,0.249,0.01755,15200,98,142,USGS,6/3/2015,3,6,A
233,2019,DL,19-Aug,Clark Fork River at Deer Lodge,8/24/2019,24,8,188.9727273,75.89090909,19.65,8.495,437.3,2.92,9.26,101.7,,0.03,0.1425,0.0285,284.375,0.345,0.0255,1280,98,23,USGS,5/18/2019,18,5,A
237,2019,GR,19-Aug,Clark Fork River above Little Blackfoot,8/24/2019,24,8,128.109619,54.61052632,19.7,8.65,443.9,2.6,9.01,98.7,,0.03,0.074,0.03,288.28,0.31,0.0375,1420,98,38,USGS,5/18/2019,18,5,A
82,2009,BM,9-Sep,Clark Fork River below Missoula,9/8/2009,8,9,360.7619048,40.7,15.6,8.306666667,307,2.133333333,8.573333333,,-62.33333333,0.014858,0.041462,0.012128,162.7666667,0.24775,0.027225,35300,99,109,USGS,6/1/2009,1,6,A
164,2015,BM,15-Sep,Clark Fork River below Missoula,9/10/2015,10,9,76.33333333,16.33333333,13.5,8.435,300.85,4.76,8.6,82.6,152.2,0.011,0.02065,0.0028,195.6,0.251,0.02065,15200,99,115,USGS,6/3/2015,3,6,A
167,2015,BN,15-Sep,Clark Fork River at Bonita,9/10/2015,10,9,57.04761905,26.52380952,13,8.355,479.75,7.275,8.625,81.9,103.9,0.0144,0.0017,0.00505,311.7,0.3535,0.037,1500,99,61,USGS,6/3/2015,3,6,A
171,2015,FH,15-Sep,Clark Fork River above Flathead,9/10/2015,10,9,57.85714286,26.14285714,14.25,8.48,240.5,1.955,9.03,88.2,115.9,0.0061,0.00605,,156.65,0.186666667,0.012033333,17000,99,169,USGS,6/3/2015,3,6,A
155,2014,BM,14-Sep,Clark Fork River below Missoula,9/4/2014,4,9,123.6666667,19.53809524,13.3,8.085,336,2.675,10.12,,232.4,0.01295,0.02715,0.0085,218.4,0.221,0.01925,33400,101,114,USGS,5/26/2014,26,5,A
184,2016,BN,16-Sep,Clark Fork River at Bonita,9/7/2016,7,9,96.27272727,60.10454545,13,8.52,496.95,9.525,8.14,77.2,214.35,0.0191,0.0023,0.00775,323.05,0.288,0.04775,1330,102,62,USGS,5/28/2016,28,5,A
190,2016,GR,16-Sep,Clark Fork River above Little Blackfoot,9/7/2016,7,9,125.1761905,52.92285714,11.2,8.24,489.15,1.21,8.65,78,77.75,0.02415,0.0349,0.00745,317.8,0.2935,0.0227,598,102,35,USGS,5/28/2016,28,5,A
264,2021,BN,21-Sep,Clark Fork River at Bonita,9/6/2021,6,9,185.7619048,66.61904762,11.95,8.45,528.4,4.66,10.97,,,0.02,,8.00E-04,,0.18,0.0195,1650,102,67,USGS,5/27/2021,27,5,A
94,2009,MS,9-Sep,Clark Fork River above Missoula,9/6/2009,6,9,148.0454545,41.71428571,15.66666667,7.853333333,301.6666667,1.793333333,8.623333333,,-39.56666667,0.010395,0.003896,0.003465,160.0666667,0.161666667,0.010663333,17300,103,82,USGS,5/26/2009,26,5,A
123,2012,BM,12-Aug,Clark Fork River below Missoula,8/9/2012,9,8,32.76190476,12.04761905,16.13333333,8.25,246.5,2.576666667,8.993333333,,168.9333333,0.01026,0.035916667,0.005,160.1,0.21563,0.01575,33700,103,112,USGS,4/28/2012,28,4,A
129,2012,FH,12-Aug,Clark Fork River above Flathead,8/9/2012,9,8,6.905333333,16.14,19.06666667,8.486666667,207.6666667,0.823333333,8.306666667,,94.43333333,0.007663333,0.010085,0.004166667,134.9666667,0.165765,0.0082,42200,103,166,USGS,4/28/2012,28,4,A
230,2019,BN,19-Jul,Clark Fork River at Bonita,7/20/2019,20,7,66.46302128,72.5528,18.65,8.58,423.5,4.51,8.18,87.55,,0.00365,0.005,0.039,275.275,0.185,0.0445,3640,103,65,USGS,4/8/2019,8,4,A
84,2009,BN,9-Sep,Clark Fork River at Bonita,9/7/2009,7,9,225.6190476,56.35,16.76666667,8.373333333,472.6666667,3.64,9.063333333,,-68.46666667,0.011063333,0.007983333,0.010106667,251,0.246,0.02404,3700,104,55,USGS,5/26/2009,26,5,A
133,2012,HU,12-Aug,Clark Fork River at Huson,8/10/2012,10,8,10.85771429,5.333333333,18,8.376666667,229.3666667,2.163333333,8.77,,129.4333333,0.00947,0.033655,0.0032625,149.0666667,0.2229975,0.0153475,33700,104,139,USGS,4/28/2012,28,4,A
135,2012,MS,12-Aug,Clark Fork River above Missoula,8/10/2012,10,8,79.66671429,38.75,16.7,8.35,255.1666667,1.696666667,8.303333333,,102.6333333,0.009133333,0.00361,0.003756667,165.9666667,0.165076667,0.01274,17600,104,85,USGS,4/28/2012,28,4,A
146,2013,FH,13-Aug,Clark Fork River above Flathead,8/29/2013,29,8,15.57142857,7.25,19.5,8.445,227,1.015,7.9,,-392,0.00873,0.010405,0.00353,147.55,0.15132,0.00904,32700,106,167,USGS,5/15/2013,15,5,A
151,2013,HU,13-Aug,Clark Fork River at Huson,8/29/2013,29,8,22.85714286,4.238095238,17.4,8.365,247.7,3.835,8.585,,-441.75,0.00995,0.03979,0.003495,160.9,0.27357,0.017855,25600,106,140,USGS,5/15/2013,15,5,A
194,2016,MS,16-Aug,Clark Fork River above Missoula,8/25/2016,25,8,67.76190476,28.48571429,16.05,8.245,264.65,45.635,7.795,79.2,-4,0.0198,0.01095,0.00125,171.9,0.321,0.0507,7660,107,89,USGS,5/10/2016,10,5,A
244,2020,BM,20-Sep,Clark Fork River below Missoula,9/6/2020,6,9,116.3857143,24.88333333,14.05,8.04,298.35,3.38,9.64,,,0.02,0.025,0.006,,0.156666667,0.011333333,37300,107,120,USGS,5/22/2020,22,5,A
247,2020,BN,20-Sep,Clark Fork River at Bonita,9/6/2020,6,9,144.4933333,29.92238095,13.45,8.23,479.45,5.26,9.365,,,0.02,,0.011,,0.175,0.025,3670,107,66,USGS,5/22/2020,22,5,A
252,2020,FH,20-Sep,Clark Fork River above Flathead,9/6/2020,6,9,16.49809524,8.197619048,13.85,8.13,260.95,1.705,9.44,,,0.02,0.01075,0.004,,0.1,0.00625,42900,107,174,USGS,5/22/2020,22,5,A
80,2008,MS,8-Sep,Clark Fork River above Missoula,9/6/2008,6,9,80.19047619,19.74285714,12.15,8.35,305,2.745,9.175,85.3,-47.15,0,0.0085,,161.75,,0.011,16800,108,81,USGS,5/21/2008,21,5,A
186,2016,DL,16-Sep,Clark Fork River at Deer Lodge,9/7/2016,7,9,260.6904762,81.25,11,8.205,476.95,2.24,8.46,76.4,233.95,0.0208,0.1836,0.00255,309.75,0.4255,0.0162,507,108,20,USGS,5/22/2016,22,5,A
256,2020,HU,20-Sep,Clark Fork River at Huson,9/7/2020,7,9,80.84666667,20.15380952,14.7,8.135,290.8,2.825,10.965,,,0.02,0.047333333,0.005333333,,0.176666667,0.010666667,37300,108,147,USGS,5/22/2020,22,5,A
73,2008,FH,8-Sep,Clark Fork River above Flathead,9/7/2008,7,9,13.3,4.15,16.45,8.865,237,1.77,9.235,94.45,-74,,0.014,,126,0.214,0.0095,45700,109,162,USGS,5/21/2008,21,5,A
78,2008,HU,8-Sep,Clark Fork River at Huson,9/7/2008,7,9,43.15,7.725,13.95,8.73,259,2.205,9.21,90.3,-68.9,,0.0305,,137.65,0.2305,0.015,35500,109,135,USGS,5/21/2008,21,5,A
259,2020,MS,20-Sep,Clark Fork River above Missoula,9/7/2020,7,9,92.82,36.91714286,13.85,8.12,324.95,3.915,9.94,,,0.02,0.003,0.005666667,,0.125,0.012,20000,109,93,USGS,5/21/2020,21,5,A
68,2008,BM,8-Sep,Clark Fork River below Missoula,9/8/2008,8,9,73.2,13.565,11.25,8.655,304.5,3.385,9.31,84.85,-62.95,0,0.046,,161.75,0.246,0.019,35500,110,108,USGS,5/21/2008,21,5,A
235,2019,FH,19-Sep,Clark Fork River above Flathead,9/7/2019,7,9,24.56,10.465,15.2,8.46,265.6,5.19,9.26,92.35,,0.01485,0.008,0.0105,172.95,0.12,0.01,42000,111,173,USGS,5/19/2019,19,5,A
229,2019,BM,19-Sep,Clark Fork River below Missoula,9/7/2019,7,9,253.4,58.55,13.6,8.275,323.65,9.695,9.255,89.4,,0.005,0.0335,0.0165,211.1,0.19,0.046,34000,112,119,USGS,5/18/2019,18,5,A
239,2019,HU,19-Sep,Clark Fork River at Huson,9/7/2019,7,9,68.1,17.25,14.35,8.355,287.45,4.985,9.575,93.1,,0.015,0.033,0.013333333,186.875,0.17,0.021666667,34000,112,146,USGS,5/18/2019,18,5,A
242,2019,MS,19-Sep,Clark Fork River above Missoula,9/7/2019,7,9,101.85,29.71428571,13.45,8.285,329.35,12.11,9.23,88.55,,0.005,0.016,0.017,214.175,0.175,0.0465,16200,112,92,USGS,5/18/2019,18,5,A
