,Site,date_yearmon,Day,Month,Year,Arsenic..water..filtered..micrograms.per.liter,Arsenic..water..unfiltered..micrograms.per.liter,Cadmium..water..filtered..micrograms.per.liter,Cadmium..water..unfiltered..micrograms.per.liter,Copper..water..filtered..micrograms.per.liter,Copper..water..unfiltered..recoverable..micrograms.per.liter,Iron..water..unfiltered..recoverable..micrograms.per.liter,Iron..water..filtered..micrograms.per.liter,Lead..water..filtered..micrograms.per.liter,Lead..water..unfiltered..recoverable..micrograms.per.liter,Manganese..water..unfiltered..recoverable..micrograms.per.liter,Manganese..water..filtered..micrograms.per.liter,Zinc..water..filtered..micrograms.per.liter,Zinc..water..unfiltered..recoverable..micrograms.per.liter,Aluminum..water..unfiltered..recoverable..micrograms.per.liter,Aluminum..water..filtered..micrograms.per.liter
42,DL,Jun-03,6,7,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,DL,Jun-03,16,7,2003,17,21,0.06,0.204,9.6,38.3,493,24.2,0.136,4.88,99.6,26.2,5.9,32,NA,NA
44,DL,Jul-03,16,8,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,DL,Jul-03,29,8,2003,17.8,17,0.06,0.072,8,13.5,76,9.2,0.08,0.67,48.3,34.4,8,13,NA,NA
46,DL,Aug-03,25,9,2003,15.8,20,0.039,0.106,6.6,17.8,149,8,0.057,1.46,73.4,17.1,2.6,13,NA,NA
47,DL,Sep-03,5,10,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,DL,Jun-04,1,7,2004,17.7,25,0.062,0.181,6.1,26.5,379,10.9,0.066,2.97,126,36.4,4.9,26,NA,NA
49,DL,Jun-04,13,7,2004,18.1,23,0.03,0.121,6.2,19.9,232,7.7,0.06,1.97,85.2,25,2.4,16,NA,NA
50,DL,Jul-04,2,8,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,DL,Jul-04,19,8,2004,17.8,17,0.024,0.137,7,10.9,60.8,4.4,0.08,0.52,21.5,8.08,0.9,7,NA,NA
52,DL,Aug-04,4,9,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,DL,Aug-04,20,9,2004,14.7,16,0.035,0.102,6.6,14.2,159,6.4,0.08,1.35,116,34.1,2.6,13,NA,NA
54,DL,Sep-04,16,10,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,DL,Jun-05,2,7,2005,20.8,39,0.062,0.518,12.7,97.6,1690,34.6,0.205,14.1,339,35.6,8.1,87,NA,NA
56,DL,Jun-05,3,7,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,DL,Jun-05,23,7,2005,19.3,31,0.071,0.433,11.4,96.8,1740,22.9,0.186,14.2,255,18.3,7.4,72,NA,NA
58,DL,Jul-05,13,8,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,DL,Jul-05,26,8,2005,16.2,17.1,0.055,0.063,8.6,11.8,40.3,7.5,0.065,0.37,18.4,13,5.1,7,NA,NA
60,DL,Aug-05,17,9,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,DL,Aug-05,24,9,2005,14.2,15.9,0.061,0.072,8.4,14.2,74.1,6.3,0.041,0.69,46.7,21.6,10.8,13,NA,NA
62,DL,Aug-05,25,9,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,DL,Jun-06,13,7,2006,19.8,27.2,0.06,0.277,10.6,59.6,851,16.7,0.13,7.12,135,23.3,5,42,NA,NA
64,DL,Jun-06,19,7,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,DL,Jul-06,25,8,2006,16.7,24.4,0.06,0.096,8.6,15.3,104,5.7,0.07,0.96,73.1,52.1,8.1,14,NA,NA
66,DL,Aug-06,3,9,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,DL,Aug-06,24,9,2006,12.4,4.8,0.04,0.062,6.5,NA,67.1,5.9,0.04,0.33,162,30.9,4.9,NA,NA,NA
