"","ActivityStartDate","date_yearmon","Site","Orthophosphate","month"
"273",2012-07-19,Jul 2012,"Clark Fork River at Huson",3.52333333333333,7
"276",2013-07-25,Jul 2013,"Clark Fork River at Huson",3.8325,7
"279",2014-07-10,Jul 2014,"Clark Fork River at Huson",7.4,7
"282",2015-07-09,Jul 2015,"Clark Fork River at Huson",1.95,7
"285",2016-07-21,Jul 2016,"Clark Fork River at Huson",2.15,7
"288",2017-07-23,Jul 2017,"Clark Fork River at Huson",2.1,7
"291",2018-07-15,Jul 2018,"Clark Fork River at Huson",3.45,7
"294",2019-07-12,Jul 2019,"Clark Fork River at Huson",14.3333333333333,7
"297",2020-07-22,Jul 2020,"Clark Fork River at Huson",4,7
"300",2021-07-21,Jul 2021,"Clark Fork River at Huson",1.45,7
"304",2022-07-15,Jul 2022,"Clark Fork River at Huson",2,7
"312",2009-07-16,Jul 2009,"Clark Fork River below Missoula",9.56,7
"316",2010-07-15,Jul 2010,"Clark Fork River below Missoula",8.93333333333333,7
"320",2011-07-21,Jul 2011,"Clark Fork River below Missoula",12.2666666666667,7
"324",2012-07-19,Jul 2012,"Clark Fork River below Missoula",6.78,7
"327",2013-07-18,Jul 2013,"Clark Fork River below Missoula",3.34,7
"330",2014-07-10,Jul 2014,"Clark Fork River below Missoula",8.25,7
"333",2015-07-09,Jul 2015,"Clark Fork River below Missoula",2.3,7
"336",2016-07-16,Jul 2016,"Clark Fork River below Missoula",1.66666666666667,7
"339",2017-07-15,Jul 2017,"Clark Fork River below Missoula",4.26666666666667,7
"342",2018-07-16,Jul 2018,"Clark Fork River below Missoula",8.7,7
"345",2019-07-12,Jul 2019,"Clark Fork River below Missoula",29.6666666666667,7
"348",2020-07-22,Jul 2020,"Clark Fork River below Missoula",5,7
"351",2021-07-22,Jul 2021,"Clark Fork River below Missoula",1,7
"355",2022-07-15,Jul 2022,"Clark Fork River below Missoula",4,7
"587",2022-07-22,Jul 2022,"Clark Fork River at Bonita",22.5,7
"589",2022-07-13,Jul 2022,"Clark Fork River at Deer Lodge",2,7
