,Year,Month,Site,Group.1,Group.2,ActivityStartDate,Day.x,Chlorophyll.a..corrected.for.pheophytin,Weight,Temperature..water,pH,Specific.conductance,Turbidity,T/W,Dissolved.oxygen.saturation,Oxidation.reduction.potential..ORP.,Ammonia,Nitrate...Nitrite,Orthophosphate,Total.dissolved.solids,Total.Nitrogen..mixed.forms,Total.Phosphorus..mixed.forms,Q_CFS.x,Q_CFS.y,anomaly,Days_Since_Freshet,...1,TN_DISS,TP_DISS,X.Arsenic..water..filtered..micrograms.per.liter,X.Cadmium..water..filtered..micrograms.per.liter,X.Copper..water..filtered..micrograms.per.liter,X.Iron..water..filtered..micrograms.per.liter,X.Lead..water..filtered..micrograms.per.liter,X.Manganese..water..filtered..micrograms.per.liter,X.Zinc..water..filtered..micrograms.per.liter
156,2011,8,DL,11-Aug,Clark Fork River at Deer Lodge,8/8/2011,8,66.19047619,16.23809524,16.26666667,8.346666667,317.4,4.456666667,0.274457478,,218.6,0.018433333,0.089466667,0.029233333,206.4666667,0.304,0.0503,1960,266,2.71448357,55,69,0.021066667,0.232966666,19.4,0.099,14.4,34.4,0.227,46.1,8.7
100,2008,8,BN,8-Aug,Clark Fork River at Bonita,8/10/2008,10,112.75,103.72,16.76666667,8.626666667,491,3.263333333,0.031462913,87.9,-63.93333333,,0.007333333,,260.6666667,0.207333333,0.015,3100,2830,1.046616625,65,39,0.015,0.2,13.5,0.066,7.1,7.7,0.227,26.9,4
361,2022,8,GR,22-Aug,Clark Fork River above Little Blackfoot,8/8/2022,8,75.09674762,115.0952381,21,8.585,466.15,1.695,0.014726934,,,0.015,0.006,0.007,,0.205,0.034,923,270,1.848923611,56,122,0.027,0.214,15.1,0.085,8.1,22.5,0.215,38.7,3.4
298,2019,7,DL,19-Jul,Clark Fork River at Deer Lodge,7/19/2019,19,188.5196434,66.87256236,18.05,8.85,345.4,3.23,0.048300826,115.7,,0.025,0.0295,0.0255,224.575,0.235,0.034,1280,266,2.193633988,62,77,0.0085,0.2305,16.1,0.078,12.8,28.6,0.213,14.4,5.6
215,2014,8,GR,14-Aug,Clark Fork River above Little Blackfoot,8/13/2014,13,93.48891111,105.9522727,18.55,8.105,431.2,2.145,0.020244965,,198.15,0.01225,0.00165,0.017633333,280.5,0.263333333,0.0314,978,270,1.903213656,46,114,0.013766667,0.273933333,19.6,0.066,8.9,20.9,0.208,31,3.2
297,2019,7,BN,19-Jul,Clark Fork River at Bonita,7/20/2019,20,66.46302128,72.5528,18.65,8.58,423.5,4.51,0.062161626,87.55,,0.00365,0.005,0.039,275.275,0.185,0.0445,3640,2830,1.134115991,103,50,0.0055,0.18365,10,0.054,9,32.8,0.205,10.9,4.8
213,2014,8,DL,14-Aug,Clark Fork River at Deer Lodge,8/15/2014,15,225.0666667,65.13333333,18.6,8.335,449.55,2.65,0.040685773,,204.1,0.01615,0.0621,0.01075,292.2,0.32,0.02495,741,266,1.669045921,48,72,0.0142,0.27405,17.7,0.059,7.4,22.2,0.199,33.4,3.5
155,2011,8,BN,11-Aug,Clark Fork River at Bonita,8/8/2011,8,26.57166667,16.44444444,17.1,8.356666667,373.1333333,2.816666667,0.171283784,,223.6666667,0.0081,0.005233333,0.0233,242.6666667,0.182333333,0.0396,7740,2830,1.653778199,59,42,0.0163,0.1852,15.7,0.083,9.6,22.6,0.198,36.8,6.7
359,2022,8,DL,22-Aug,Clark Fork River at Deer Lodge,8/7/2022,7,175.9389958,87.08333333,19.45,8.37,490.05,1.345,0.015444976,,,0.015,0.1145,0.0019,,0.3,0.012,856,266,1.793891054,56,80,0.0101,0.2005,14.3,0.085,6.9,23.8,0.194,26.6,2.5
356,2022,7,GR,22-Jul,Clark Fork River above Little Blackfoot,7/17/2022,17,51.61791579,74.10526316,21.2,8.43,436.1,3.125,0.042169744,,,0.03,,0.021,,0.223333333,0.05,923,270,1.848923611,34,122,0.029,0.253333333,12.6,,7.3,15.5,0.194,26.3,5.9
246,2016,7,GR,16-Jul,Clark Fork River above Little Blackfoot,7/16/2016,16,195.4755556,170.2084444,15.55,8.15,438.3,1.37,0.008048954,87,209.2,0.0219,0.00125,0.0231,284.7,0.285,0.04325,598,270,1.488225391,49,116,0.02015,0.30565,19.2,0.046,10.5,,0.19,19.5,2.7
244,2016,7,DL,16-Jul,Clark Fork River at Deer Lodge,7/16/2016,16,389.1023256,118.6211628,16.05,8.285,400.2,1.9,0.016017378,91.9,231.7,0.012,0.0387,0.0036,260.3,0.2945,0.0194,507,266,1.380585035,55,74,0.0158,0.2678,19.6,0.049,9.5,19.9,0.188,17.4,3.4
355,2022,7,DL,22-Jul,Clark Fork River at Deer Lodge,7/16/2022,16,178.8945857,33.55,20.5,8.41,430.6,2.57,0.076602086,,,0.03,0.0135,0.002,,0.213333333,0.045,856,266,1.793891054,34,80,0.043,0.229833333,12,,6.6,20.7,0.176,20.8,6.5
338,2021,7,GR,21-Jul,Clark Fork River above Little Blackfoot,7/15/2021,15,99.66666667,59.95238095,20.75,8.67,476.15,2.635,0.043951549,,,0.01,0.002,0.004666667,,0.26,0.034333333,577,270,1.461860813,39,121,0.029666666,0.268,11.2,0.084,8.2,15.1,0.174,18.3,4.9
243,2016,7,BN,16-Jul,Clark Fork River at Bonita,7/16/2016,16,159.4885116,178.8008108,17.3,8.135,465.15,0.94,0.005257247,69.5,206.2,0.008033333,0.001633333,0.001233333,302.3,0.211666667,0.0088,1330,2830,0.685539688,49,47,0.007566667,0.218066667,12.8,0.042,6.7,13.8,0.169,9.64,3.2
267,2017,8,DL,17-Aug,Clark Fork River at Deer Lodge,8/8/2017,8,190.5857143,99.56190476,16,8.135,421.5,1.3,0.013057203,91.95,274.7,0.013933333,0.240733333,0.0038,274,0.530666667,0.016866667,1560,266,2.421706352,55,75,0.013066667,0.303866667,17.9,0.061,10.1,11.7,0.162,23.9,3.5
274,2017,9,DL,17-Sep,Clark Fork River at Deer Lodge,9/6/2017,6,76.86666667,61.25238095,10.65,8.185,471.1,2.2,0.035916971,97.2,217.1,0.0101,0.21265,0.0034,306.15,0.513,0.01785,1560,266,2.421706352,84,75,0.01445,0.31045,14.8,0.051,8.4,16.3,0.154,19.5,4.9
337,2021,7,DL,21-Jul,Clark Fork River at Deer Lodge,7/14/2021,14,120.4285714,41.9047619,19.35,8.44,453.15,2.77,0.066102273,,,0.03,0.114,0.002,,0.335,0.021,590,266,1.489310281,38,79,0.019,0.251,9.3,0.086,6.1,18.2,0.151,17.2,4.6
344,2021,8,GR,21-Aug,Clark Fork River above Little Blackfoot,8/8/2021,8,238.8571429,61.80952381,18.75,8.615,498.7,3.215,0.052014638,,,,0.004,0.003,,0.26,0.03,577,270,1.461860813,63,121,0.027,0.256,13.9,0.067,7.2,15,0.144,35.6,2.4
120,2009,8,DL,9-Aug,Clark Fork River at Deer Lodge,8/6/2009,6,181.047619,51.1,19.5,8.766666667,409,3.546666667,0.069406393,,-76.36666667,0.00959,0.068873333,0.01137,217,0.335,0.029223333,1140,266,2.070196678,66,67,0.017853333,0.275716667,16.1,0.059,9,21.9,0.137,20.1,5.9
