,Year,Month,Site,Begin.date,Day,X.Arsenic..water..filtered..micrograms.per.liter,X.Arsenic..water..unfiltered..micrograms.per.liter,X.Cadmium..water..filtered..micrograms.per.liter,X.Cadmium..water..unfiltered..micrograms.per.liter,X.Copper..water..filtered..micrograms.per.liter,X.Copper..water..unfiltered..recoverable..micrograms.per.liter,X.Iron..water..unfiltered..recoverable..micrograms.per.liter,X.Iron..water..filtered..micrograms.per.liter,X.Lead..water..filtered..micrograms.per.liter,X.Lead..water..unfiltered..recoverable..micrograms.per.liter,X.Manganese..water..unfiltered..recoverable..micrograms.per.liter,X.Manganese..water..filtered..micrograms.per.liter,X.Zinc..water..filtered..micrograms.per.liter,X.Zinc..water..unfiltered..recoverable..micrograms.per.liter
237,2011,8,MS,NA,14,5.6,7.1,0.029,0.082,3.6,14.2,466,17.8,0.084,2.02,52.5,15.8,2.4,16
238,2012,8,MS,NA,18,3.3,2.9,0.016,0.023,1.7,2.1,47.3,9.2,0.025,0.13,10.9,5.53,1.6,3
239,2013,8,MS,NA,17,2.6,2.7,0.016,0.016,1.5,1.9,48.6,5.4,0.025,0.14,10.1,5.15,1.5,3
240,2014,8,MS,NA,16,3.6,4,0.03,0.03,1.5,2.8,76.7,9.9,0.04,0.23,14.6,5.41,2,2.5
241,2015,8,MS,NA,15,3.1,3.3,0.03,0.03,1.9,2.8,45.5,4.8,0.04,0.17,11.1,3.48,2,4
242,2016,8,MS,NA,13,3.2,3.5,0.03,0.03,1.7,2.2,56.4,9.6,0.04,0.18,9.8,3.66,2,3
243,2017,8,MS,NA,12,4,4,0.03,0.03,2.2,4.3,95.2,10.9,0.037,0.33,18.6,6.28,2,5
244,2018,8,MS,NA,18,5.1,5.7,0.03,0.05,2.6,6.7,143,10.2,0.05,0.67,26.8,10.3,2,7
245,2019,8,MS,NA,17,5.2,5.5,0.03,0.03,2.3,4.1,121,10,0.038,0.43,22.5,5.49,2,5
246,2020,8,MS,NA,15,4.2,4.9,0.031,0.05,2.9,7.2,176,10,0.052,0.78,24.2,9.83,2.4,9
247,2021,8,MS,NA,14,2.9,2.9,0.03,0.03,1.5,2.2,46.9,8.4,0.029,0.15,10.7,4.27,2,2
248,2022,8,MS,NA,14,3.2,3.2,0.03,0.03,1.6,3.6,157,10.8,0.04,0.51,17.3,4.42,2,5
249,1998,9,MS,NA,25,4,4,0.1,1,1.5,3.1,80,5,0.6,1,30,15.1,10,10
250,1999,9,MS,NA,21,4.142857143,5.142857143,0.1,0.271428571,1.814285714,8.542857143,200,8.985714286,0.5,2.042857143,54.41428571,3.55,1.442857143,32.4
251,2001,9,MS,NA,19,3.6,4,0.1,0.1,1.45,4,99.9,8.3,1,1,32.95,NA,1,4.5
252,2002,9,MS,NA,16.36842105,4.305263158,7.315789474,0.033157895,0.369105263,1.647368421,41.75263158,1057.563158,10.2,0.128421053,7.268421053,88.02105263,2.863157895,5.221052632,85.68421053
253,2003,9,MS,NA,26,3.6,4,0.037,0.029,2,4.3,68.6,4.6,0.08,0.39,28,14.5,1.2,5
254,2004,9,MS,NA,23,3.2,4,0.04,0.058,1.4,4.5,141,3.3,0.08,0.64,24.9,11.9,1,9
255,2005,9,MS,NA,24,3.7,3.9,0.04,0.03,1.8,4.2,80.5,7,0.04,0.46,30.1,14.1,1.2,5
256,2006,9,MS,NA,25,3,3.3,0.04,0.075,1.7,8.1,155,7,0.04,0.97,24,9.95,2.8,12
257,2007,9,MS,NA,29,4.1,4.6,0.04,0.105,1.9,11.7,244,7.4,0.099,1.85,52.3,20.7,2.7,19.8
258,2008,9,MS,NA,19,3.6,4,0.04,0.014,1.5,2.5,51,8,0.08,0.18,20,9.17,1.8,3.3
259,2009,9,MS,NA,19,5.4,6.1,0.023,0.067,2.3,5.8,140,5.9,0.041,0.88,33.9,9.3,1.6,7.7
260,2010,9,MS,NA,26,4.7,5.9,0.023,0.052,2.4,6.1,135,6,0.079,0.81,22.3,8.85,1.6,7.8
261,2011,9,MS,NA,17,4.8,4.9,0.03,0.05,2,3.7,69.6,3.7,0.026,0.3,20.7,9.2,1.5,4.1
262,2012,9,MS,NA,15,3.4,3.5,0.016,0.016,1.2,1.9,42.1,6.9,0.03,0.16,17.5,6.81,1.4,3
263,2013,9,MS,NA,14,3.3,3.3,0.016,0.029,1,3.3,100,6.2,0.025,0.45,26.9,6.11,1.4,5.7
264,2014,9,MS,NA,13,3.1,3.4,0.03,0.03,1.5,2,40.9,5.2,0.04,0.16,14,5.59,2,2.3
265,2015,9,MS,NA,12,3.3,3.6,0.03,0.03,1.6,2.8,73.6,6.1,0.04,0.3,21.6,7.04,2,4
266,2016,9,MS,NA,10,2.8,3.7,0.03,0.04,1.1,3.7,342,6.4,0.04,0.82,45.8,5.78,2,8
267,2017,9,MS,NA,16,3.1,3.4,0.03,0.03,1.5,2.1,70.8,10,0.036,0.14,12.6,5.62,2,3
268,2018,9,MS,NA,15,4.3,4.5,0.03,0.03,1.9,2.7,40.1,10,0.02,0.15,13.3,6.23,2,3
269,2019,9,MS,NA,21,4.6,4.9,0.03,0.03,1.8,3.6,53.4,10,0.024,0.25,17,5.67,2,4
270,2020,9,MS,NA,19,3.9,4.4,0.03,0.03,2,3.6,71.1,10,0.021,0.32,22.6,7.85,2,6
271,2021,9,MS,NA,18,3.2,3.6,0.03,0.03,1.4,2.8,98.1,8.4,0.024,0.3,22.2,6.98,2,6
272,2022,9,MS,NA,18,2.8,2.9,0.03,0.03,1.2,2.8,82.8,7,0.026,0.31,21.5,4.79,2,5
273,2000,10,MS,NA,6,2.9,3,0.1,0.1,1.6,2.7,56.2,10,1,1,15.4,6.2,1.1,3
274,2001,10,MS,NA,5,3,3,0.1,0.1,0.9,2.7,66.5,10,1,1,27.1,10.2,1,4
275,2006,10,MS,NA,26,4.8,6.2,0.04,0.151,2,17.7,436,10.4,0.13,2.74,49,21.2,1.7,36
