"","date_yearmon","Site","Ammonia","Kjeldahl nitrogen","Nitrate + Nitrite","pH","Specific conductance","Temperature, water","Total dissolved solids","Total Phosphorus, mixed forms","Total Nitrogen, mixed forms","Turbidity","Weight","Chlorophyll a, corrected for pheophytin"
"499",Dec 2001,"Clark Fork River above Missoula",NA,0.1,NA,8.17,359,1.2,182,NA,NA,1.28,NA,NA
"500",Jan 2002,"Clark Fork River above Missoula",NA,NA,NA,8.51,364,0.8,183,NA,NA,1.52,NA,NA
"501",Mar 2002,"Clark Fork River above Missoula",NA,0.1,NA,7.37,334,2.7,168,NA,NA,2.43,NA,NA
"502",Apr 2002,"Clark Fork River above Missoula",NA,0.65,NA,8.32,300,5,152,NA,NA,15.2,NA,NA
"503",May 2002,"Clark Fork River above Missoula",NA,0.25,NA,7.97,180,11.2,91.5,NA,NA,14.8,NA,NA
"504",Jun 2002,"Clark Fork River above Missoula",NA,0.2,NA,7.36,164,14.4,82,NA,NA,32.1,NA,NA
"505",Jul 2002,"Clark Fork River above Missoula",NA,NA,NA,8.32,251,21.5,127,NA,NA,3,NA,NA
"506",Aug 2002,"Clark Fork River above Missoula",NA,0.4,NA,7.78,289,16,145,NA,NA,1.52,NA,NA
"507",Sep 2002,"Clark Fork River above Missoula",NA,0.8,NA,8.31,320,12.7,161,NA,NA,1.61,NA,NA
"508",Jun 2003,"Clark Fork River above Missoula",NA,0.25,NA,7.64,219.5,12.95,119.05,NA,NA,8.545,NA,NA
"509",Jul 2003,"Clark Fork River above Missoula",NA,0.133333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"510",Aug 2003,"Clark Fork River above Missoula",NA,0.2,NA,7.96333333333333,279.333333333333,18.6666666666667,148.3,NA,NA,2.47333333333333,NA,NA
"511",Sep 2003,"Clark Fork River above Missoula",NA,0.466666666666667,NA,8.09,314.666666666667,14.0666666666667,168.666666666667,NA,NA,2.2,NA,NA
"512",May 2004,"Clark Fork River above Missoula",NA,0.1,NA,7.99,188.7,10.8,NA,NA,NA,3.64,NA,NA
"513",Jun 2004,"Clark Fork River above Missoula",NA,NA,NA,7.81666666666667,197.233333333333,13.5,NA,NA,NA,6.01333333333333,NA,NA
"514",Jul 2004,"Clark Fork River above Missoula",NA,0.4,NA,8.235,255.5,18.65,NA,NA,NA,7.34,NA,NA
"515",Aug 2004,"Clark Fork River above Missoula",NA,0.2,NA,8.205,271.5,15.7,NA,NA,NA,4.63,NA,NA
"516",Sep 2004,"Clark Fork River above Missoula",NA,0.15,NA,8.005,295,12.25,NA,NA,NA,2.835,NA,NA
"517",Jan 2005,"Clark Fork River above Missoula",NA,NA,NA,7.58,372,2.4,NA,NA,NA,5.4,NA,NA
"518",Feb 2005,"Clark Fork River above Missoula",NA,NA,NA,8.36,301,2.7,NA,NA,NA,3,NA,NA
"519",Mar 2005,"Clark Fork River above Missoula",NA,0.1,NA,8.49,292,9.7,NA,NA,NA,3.8,NA,NA
"520",Apr 2005,"Clark Fork River above Missoula",NA,0.1,NA,8.32,232,8.5,NA,NA,NA,6.8,NA,NA
"521",May 2005,"Clark Fork River above Missoula",NA,0.4,NA,7.64,219,12.6,NA,NA,NA,28.8,NA,NA
"522",Jun 2005,"Clark Fork River above Missoula",NA,0.3,NA,NA,317,13.95,NA,NA,NA,17.7,NA,NA
"523",Jul 2005,"Clark Fork River above Missoula",NA,0.1,NA,NA,267,19.25,NA,NA,NA,3.6,NA,NA
"524",Aug 2005,"Clark Fork River above Missoula",NA,NA,NA,8.71666666666667,275.666666666667,18.2,NA,NA,NA,2.1,NA,NA
"525",Sep 2005,"Clark Fork River above Missoula",NA,NA,NA,8.605,334.5,12.25,NA,NA,NA,1.8,NA,NA
"526",Oct 2005,"Clark Fork River above Missoula",NA,0.1,NA,8.84,342,12.5,NA,NA,NA,NA,NA,NA
"527",Nov 2005,"Clark Fork River above Missoula",NA,0.1,NA,NA,269,2.9,NA,NA,NA,NA,NA,NA
"528",Dec 2005,"Clark Fork River above Missoula",NA,NA,NA,NA,385,0.8,NA,NA,NA,NA,NA,NA
"529",Jun 2006,"Clark Fork River above Missoula",NA,0.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"530",Jul 2006,"Clark Fork River above Missoula",NA,0.25,NA,8.055,253,19.35,NA,NA,NA,5.465,NA,NA
"531",Aug 2006,"Clark Fork River above Missoula",NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"532",Sep 2006,"Clark Fork River above Missoula",NA,NA,NA,8.39,320,13.9,NA,NA,NA,4.85,NA,NA
"533",Jun 2007,"Clark Fork River above Missoula",NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"534",Jul 2007,"Clark Fork River above Missoula",NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"535",Aug 2007,"Clark Fork River above Missoula",NA,0.233333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"536",Sep 2007,"Clark Fork River above Missoula",NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"537",Jun 2008,"Clark Fork River above Missoula",NA,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"538",Jul 2008,"Clark Fork River above Missoula",NA,0.2,NA,8.47666666666667,230.666666666667,17.3333333333333,122.633333333333,NA,NA,4.60333333333333,NA,NA
"539",Aug 2008,"Clark Fork River above Missoula",NA,0.133333333333333,NA,8.27333333333333,276,16.2,146.3,NA,NA,1.63666666666667,NA,NA
"540",Sep 2008,"Clark Fork River above Missoula",NA,NA,NA,8.35,305,12.15,161.75,NA,NA,2.745,NA,NA
"541",Jun 2009,"Clark Fork River above Missoula",NA,NA,NA,7.93,205,14.1,109,NA,NA,10.9,NA,NA
"542",Jul 2009,"Clark Fork River above Missoula",NA,NA,NA,7.8,244.666666666667,16.2333333333333,130.033333333333,NA,NA,5.02333333333333,NA,NA
"543",Aug 2009,"Clark Fork River above Missoula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"544",Sep 2009,"Clark Fork River above Missoula",NA,NA,NA,7.85333333333333,301.666666666667,15.6666666666667,160.066666666667,NA,NA,1.79333333333333,NA,NA
"545",Jun 2010,"Clark Fork River above Missoula",NA,NA,NA,7.14,199.2,14.9,105.7,NA,NA,17.9,NA,NA
"546",Jul 2010,"Clark Fork River above Missoula",NA,NA,NA,7.52,247,17.4,131.4,NA,NA,2.81666666666667,NA,NA
"547",Aug 2010,"Clark Fork River above Missoula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"548",Sep 2010,"Clark Fork River above Missoula",NA,NA,NA,7.72333333333333,304,13.2666666666667,162.333333333333,NA,NA,2.28,NA,NA
"549",Jun 2011,"Clark Fork River above Missoula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"550",Jul 2011,"Clark Fork River above Missoula",NA,NA,NA,8.25666666666667,205.866666666667,15.5,134.3,NA,NA,7.88666666666667,NA,NA
"551",Aug 2011,"Clark Fork River above Missoula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"552",Sep 2011,"Clark Fork River above Missoula",NA,NA,NA,8.36,277,12.1,180,NA,NA,2.06,NA,NA
"553",Jun 2012,"Clark Fork River above Missoula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"554",Jul 2012,"Clark Fork River above Missoula",NA,NA,NA,8.17666666666667,231.4,17.2333333333333,150.566666666667,NA,NA,1.49,NA,NA
"555",Aug 2012,"Clark Fork River above Missoula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"556",Sep 2012,"Clark Fork River above Missoula",NA,NA,NA,8.345,280.9,11.75,182.65,NA,NA,1.415,NA,NA
"557",Jul 2013,"Clark Fork River above Missoula",NA,NA,NA,8.22,252,17.8,163.75,NA,NA,3.1,NA,NA
"558",Aug 2013,"Clark Fork River above Missoula",NA,NA,NA,8.205,275.75,16.4,179.45,NA,NA,2.225,NA,NA
"559",Sep 2013,"Clark Fork River above Missoula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"560",Jul 2014,"Clark Fork River above Missoula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"561",Aug 2014,"Clark Fork River above Missoula",NA,NA,NA,7.91,301.15,17.4,195.95,NA,NA,1.55,NA,NA
"562",Sep 2014,"Clark Fork River above Missoula",NA,NA,NA,7.74,338.45,13.4,220.05,NA,NA,2.595,NA,NA
"563",Jul 2015,"Clark Fork River above Missoula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564",Aug 2015,"Clark Fork River above Missoula",NA,NA,NA,7.985,286,16.5,185.9,NA,NA,3.005,NA,NA
"565",Sep 2015,"Clark Fork River above Missoula",NA,NA,NA,8.13,303.3,12.65,196.9,NA,NA,4.785,NA,NA
"566",Jul 2016,"Clark Fork River above Missoula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"567",Aug 2016,"Clark Fork River above Missoula",NA,NA,NA,8.245,264.65,16.05,171.9,NA,NA,45.635,NA,NA
"568",Sep 2016,"Clark Fork River above Missoula",NA,NA,NA,8.5,291.65,12.15,189.8,NA,NA,3.295,NA,NA
"569",Jun 1998,"Clark Fork River above Thompson Falls",NA,NA,NA,8.35,239,14.9,122,NA,NA,NA,NA,NA
"570",Jul 1998,"Clark Fork River above Thompson Falls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"571",Aug 1998,"Clark Fork River above Thompson Falls",NA,NA,NA,8.04,170,24.5,85,NA,NA,NA,NA,NA
"572",Sep 1998,"Clark Fork River above Thompson Falls",NA,NA,NA,7.48,187,21.4,94,NA,NA,NA,NA,NA
"573",Oct 1998,"Clark Fork River above Thompson Falls",NA,NA,NA,5.82,154,13,77,NA,NA,NA,NA,NA
"574",Nov 1998,"Clark Fork River above Thompson Falls",NA,0.1,NA,7.27,199,6.5,100,NA,NA,NA,NA,NA
"575",Dec 1998,"Clark Fork River above Thompson Falls",NA,NA,NA,7.4,248,4.4,100,NA,NA,NA,NA,NA
"576",Jan 1999,"Clark Fork River above Thompson Falls",NA,NA,NA,8.89,264,1.1,133,NA,NA,NA,NA,NA
"577",Mar 1999,"Clark Fork River above Thompson Falls",NA,0.1,NA,8.16,213,4.7,107,NA,NA,NA,NA,NA
"578",Apr 1999,"Clark Fork River above Thompson Falls",NA,NA,NA,7.85,187,8.2,94,NA,NA,NA,NA,NA
"579",May 1999,"Clark Fork River above Thompson Falls",NA,1.2,NA,7.765,145,14.15,72.5,NA,NA,NA,NA,NA
"580",Jun 1999,"Clark Fork River above Thompson Falls",NA,NA,NA,7.21,154,19.1,77,NA,NA,NA,NA,NA
"581",Jul 1999,"Clark Fork River above Thompson Falls",NA,0.1,NA,7.36,168,21.5,85,NA,NA,NA,NA,NA
"582",Aug 1999,"Clark Fork River above Thompson Falls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"583",Sep 1999,"Clark Fork River above Thompson Falls",NA,0.2,NA,7.2,202,18.7,102,NA,NA,NA,NA,NA
"584",Oct 1999,"Clark Fork River above Thompson Falls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"585",Nov 1999,"Clark Fork River above Thompson Falls",NA,NA,NA,7.66,205,8.1,103,NA,NA,NA,NA,NA
"586",Dec 1999,"Clark Fork River above Thompson Falls",NA,0.2,NA,7.01,191,3.7,95,NA,NA,NA,NA,NA
"587",Jan 2000,"Clark Fork River above Thompson Falls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"588",Mar 2000,"Clark Fork River above Thompson Falls",NA,0.1,NA,8.59,190.5,8.3,95,NA,NA,NA,NA,NA
"589",May 2000,"Clark Fork River above Thompson Falls",NA,0.1,NA,7.99,167.5,14.85,84,NA,NA,NA,NA,NA
"590",Jun 2000,"Clark Fork River above Thompson Falls",NA,NA,NA,7.77,154,19.9,78,NA,NA,2.78,NA,NA
"591",Jul 2000,"Clark Fork River above Thompson Falls",NA,NA,NA,8.49,179,21.4,90,NA,NA,1.32,NA,NA
"592",Aug 2000,"Clark Fork River above Thompson Falls",NA,0.2,NA,8.54,192,21.7,96,NA,NA,NA,NA,NA
"593",Sep 2000,"Clark Fork River above Thompson Falls",NA,0.1,NA,8.48,316,21.1,158,NA,NA,1.1,NA,NA
"594",Oct 2000,"Clark Fork River above Thompson Falls",NA,0.2,NA,8.41,222,14.7,111,NA,NA,1.19,NA,NA
"595",Nov 2000,"Clark Fork River above Thompson Falls",NA,0.1,NA,8.27,166,5.3,83,NA,NA,1.29,NA,NA
"596",Dec 2000,"Clark Fork River above Thompson Falls",NA,NA,NA,8.32,185,4.5,93,NA,NA,1.83,NA,NA
"597",Jan 2001,"Clark Fork River above Thompson Falls",NA,NA,NA,8.35,100,4,50,NA,NA,1.4,NA,NA
"598",Mar 2001,"Clark Fork River above Thompson Falls",NA,NA,NA,8.37,228,3.2,NA,NA,NA,NA,NA,NA
"599",Apr 2001,"Clark Fork River above Thompson Falls",NA,0.15,NA,8.425,211,11.3,NA,NA,NA,4.495,NA,NA
"600",May 2001,"Clark Fork River above Thompson Falls",NA,0.1,NA,8.03,161,15.9,80,NA,NA,NA,NA,NA
"601",Jun 2001,"Clark Fork River above Thompson Falls",NA,0.2,NA,8.39,172,18.6,86,NA,NA,NA,NA,NA
"602",Jul 2001,"Clark Fork River above Thompson Falls",NA,0.1,NA,8.57,203,20.5,102,NA,NA,NA,NA,NA
"603",Aug 2001,"Clark Fork River above Thompson Falls",NA,0.1,NA,8.46,192,20.9,96,NA,NA,1.62,NA,NA
"604",Sep 2001,"Clark Fork River above Thompson Falls",NA,0.3,NA,8.67,201,17.3,101,NA,NA,1.21,NA,NA
"605",Oct 2001,"Clark Fork River above Thompson Falls",NA,0.1,NA,9.56,215,7.6,110,NA,NA,1.83,NA,NA
"606",Nov 2001,"Clark Fork River above Thompson Falls",NA,NA,NA,8.46,210,7.1,107,NA,NA,1.72,NA,NA
"607",Dec 2001,"Clark Fork River above Thompson Falls",NA,0.1,NA,8.27,195,2.4,98,NA,NA,2.17,NA,NA
"608",Jan 2002,"Clark Fork River above Thompson Falls",NA,NA,NA,9.09,189,1.8,94,NA,NA,1.67,NA,NA
"609",Mar 2002,"Clark Fork River above Thompson Falls",NA,NA,NA,7.12,201,2.3,98,NA,NA,8.03,NA,NA
"610",Apr 2002,"Clark Fork River above Thompson Falls",NA,0.4,NA,8.16,193,5.2,96,NA,NA,3.79,NA,NA
"611",May 2002,"Clark Fork River above Thompson Falls",NA,0.2,NA,7.665,147.5,11.3,73.5,NA,NA,17.91,NA,NA
"612",Jun 2002,"Clark Fork River above Thompson Falls",NA,NA,NA,7.77,143,13.4,72,NA,NA,24.1,NA,NA
"613",Jul 2002,"Clark Fork River above Thompson Falls",NA,NA,NA,8.08,176,24.8,88,NA,NA,5.19,NA,NA
"614",Aug 2002,"Clark Fork River above Thompson Falls",NA,NA,NA,8.8,184,20,92,NA,NA,2.01,NA,NA
"615",Sep 2002,"Clark Fork River above Thompson Falls",NA,0.1,NA,7.99,199,15.6,100,NA,NA,1.22,NA,NA
"616",Jan 2005,"Clark Fork River above Thompson Falls",NA,NA,NA,7.89,207,1.1,NA,NA,NA,2.9,NA,NA
"617",Feb 2005,"Clark Fork River above Thompson Falls",NA,0.2,NA,8.42,197,2.5,NA,NA,NA,2.6,NA,NA
"618",Mar 2005,"Clark Fork River above Thompson Falls",NA,0.1,NA,8.27,198,7.5,NA,NA,NA,3.3,NA,NA
"619",Apr 2005,"Clark Fork River above Thompson Falls",NA,0.1,NA,8.15,182,7.9,NA,NA,NA,4.3,NA,NA
"620",May 2005,"Clark Fork River above Thompson Falls",NA,0.3,NA,7.38,148,12.6,NA,NA,NA,14.3,NA,NA
"621",Jun 2005,"Clark Fork River above Thompson Falls",NA,NA,NA,8.42,392,16,NA,NA,NA,8.8,NA,NA
"622",Jul 2005,"Clark Fork River above Thompson Falls",NA,NA,NA,8.66,179,18.8,NA,NA,NA,1.7,NA,NA
"623",Aug 2005,"Clark Fork River above Thompson Falls",NA,0.2,NA,9.14,164,20.3,NA,NA,NA,0.9,NA,NA
"624",Sep 2005,"Clark Fork River above Thompson Falls",NA,NA,NA,8.43,170,13.9,NA,NA,NA,1.1,NA,NA
"625",Oct 2005,"Clark Fork River above Thompson Falls",NA,NA,NA,9,182,10.5,NA,NA,NA,NA,NA,NA
"626",Nov 2005,"Clark Fork River above Thompson Falls",NA,NA,NA,NA,163,4.7,NA,NA,NA,NA,NA,NA
"627",Dec 2005,"Clark Fork River above Thompson Falls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"628",Jun 1998,"Clark Fork River at Bonita",NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"629",Jul 1998,"Clark Fork River at Bonita",NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"630",Aug 1998,"Clark Fork River at Bonita",NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"631",Sep 1998,"Clark Fork River at Bonita",NA,0.4,NA,7.59,488,17.7,244,NA,NA,NA,NA,NA
"632",Oct 1998,"Clark Fork River at Bonita",NA,0.4,NA,7.18,451,9.1,227,NA,NA,NA,NA,NA
"633",Nov 1998,"Clark Fork River at Bonita",NA,0.2,NA,7.71,421,4.8,213,NA,NA,NA,NA,NA
"634",Dec 1998,"Clark Fork River at Bonita",NA,0.1,NA,6.38,490,2.1,249,NA,NA,NA,NA,NA
"635",Jan 1999,"Clark Fork River at Bonita",NA,NA,NA,5.87,608,1.8,304,NA,NA,NA,NA,NA
"636",Mar 1999,"Clark Fork River at Bonita",NA,NA,NA,5.94,395,3.1,201,NA,NA,NA,NA,NA
"637",Apr 1999,"Clark Fork River at Bonita",NA,0.3,NA,6.74,444,7.7,223,NA,NA,NA,NA,NA
"638",May 1999,"Clark Fork River at Bonita",NA,0.15,NA,7.895,339,12.05,170,NA,NA,NA,NA,NA
"639",Jun 1999,"Clark Fork River at Bonita",NA,0.3,NA,7.55,367,20.7,182,NA,NA,NA,NA,NA
"640",Jul 1999,"Clark Fork River at Bonita",NA,0.2,NA,NA,476,17.5,237,NA,NA,NA,NA,NA
"641",Aug 1999,"Clark Fork River at Bonita",NA,0.6,NA,7.59,484,15.6,245,NA,NA,NA,NA,NA
"642",Sep 1999,"Clark Fork River at Bonita",NA,0.3,NA,5.94,504,16.3,263,NA,NA,NA,NA,NA
"643",Oct 1999,"Clark Fork River at Bonita",NA,0.3,NA,8.42,365,4.2,191,NA,NA,NA,NA,NA
"644",Nov 1999,"Clark Fork River at Bonita",NA,0.2,NA,NA,492,5,245,NA,NA,NA,NA,NA
"645",Dec 1999,"Clark Fork River at Bonita",NA,0.4,NA,7.64,475,1.9,237,NA,NA,NA,NA,NA
"646",Jan 2000,"Clark Fork River at Bonita",NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"647",Feb 2000,"Clark Fork River at Bonita",NA,1.2,NA,8.07,387,3.2,199,NA,NA,NA,NA,NA
"648",Mar 2000,"Clark Fork River at Bonita",NA,0.2,NA,8.53,414,8.7,207,NA,NA,NA,NA,NA
"649",May 2000,"Clark Fork River at Bonita",NA,0.3,NA,8.105,453.5,NA,226.5,NA,NA,NA,NA,NA
"650",Jun 2000,"Clark Fork River at Bonita",NA,0.3,NA,8.49,492,18.8,246,NA,NA,6.74,NA,NA
"651",Jul 2000,"Clark Fork River at Bonita",NA,0.3,NA,8.66,545,21.4,272,NA,NA,5.38,NA,NA
"652",Aug 2000,"Clark Fork River at Bonita",NA,NA,NA,8.63,576,22,288,NA,NA,NA,NA,NA
"653",Sep 2000,"Clark Fork River at Bonita",NA,0.2,NA,8.14,588,20.5,394,NA,NA,5.2,NA,NA
"654",Oct 2000,"Clark Fork River at Bonita",NA,0.5,NA,8.61,551,13.1,275,NA,NA,13.5,NA,NA
"655",Nov 2000,"Clark Fork River at Bonita",NA,0.1,NA,8.48,468,2.8,234,NA,NA,4.49,NA,NA
"656",Dec 2000,"Clark Fork River at Bonita",NA,0.1,NA,8.48,520,2.8,260,NA,NA,2.16,NA,NA
"657",Jan 2001,"Clark Fork River at Bonita",NA,0.2,NA,8.6,468,3.3,235,NA,NA,NA,NA,NA
"658",Feb 2001,"Clark Fork River at Bonita",NA,0.2,NA,8.59,530,1.6,265,NA,NA,NA,NA,NA
"659",Apr 2001,"Clark Fork River at Bonita",NA,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"660",May 2001,"Clark Fork River at Bonita",NA,0.3,NA,8.66,358,15.1,179,NA,NA,NA,NA,NA
"661",Jun 2001,"Clark Fork River at Bonita",NA,0.3,NA,8.55,405,17.1,204,NA,NA,NA,NA,NA
"662",Jul 2001,"Clark Fork River at Bonita",NA,0.5,NA,8.19,505,17.2,253,NA,NA,NA,NA,NA
"663",Aug 2001,"Clark Fork River at Bonita",NA,0.2,NA,8.23,517,17.1,259,NA,NA,0.88,NA,NA
"664",Sep 2001,"Clark Fork River at Bonita",NA,0.2,NA,7.46,534,14,268,NA,NA,2.41,NA,NA
"665",Oct 2001,"Clark Fork River at Bonita",NA,0.5,NA,8.11,496,7.8,248,NA,NA,8.3,NA,NA
"666",Nov 2001,"Clark Fork River at Bonita",NA,0.2,NA,8.47,491,7.5,246,NA,NA,7.01,NA,NA
"667",Dec 2001,"Clark Fork River at Bonita",NA,0.3,NA,8.07,506,1.2,254,NA,NA,3.96,NA,NA
"668",Jan 2002,"Clark Fork River at Bonita",NA,NA,NA,8.91,498,1.1,250,NA,NA,4.49,NA,NA
"669",Mar 2002,"Clark Fork River at Bonita",NA,0.2,NA,8.39,522,3.7,262,NA,NA,4.2,NA,NA
"670",Apr 2002,"Clark Fork River at Bonita",NA,0.65,NA,8.2,460.5,9.25,232.5,NA,NA,23.61,NA,NA
"671",May 2002,"Clark Fork River at Bonita",NA,0.4,NA,7.92,374,15.3,189,NA,NA,13.5,NA,NA
"672",Jun 2002,"Clark Fork River at Bonita",NA,0.8,NA,8.67,365,18.3,185,NA,NA,16.5,NA,NA
"673",Jul 2002,"Clark Fork River at Bonita",NA,0.2,NA,8.4,470,23.7,237,NA,NA,8.26,NA,NA
"674",Aug 2002,"Clark Fork River at Bonita",NA,0.15,NA,9.17,526,20.2,263,NA,NA,1.8,NA,NA
"675",Sep 2002,"Clark Fork River at Bonita",NA,NA,NA,8.15,535,15.6,272,NA,NA,1.67,NA,NA
"676",Jun 2003,"Clark Fork River at Bonita",NA,0.35,NA,7.855,360.5,14.8,192.6,NA,NA,9.66,NA,NA
"677",Jul 2003,"Clark Fork River at Bonita",NA,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"678",Aug 2003,"Clark Fork River at Bonita",NA,0.266666666666667,NA,7.93333333333333,543,18.0666666666667,288,NA,NA,2.94333333333333,NA,NA
"679",Sep 2003,"Clark Fork River at Bonita",NA,0.366666666666667,NA,8.23333333333333,561.333333333333,14,298.333333333333,NA,NA,6.56333333333333,NA,NA
"680",May 2004,"Clark Fork River at Bonita",NA,0.1,NA,8.12,450,12.1,NA,NA,NA,1.42,NA,NA
"681",Jun 2004,"Clark Fork River at Bonita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"682",Jul 2004,"Clark Fork River at Bonita",NA,0.45,NA,8.3,515.5,19.3,NA,NA,NA,3.825,NA,NA
"683",Aug 2004,"Clark Fork River at Bonita",NA,0.3,NA,8.18,546,16.65,NA,NA,NA,3.14,NA,NA
"684",Sep 2004,"Clark Fork River at Bonita",NA,0.3,NA,8.135,524,12.35,NA,NA,NA,6.21,NA,NA
"685",Jan 2005,"Clark Fork River at Bonita",NA,0.35,NA,7.47,543,4,NA,NA,NA,14.9,NA,NA
"686",Feb 2005,"Clark Fork River at Bonita",NA,0.3,NA,8.29,490,2.7,NA,NA,NA,10.9,NA,NA
"687",Mar 2005,"Clark Fork River at Bonita",NA,0.3,NA,8.49,447,8,NA,NA,NA,10.1,NA,NA
"688",Apr 2005,"Clark Fork River at Bonita",NA,0.3,NA,8.53,479,8.6,NA,NA,NA,8.8,NA,NA
"689",May 2005,"Clark Fork River at Bonita",NA,0.6,NA,7.78,481,14,NA,NA,NA,33.3,NA,NA
"690",Jun 2005,"Clark Fork River at Bonita",NA,0.45,NA,NA,504,14.05,NA,NA,NA,31.9,NA,NA
"691",Jul 2005,"Clark Fork River at Bonita",NA,0.2,NA,NA,418,19.3,NA,NA,NA,3.8,NA,NA
"692",Aug 2005,"Clark Fork River at Bonita",NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"693",Sep 2005,"Clark Fork River at Bonita",NA,0.2,NA,8.48,517.5,11.9,NA,NA,NA,5.15,NA,NA
"694",Oct 2005,"Clark Fork River at Bonita",NA,0.2,NA,8.4,474,11.8,NA,NA,NA,NA,NA,NA
"695",Nov 2005,"Clark Fork River at Bonita",NA,0.2,NA,NA,375,1.8,NA,NA,NA,NA,NA,NA
"696",Dec 2005,"Clark Fork River at Bonita",NA,0.2,NA,NA,534,1.2,NA,NA,NA,NA,NA,NA
"697",Jun 2006,"Clark Fork River at Bonita",NA,0.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"698",Jul 2006,"Clark Fork River at Bonita",NA,0.25,NA,8.315,477,21.1,NA,NA,NA,1.685,NA,NA
"699",Aug 2006,"Clark Fork River at Bonita",NA,0.2,NA,8.21,536.666666666667,17,NA,NA,NA,1.36,NA,NA
"700",Sep 2006,"Clark Fork River at Bonita",NA,NA,NA,8.48,547.5,14.5,NA,NA,NA,5.56,NA,NA
"701",Jun 2007,"Clark Fork River at Bonita",NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"702",Jul 2007,"Clark Fork River at Bonita",NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"703",Aug 2007,"Clark Fork River at Bonita",NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"704",Sep 2007,"Clark Fork River at Bonita",NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"705",Jun 2008,"Clark Fork River at Bonita",NA,0.433333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"706",Jul 2008,"Clark Fork River at Bonita",NA,0.233333333333333,NA,8.55333333333333,387.666666666667,18.7,206.033333333333,NA,NA,4.40666666666667,NA,NA
"707",Aug 2008,"Clark Fork River at Bonita",NA,0.2,NA,8.62666666666667,491,16.7666666666667,260.666666666667,NA,NA,3.26333333333333,NA,NA
"708",Sep 2008,"Clark Fork River at Bonita",NA,0.2,NA,8.66,470,13.05,249.5,NA,NA,5.465,NA,NA
"709",Jun 2009,"Clark Fork River at Bonita",NA,NA,NA,8.35,305,15.9,162.2,NA,NA,14.9,NA,NA
"710",Jul 2009,"Clark Fork River at Bonita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"711",Aug 2009,"Clark Fork River at Bonita",NA,NA,NA,8.46,430.333333333333,18.9,228.666666666667,NA,NA,5.64333333333333,NA,NA
"712",Sep 2009,"Clark Fork River at Bonita",NA,NA,NA,8.37333333333333,472.666666666667,16.7666666666667,251,NA,NA,3.64,NA,NA
"713",Jun 2010,"Clark Fork River at Bonita",NA,NA,NA,7.76,278,15.9,148,NA,NA,29.9,NA,NA
"714",Jul 2010,"Clark Fork River at Bonita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"715",Aug 2010,"Clark Fork River at Bonita",NA,NA,NA,8.07333333333333,436,19.7333333333333,231.333333333333,NA,NA,2.79,NA,NA
