,Group.1,Group.2,ActivityStartDate,Manganese,MonitoringLocationName,Zinc,Orthophosphate,Phosphate.phosphorus...retired...use.Total.Phosphorus..mixed.forms,Kjeldahl.nitrogen,Ammonia.nitrogen,Oxidation.reduction.potential..ORP.,Dissolved.oxygen..DO.,Flow,Specific.conductance,Copper,Total.dissolved.solids,Inorganic.nitrogen..nitrate.and.nitrite.....retired...use.Nitrate...Nitrite,Temperature..water,pH,Turbidity,Dissolved.oxygen.saturation,date_yearmon
1,Jun-98,Clark Fork River above Flathead,6/8/1998,NA,NA,NA,0.004,0.016,0.2,0.04,NA,NA,14400,217,0.002,112,0.04,14.3,8.62,NA,NA,NA
2,Jul-98,Clark Fork River above Flathead,7/8/1998,NA,NA,NA,0.064,0.035,NA,0.04,NA,NA,NA,NA,0.007,NA,0.04,NA,NA,NA,NA,NA
3,Aug-98,Clark Fork River above Flathead,8/11/1998,NA,NA,NA,NA,0.009,NA,NA,-65,NA,4040,205,NA,105,NA,20.6,8.06,NA,NA,NA
4,Sep-98,Clark Fork River above Flathead,9/10/1998,NA,NA,NA,0.004,0.009,NA,NA,-1,9.6,2940,217,NA,110,NA,17.6,6.93,NA,NA,NA
5,Oct-98,Clark Fork River above Flathead,10/7/1998,NA,NA,0.0014,0.014,0.02,0.3,NA,9,8,3160,215,0.001,111,0.02,10.9,6.82,NA,NA,NA
6,Nov-98,Clark Fork River above Flathead,11/18/1998,NA,NA,NA,NA,0.01,NA,NA,-9,9.5,3410,252,NA,126,0.1,5.7,7.12,NA,NA,NA
7,Dec-98,Clark Fork River above Flathead,12/16/1998,NA,NA,NA,NA,0.011,0.1,NA,-9,6.1,3400,459,NA,225,0.15,8.7,7.21,NA,NA,NA
8,Jan-99,Clark Fork River above Flathead,1/27/1999,NA,NA,NA,NA,0.009,NA,NA,-84,1.15,2850,307,0.002,155,0.06,1.6,9.01,NA,NA,NA
9,Mar-99,Clark Fork River above Flathead,3/3/1999,NA,NA,0.0146,0.01,0.02,0.1,NA,-41,NA,4230,266,NA,133,0.09,4.9,8.02,NA,NA,NA
10,Apr-99,Clark Fork River above Flathead,4/7/1999,NA,NA,0.0013,0.004,0.026,NA,NA,1,10.8,5530,243,0.003,123,0.07,9.6,7,NA,NA,NA
11,May-99,Clark Fork River above Flathead,5/15/1999,NA,NA,0.02365,0.0135,0.018,0.85,NA,-38,10.9,24050,126.5,0.0105,62,0.075,11.05,7.68,NA,NA,NA
12,Jun-99,Clark Fork River above Flathead,6/16/1999,NA,NA,0.0254,0.005,0.073,0.2,NA,-12,8.9,29900,126,0.007,63,0.05,17.3,7.4,NA,NA,NA
13,Jul-99,Clark Fork River above Flathead,7/14/1999,NA,NA,9.00E-04,NA,0.017,0.1,NA,17,9.8,9520,163,0.002,82,NA,19,6.86,NA,NA,NA
14,Aug-99,Clark Fork River above Flathead,8/17/1999,NA,NA,8.00E-04,0.001,0.014,0.2,NA,55,8.4,3920,NA,0.003,NA,0.01,20.8,6,NA,99,NA
15,Sep-99,Clark Fork River above Flathead,9/22/1999,NA,NA,0.001,0.004,0.01,0.2,0.02,-8,NA,2520,267,0.005,136,NA,15.6,7.05,NA,NA,NA
16,Oct-99,Clark Fork River above Flathead,10/20/1999,NA,NA,NA,NA,0.007,NA,0.09,12,11.9,2810,329,0.004,171,0.01,9,6.83,NA,105,NA
17,Nov-99,Clark Fork River above Flathead,11/17/1999,NA,NA,0.0025,0.002,0.011,NA,0.02,-37,10.6,3070,266,0.004,135,0.04,6.9,7.67,NA,102,NA
18,Dec-99,Clark Fork River above Flathead,12/15/1999,NA,NA,NA,0.002,0.006,0.3,0.02,17,NA,3210,258,0.004,129,0.06,4.4,6.54,NA,NA,NA
19,Jan-00,Clark Fork River above Flathead,1/26/2000,NA,NA,0.002,0.003,0.01,NA,0.03,68,13.6,2700,320,0.003,160,0.07,4.7,5.61,NA,118,NA
20,Mar-00,Clark Fork River above Flathead,3/14/2000,NA,NA,0.00215,0.004,0.0195,0.2,0.02,-69,10.85,3840,217,0.005,108.5,0.045,7.9,8.36,NA,104,NA
21,May-00,Clark Fork River above Flathead,5/12/2000,NA,NA,0.00465,0.0035,0.0245,0.1,0.03,-38,9.15,15200,144,0.0015,73,0.05,15.9,7.765,6.32,96.5,NA
22,Jun-00,Clark Fork River above Flathead,6/12/2000,NA,NA,0.0025,0.004,0.012,0.1,NA,-49,NA,12300,134,NA,67,0.03,15.9,7.97,4.18,NA,NA
23,Jul-00,Clark Fork River above Flathead,7/18/2000,NA,NA,9.00E-04,0.004,0.011,0.2,0.12,-74,7.9,3240,208,NA,104,0.02,18.7,8.48,1.79,94,NA
24,Aug-00,Clark Fork River above Flathead,8/15/2000,NA,NA,6.00E-04,0.002,0.008,0.2,NA,-85,8.7,1810,240,NA,120,0.01,20.1,8.57,NA,106,NA
25,Sep-00,Clark Fork River above Flathead,9/13/2000,NA,NA,0.0139,0.003,0.015,0.1,NA,-80,9,2230,263,0.001,131,0.01,19.1,8.65,2.5,110,NA
26,Oct-00,Clark Fork River above Flathead,10/17/2000,NA,NA,0.0012,0.004,0.01,0.1,NA,-84,10.1,3469,263,NA,131,0.02,12,8.64,2.21,106,NA
27,Nov-00,Clark Fork River above Flathead,11/21/2000,NA,NA,NA,0.003,0.007,NA,NA,-62,11.11,2380,219,NA,109,0.03,4.3,8.16,2.02,99,NA
28,Dec-00,Clark Fork River above Flathead,12/21/2000,NA,NA,9.00E-04,0.002,0.006,NA,NA,-65,10.7,2080,255,NA,128,0.15,2.7,8.28,1.5,85,NA
29,Jan-01,Clark Fork River above Flathead,1/31/2001,NA,NA,0.0044,0.002,0.006,NA,NA,-78,11.4,1890,144,NA,72,0.06,6.2,8.46,0.74,99,NA
30,Mar-01,Clark Fork River above Flathead,3/1/2001,NA,NA,5.00E-04,0.002,0.009,NA,NA,-69,NA,1890,282,NA,NA,0.053,3.6,8.27,NA,NA,NA
31,Apr-01,Clark Fork River above Flathead,4/14/2001,NA,NA,0.0026,0.003,0.021,0.2,0.03,-73,12.45,3765,239,0.001,NA,0.071,9.7,8.37,6.165,112.5,NA
32,May-01,Clark Fork River above Flathead,5/23/2001,NA,NA,7.00E-04,0.007,0.026,0.2,0.03,-56,7.69,11900,146,0.001,73,0.074,13.9,8,NA,80,NA
33,Jun-01,Clark Fork River above Flathead,6/20/2001,NA,NA,0.0024,0.002,0.019,0.1,NA,-73,NA,9850,173,0.003,87,0.005,17.4,8.44,NA,NA,NA
34,Jul-01,Clark Fork River above Flathead,7/22/2001,NA,NA,NA,0.003,0.018,0.2,NA,80.9,NA,3590,234,NA,118,0.006,19.4,8.55,NA,NA,NA
35,Aug-01,Clark Fork River above Flathead,8/22/2001,NA,NA,NA,0.003,0.012,0.2,NA,95.3,9.3,1970,229,0.001,117,0.014,19.4,8.77,1.54,100,NA
36,Sep-01,Clark Fork River above Flathead,9/26/2001,NA,NA,NA,0.002,0.008,0.3,NA,84.2,9.8,1739,248,NA,126,0.011,15.2,8.34,1.68,96,NA
37,Oct-01,Clark Fork River above Flathead,10/25/2001,NA,NA,0.0194,0.002,0.011,0.2,0.04,112,11.2,2610,265,0.001,135,0.019,8.6,9.54,2.85,98,NA
38,Nov-01,Clark Fork River above Flathead,11/20/2001,NA,NA,NA,0.002,0.007,NA,0.01,71.8,12.73,2610,235,0.001,127,0.015,7.4,8.19,2.2,105,NA
39,Dec-01,Clark Fork River above Flathead,12/20/2001,NA,NA,7.00E-04,0.003,0.002,NA,NA,77.6,10.89,2160,253,0.001,128,0.025,3.4,8.52,0.75,84,NA
40,Jan-02,Clark Fork River above Flathead,1/30/2002,NA,NA,NA,0.003,0.006,NA,0.02,-94.2,11.99,2039,240,0.001,122,0.055,1.9,8.79,1.01,87,NA
41,Mar-02,Clark Fork River above Flathead,3/6/2002,NA,NA,NA,0.002,0.008,NA,NA,2.5,12.38,2640,229,0.001,117,0.071,2.3,6.54,2.23,90,NA
42,Apr-02,Clark Fork River above Flathead,4/3/2002,NA,NA,0.0011,0.001,0.045,0.4,0.02,-74.6,11.85,4270,231,0.002,120,0.092,5.9,8.07,7.88,96,NA
43,May-02,Clark Fork River above Flathead,5/15/2002,NA,NA,0.0069,0.0085,0.053,0.3,0.03,-50.85,10.36,21510,131,0.004,65.5,0.0475,10.55,7.61,27.845,93,NA
44,Jun-02,Clark Fork River above Flathead,6/19/2002,NA,NA,0.0028,0.007,0.043,0.1,0.03,-47.4,8.37,29000,109,0.002,55,0.04,12.3,7.9,25.5,78,NA
45,Jul-02,Clark Fork River above Flathead,7/24/2002,NA,NA,NA,0.002,0.007,0.1,NA,-51.2,NA,5180,225,0.001,113,NA,21.1,7.85,3.48,NA,NA
46,Aug-02,Clark Fork River above Flathead,8/21/2002,NA,NA,NA,NA,0.01,NA,0.03,-71.8,8.32,2870,225,0.001,113,0.02,17.4,8.55,1.71,88,NA
47,Sep-02,Clark Fork River above Flathead,9/25/2002,NA,NA,0.001,NA,0.01,NA,NA,-50.6,NA,2540,246,0.001,126,0.02,13.3,7.77,1.51,NA,NA
48,Jun-03,Clark Fork River above Flathead,6/17/2003,NA,NA,NA,0.0115,0.032,0.3,0.015,-38.4,7.81,NA,131.3,NA,69.7,0.055,18.5,7.745,11.9,98.45,NA
49,Jul-03,Clark Fork River above Flathead,7/15/2003,NA,NA,NA,0.003,0.01,0.15,0.02,-66.15,7.72,NA,199.15,NA,106.35,0.012,24.6,8.16,1.105,97.55,NA
50,Aug-03,Clark Fork River above Flathead,8/12/2003,NA,NA,NA,0.0025,0.009666667,0.2,0.01,-78.16666667,7.466666667,NA,224.3333333,NA,120.4666667,0.008333333,21.76666667,8.32,0.74,93,NA
51,Sep-03,Clark Fork River above Flathead,9/16/2003,NA,NA,NA,0.003,0.009,0.2,NA,-79.63333333,8.7,NA,251,NA,134.2333333,0.008,16.36666667,8.483333333,1.393333333,96,NA
52,May-04,Clark Fork River above Flathead,5/18/2004,NA,NA,NA,0.008,0.023,0.1,NA,-54.6,9.2,NA,151.5,NA,NA,0.051,125,7.93,3.42,96,NA
53,Jun-04,Clark Fork River above Flathead,6/15/2004,NA,NA,NA,0.004,0.018,0.15,0.02,-63.5,8.933333333,NA,128.1666667,NA,NA,0.036,16.73333333,8.083333333,4.286666667,94.66666667,NA
54,Jul-04,Clark Fork River above Flathead,7/22/2004,NA,NA,NA,0.003,0.0115,0.15,NA,-80.5,7.6,NA,205.7,NA,NA,0.011,122.15,8.485,1.265,95.5,NA
55,Aug-04,Clark Fork River above Flathead,8/19/2004,NA,NA,NA,0.0045,0.016,0.3,NA,-80.45,8.4,NA,215.5,NA,NA,0.01,18.75,8.515,1.91,95.5,NA
56,Sep-04,Clark Fork River above Flathead,9/14/2004,NA,NA,NA,0.002333333,0.013,0.1,0.01,-87.3,8.85,NA,208.2,NA,NA,NA,15,8.44,246,97,NA
57,Jan-05,Clark Fork River above Flathead,1/19/2005,NA,NA,0.003,0.004,0.014,NA,NA,NA,12.5,NA,297,NA,NA,0.134,1.3,7.85,2.8,91,NA
58,Feb-05,Clark Fork River above Flathead,2/16/2005,NA,NA,0.001,NA,0.009,NA,NA,NA,12.6,NA,228,0.002,NA,0.007,3.5,8.24,4.1,103,NA
59,Mar-05,Clark Fork River above Flathead,3/16/2005,NA,NA,0.0019,0.005,0.018,0.2,NA,NA,8.1,NA,215,0.001,NA,0.027,8,8.27,5.4,89,NA
60,Apr-05,Clark Fork River above Flathead,4/14/2005,NA,NA,0.0037,0.007,0.019,0.2,NA,NA,10.4,NA,188,0.002,NA,0.02,8,8.08,6.2,88,NA
61,May-05,Clark Fork River above Flathead,5/17/2005,NA,NA,0.015,0.009,0.057,0.4,NA,NA,8.9,NA,120,0.008,NA,0.07,11.7,7.42,20.8,80,NA
62,Jun-05,Clark Fork River above Flathead,6/17/2005,NA,NA,0.0078,0.01,0.0335,0.266666667,0.015,NA,8.9,NA,271.5,0.007,NA,0.0295,14.6,8.19,12.2,94,NA
63,Jul-05,Clark Fork River above Flathead,7/14/2005,NA,NA,0.0023,0.0035,0.013,0.15,NA,NA,8.4,NA,211,0.003,NA,0.007,18.7,8.54,2.3,97,NA
64,Aug-05,Clark Fork River above Flathead,8/11/2005,NA,NA,0.0018,0.034,0.0125,0.3,NA,NA,5.95,NA,220.5,0.002,NA,0.013,20.1,8.785,1,72,NA
65,Sep-05,Clark Fork River above Flathead,9/14/2005,NA,NA,0.0014,0.0035,0.007666667,0.1,0.03,NA,8.4,NA,256.3333333,0.002,NA,0.011,15.7,8.446666667,1.133333333,92.5,NA
66,Oct-05,Clark Fork River above Flathead,10/19/2005,NA,NA,8.00E-04,0.003,0.012,0.1,NA,NA,NA,NA,272,0.002,NA,0.014,9.3,8.54,NA,NA,NA
67,Nov-05,Clark Fork River above Flathead,11/16/2005,NA,NA,0.0014,0.004,0.011,NA,NA,NA,NA,NA,210,0.002,NA,0.03,3.8,NA,NA,NA,NA
68,Dec-05,Clark Fork River above Flathead,12/13/2005,NA,NA,0.0014,0.003,0.004,NA,NA,NA,NA,NA,284,0.002,NA,0.139,0.9,NA,NA,NA,NA
69,May-06,Clark Fork River above Flathead,5/31/2006,NA,NA,NA,0.009,0.042,0.3,0.02,NA,8.4,NA,125.3,NA,NA,0.071,16.4,7.8,16.7,NA,NA
70,Jun-06,Clark Fork River above Flathead,6/22/2006,NA,NA,NA,0.0065,0.0245,0.15,0.015,NA,8.45,NA,133.35,NA,NA,0.025,16.85,7.965,7.46,NA,NA
71,Jul-06,Clark Fork River above Flathead,7/13/2006,NA,NA,NA,0.003,0.011,0.1,0.02,NA,7.95,NA,197.6,NA,NA,0.008,21.95,8.185,1.495,NA,NA
72,Aug-06,Clark Fork River above Flathead,8/18/2006,NA,NA,NA,0.004,0.00825,0.15,0.01,NA,8.333333333,NA,226,NA,NA,0.012,18.7,8.393333333,0.77,NA,NA
73,Sep-06,Clark Fork River above Flathead,9/21/2006,NA,NA,NA,0.004,0.0085,0.2,NA,NA,9.05,NA,250,NA,NA,0.0095,15.65,8.64,1.65,NA,NA
74,Jun-07,Clark Fork River above Flathead,6/16/2007,NA,NA,NA,0.008666667,0.03,0.166666667,0.03,NA,NA,NA,NA,NA,NA,0.029,NA,NA,NA,NA,NA
75,Jul-07,Clark Fork River above Flathead,7/19/2007,NA,NA,NA,0.005,0.0225,0.25,NA,NA,NA,NA,NA,NA,NA,0.0115,NA,NA,NA,NA,NA
76,Aug-07,Clark Fork River above Flathead,8/19/2007,NA,NA,NA,0.00325,0.00875,0.175,0.03,NA,NA,NA,NA,NA,NA,0.01175,NA,NA,NA,NA,NA
77,Sep-07,Clark Fork River above Flathead,9/13/2007,NA,NA,NA,0.0045,0.0125,0.1,NA,NA,NA,NA,NA,NA,NA,0.012,NA,NA,NA,NA,NA
78,Jun-08,Clark Fork River above Flathead,6/19/2008,NA,NA,NA,NA,0.046,0.25,0.015,-40.1,9.82,NA,124.1,NA,65.8,0.0415,14.45,8.165,22.25,96,NA
79,Jul-08,Clark Fork River above Flathead,7/17/2008,NA,NA,NA,NA,0.014,0.15,0.01,-54.83333333,8.853333333,NA,173.4333333,NA,91.96666667,0.015,20.76666667,8.486666667,3.853333333,98.23333333,NA
80,Aug-08,Clark Fork River above Flathead,8/11/2008,NA,NA,NA,NA,0.0085,0.133333333,0.01,-77.2,8.593333333,NA,221,NA,117.3333333,0.016,19.46666667,8.676666667,1.363333333,93.7,NA
81,Sep-08,Clark Fork River above Flathead,9/7/2008,NA,NA,NA,NA,0.0095,0.2,NA,-74,9.235,NA,237,NA,126,0.014,16.45,8.865,1.77,94.45,NA
82,Jun-09,Clark Fork River above Flathead,6/25/2009,NA,NA,NA,9.39,24.04,NA,18.55,-35.7,8.63,NA,146.4,NA,77.9,31.78,19.2,8.07,11.4,NA,NA
83,Jul-09,Clark Fork River above Flathead,7/16/2009,NA,NA,NA,3.88,10.68666667,NA,9.25,-55.13333333,8.4,NA,195.6,NA,103.9333333,5.83,22.1,8.29,2.616666667,NA,NA
84,Aug-09,Clark Fork River above Flathead,8/10/2009,NA,NA,NA,3.4775,9.6475,NA,5.888,-75.26666667,8.68,NA,236,NA,125.3333333,7.4625,20.43333333,8.676666667,1.3,NA,NA
85,Sep-09,Clark Fork River above Flathead,9/7/2009,NA,NA,NA,3.15,8.326666667,NA,11.9625,-74.26666667,8.6,NA,249.3333333,NA,132.6,6.725,20.16666667,8.5,1.36,NA,NA
86,Jun-10,Clark Fork River above Flathead,6/24/2010,NA,NA,NA,12.7,37.1,NA,58.4,-34,8.51,NA,143.3,NA,76.1,42.5,18.9,7.83,12.9,NA,NA
87,Jul-10,Clark Fork River above Flathead,7/15/2010,NA,NA,NA,4.766666667,10.93333333,NA,9.033333333,-61.43333333,8.48,NA,193.2333333,NA,102.5666667,7.766666667,21.03333333,8.22,1.92,NA,NA
88,Aug-10,Clark Fork River above Flathead,8/7/2010,NA,NA,NA,3.55,10.675,NA,6.15,-71.76666667,8.356666667,NA,235.6666667,NA,125.5333333,8,22.9,8.413333333,1.39,NA,NA
89,Sep-10,Clark Fork River above Flathead,9/9/2010,NA,NA,NA,3.2,9.8,NA,9.4,-78.36666667,8.903333333,NA,243.3333333,NA,129.3333333,9.166666667,16.3,8.54,1.736666667,NA,NA
90,Jun-11,Clark Fork River above Flathead,6/26/2011,NA,NA,NA,12.6,74,NA,14.6,159.3,9.955,NA,159.45,NA,103.4,30.15,13.35,7.97,45,NA,NA
91,Jul-11,Clark Fork River above Flathead,7/21/2011,NA,NA,NA,7.6,22.8,NA,9.833333333,213.1,8.736666667,NA,144.8,NA,94.06666667,21.56666667,16.6,8.206666667,9.153333333,NA,NA
92,Aug-11,Clark Fork River above Flathead,8/10/2011,NA,NA,NA,4.525,15.3,NA,9.9,207.3,8.676666667,NA,196.3666667,NA,127.6333333,5.25,18.56666667,8.463333333,1.126666667,NA,NA
93,Sep-11,Clark Fork River above Flathead,9/9/2011,NA,NA,NA,4.5,8.05,NA,6.35,240.95,9.1,NA,223.5,NA,145.25,24.35,14.95,8.505,1.29,NA,NA
94,Jun-12,Clark Fork River above Flathead,6/24/2012,NA,NA,NA,7.045,16.25,NA,7.025,98.95,9.565,NA,110.95,NA,72.15,13.875,14.35,8.28,5.595,NA,NA
95,Jul-12,Clark Fork River above Flathead,7/19/2012,NA,NA,NA,3.24,9.47,NA,11.94666667,120.9666667,8.156666667,NA,174.5333333,NA,113.5333333,9.343333333,19.83333333,8.326666667,1.656666667,NA,NA
96,Aug-12,Clark Fork River above Flathead,8/9/2012,NA,NA,NA,4.166666667,8.2,NA,7.663333333,94.43333333,8.306666667,NA,207.6666667,NA,134.9666667,10.085,19.06666667,8.486666667,0.823333333,NA,NA
97,Sep-12,Clark Fork River above Flathead,9/4/2012,NA,NA,NA,1.75,7.78,NA,6.07,123.6,8.815,NA,211,NA,137.5,10.585,15.25,8.55,1.235,NA,NA
98,Jul-13,Clark Fork River above Flathead,7/27/2013,NA,NA,NA,3.883333333,8.866666667,NA,NA,-437.5666667,9.21,NA,211.6666667,NA,137.5666667,11.60666667,20.8,8.453333333,1.083333333,NA,NA
99,Aug-13,Clark Fork River above Flathead,8/29/2013,NA,NA,NA,3.53,9.04,NA,8.73,-392,7.9,NA,227,NA,147.55,10.405,19.5,8.445,1.015,NA,NA
100,Sep-13,Clark Fork River above Flathead,9/19/2013,NA,NA,NA,2.73,12.48,NA,11.23,-437.3,8.94,NA,248.7,NA,161.8,8.93,16.3,8.43,1.48,NA,NA
101,Jul-14,Clark Fork River above Flathead,7/10/2014,NA,NA,NA,5.3,13.95,NA,9.4,-107.2,9.02,NA,153.35,NA,99.45,11.2,18.5,7.93,3.7,NA,NA
102,Aug-14,Clark Fork River above Flathead,8/16/2014,NA,NA,NA,3.366666667,9.733333333,NA,13.4,175.6666667,8.4,NA,237.7333333,NA,154.6666667,8.733333333,19.2,8.176666667,1.44,NA,NA
103,Sep-14,Clark Fork River above Flathead,9/18/2014,NA,NA,NA,4.1,8.05,NA,10.8,238.1,9.68,NA,280.7,NA,182.6,7.7,15.5,8.06,1.54,NA,NA
104,Jul-15,Clark Fork River above Flathead,7/9/2015,NA,NA,NA,2.2,10.55,NA,5.3,109.55,8.44,NA,182.2,NA,118.6,7.65,20.55,8.58,0.9,90.5,NA
105,Aug-15,Clark Fork River above Flathead,8/5/2015,NA,NA,NA,NA,10.05,NA,9.2,137.9,8.235,NA,211.55,NA,137.5,5.45,18.5,8.525,1.04,87.9,NA
106,Sep-15,Clark Fork River above Flathead,9/10/2015,NA,NA,NA,NA,12.03333333,NA,6.1,115.9,9.03,NA,240.5,NA,156.65,6.05,14.25,8.48,1.955,88.2,NA
107,Jul-16,Clark Fork River above Flathead,7/24/2016,NA,NA,NA,1.2,8.7,NA,21.1,162.35,8.415,NA,192.05,NA,124.8,9.6,18.8,8.345,0.86,90.3,NA
108,Aug-16,Clark Fork River above Flathead,8/18/2016,NA,NA,NA,0.85,9.6,NA,13.75,162.65,7.59,NA,217,NA,141.05,6.55,17,8.365,1.08,78.65,NA
109,Sep-16,Clark Fork River above Flathead,9/8/2016,NA,NA,NA,1.025,11.23333333,NA,27.6,130.25,7.75,NA,234.4,NA,152.45,8,14,8.375,1.52,78,NA
110,Jul-17,Clark Fork River above Flathead,7/19/2017,NA,NA,NA,1.55,NA,NA,NA,200.25,8.63,NA,209.3,NA,135.8,NA,20.1,8.14,1.08,95.15,NA
111,Aug-17,Clark Fork River above Flathead,8/5/2017,NA,NA,NA,1.6,NA,NA,NA,201.95,8.525,NA,222.75,NA,144.6,NA,19,8.305,0.9165,91.8,NA
112,Sep-17,Clark Fork River above Flathead,9/6/2017,NA,NA,NA,NA,NA,NA,NA,208.55,9.27,NA,250.4,NA,162.85,NA,14.55,8.215,1.435,90.7,NA
113,Jul-18,Clark Fork River above Flathead,7/19/2018,NA,NA,NA,3.1,NA,NA,NA,38.3,5.405,NA,208.25,NA,135.5,NA,19.05,8.2,3.155,58.6,NA
114,Aug-18,Clark Fork River above Flathead,8/8/2018,NA,NA,NA,NA,NA,NA,NA,9.85,8.545,NA,239.15,NA,155.35,NA,17.95,8.33,0.98,90.1,NA
115,Sep-18,Clark Fork River above Flathead,9/7/2018,NA,NA,NA,1,NA,NA,NA,44.25,9.235,NA,257.4,NA,167.4,NA,13.75,8.215,1.205,89.1,NA
116,Jul-19,Clark Fork River above Flathead,7/10/2019,NA,NA,NA,0.0235,NA,NA,NA,NA,8.755,NA,208.55,NA,135.525,NA,17.4,8.45,2.13,91.5,NA
117,Aug-19,Clark Fork River above Flathead,8/6/2019,NA,NA,NA,0.016666667,NA,NA,NA,NA,9.12,NA,247.15,NA,160.55,NA,20.55,8.57,2.32,101.5,NA
118,Sep-19,Clark Fork River above Flathead,9/7/2019,NA,NA,NA,0.0105,NA,NA,NA,NA,9.26,NA,265.6,NA,172.95,NA,15.2,8.46,5.19,92.35,NA
119,Jul-20,Clark Fork River above Flathead,7/22/2020,NA,NA,NA,0.001,NA,NA,NA,NA,14.58,NA,200.05,NA,NA,NA,19.2,8.075,3.375,NA,NA
120,Aug-20,Clark Fork River above Flathead,8/6/2020,NA,NA,NA,0.003,NA,NA,NA,NA,8.485,NA,241.35,NA,NA,NA,18.7,8.24,1.18,NA,NA
121,Sep-20,Clark Fork River above Flathead,9/6/2020,NA,NA,NA,0.004,NA,NA,NA,NA,9.44,NA,260.95,NA,NA,NA,13.85,8.13,1.705,NA,NA
122,Jul-21,Clark Fork River above Flathead,7/18/2021,NA,NA,NA,0.025,NA,NA,NA,NA,8.33,NA,216,NA,NA,NA,9.95,8.525,2.955,NA,NA
123,Aug-21,Clark Fork River above Flathead,8/9/2021,NA,NA,NA,NA,NA,NA,NA,NA,8.95,NA,251.3,NA,NA,NA,18.1,8.36,2.25,NA,NA
124,Sep-21,Clark Fork River above Flathead,9/7/2021,NA,NA,NA,NA,NA,NA,NA,NA,9.54,NA,269.7,NA,NA,NA,13.45,8.305,2.635,NA,NA
125,Oct-21,Clark Fork River above Flathead,10/8/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,Jul-22,Clark Fork River above Flathead,7/14/2022,NA,NA,NA,0.002,NA,NA,NA,NA,7.59,NA,169.7,NA,NA,NA,18.4,7.95,3.98,NA,NA
127,Aug-22,Clark Fork River above Flathead,8/6/2022,NA,NA,NA,0.0185,NA,NA,NA,NA,77.98666667,NA,227.1333333,NA,NA,NA,19.73333333,8.196666667,0.96,NA,NA
128,Sep-22,Clark Fork River above Flathead,9/8/2022,NA,NA,NA,0.001,NA,NA,NA,NA,10.48,NA,255,NA,NA,NA,15.05,8.24,1.835,NA,NA
129,Jun-98,Clark Fork River above Little Blackfoot,6/10/1998,NA,NA,NA,0.011,0.05,0.3,NA,NA,NA,NA,NA,0.024,NA,NA,NA,NA,NA,NA,NA
130,Jul-98,Clark Fork River above Little Blackfoot,7/10/1998,NA,NA,0.036,0.0325,0.0565,0.3,NA,NA,NA,NA,NA,0.041,NA,0.05,NA,NA,NA,NA,NA
131,Aug-98,Clark Fork River above Little Blackfoot,8/15/1998,NA,NA,NA,0.023666667,0.05,0.533333333,NA,NA,NA,97,NA,0.009,NA,NA,NA,NA,NA,NA,NA
132,Sep-98,Clark Fork River above Little Blackfoot,9/8/1998,NA,NA,NA,0.006,0.036333333,0.2,NA,-80,NA,136.6666667,484,0.01,243,NA,18.9,8.32,NA,NA,NA
133,Oct-98,Clark Fork River above Little Blackfoot,10/5/1998,NA,NA,0.0113,0.012,0.04,0.3,NA,-61,12.4,286,430,0.02,217,0.05,8.5,8.1,NA,NA,NA
134,Nov-98,Clark Fork River above Little Blackfoot,11/16/1998,NA,NA,0.0168,0.007,0.02,0.3,NA,-69,9.6,319,438,0.018,218,0.17,6.3,8.17,NA,NA,NA
135,Dec-98,Clark Fork River above Little Blackfoot,12/14/1998,NA,NA,0.0168,0.009,0.03,0.2,NA,-52,10.5,282,501,0.021,257,0.37,4.4,7.92,NA,NA,NA
136,Jan-99,Clark Fork River above Little Blackfoot,1/25/1999,NA,NA,0.0182,0.024,0.04,NA,0.01,-32,6.5,248,611,0.008,303,0.42,0.1,7.59,NA,NA,NA
137,Mar-99,Clark Fork River above Little Blackfoot,3/1/1999,NA,NA,0.0373,0.005,0.081,0.3,NA,-70,12.9,301,444,0.015,226,0.21,5.9,8.54,NA,NA,NA
138,Apr-99,Clark Fork River above Little Blackfoot,4/5/1999,NA,NA,0.0206,0.006,0.055,0.3,NA,-53,10.5,257,484,0.021,244,0.22,8.3,7.99,NA,NA,NA
139,May-99,Clark Fork River above Little Blackfoot,5/13/1999,NA,NA,0.02205,0.0075,0.0955,0.4,NA,-35,NA,334.5,426,0.019,216,0.08,15.8,7.57,NA,NA,NA
140,Jun-99,Clark Fork River above Little Blackfoot,6/14/1999,NA,NA,0.0555,0.021,0.099,0.4,0.02,-25,16.7,415,272,0.053,138,0.12,19.6,7.25,NA,NA,NA
141,Jul-99,Clark Fork River above Little Blackfoot,7/13/1999,NA,NA,0.0051,0.012666667,0.052333333,0.266666667,0.01,-48,NA,177,391,0.014,198,0.16,26.4,7.82,NA,NA,NA
142,Aug-99,Clark Fork River above Little Blackfoot,8/17/1999,NA,NA,0.0197,0.027666667,0.065,0.366666667,0.02,-37,12.2,121,409,0.023,204,0.046666667,22.5,7.71,NA,141,NA
143,Sep-99,Clark Fork River above Little Blackfoot,9/16/1999,NA,NA,0.0188,0.007333333,0.038666667,0.333333333,NA,52,NA,174.6666667,483,0.021,249,NA,13.1,5.68,NA,NA,NA
