,Site,ActivityStartDate,NH4_mg_L,DIN_mg_L,SRP__mg_L,pH,SPC,Temp_oC,TDS,TN_mg_L,TP_mg_L,TURBIDITY,Q_CFS.x,Q_CFS.y,Days.Since.Freshet,Q.Anomaly,AFDM,CHLa
82,BM,8/15/2008,0.033333333,0.032333333,NA,8.52,249.3333333,16.33333333,134.65,0.225,0.013333333,3.896666667,35500,2150,81,4.063450247,15.315,62.85
83,BM,9/13/2008,0.028333333,0.044166667,NA,8.52,285.0833333,13.55833333,153.6083333,0.225,0.013333333,2.989166667,35500,2150,110,4.063450247,13.565,73.2
96,BM,8/9/2009,0.007073333,0.032798333,0.007435,8.223333333,259.8333333,16.68333333,137.8166667,0.222916667,0.019833333,3.883333333,35300,2150,68,4.051987741,10.75,38
97,BM,9/8/2009,0.011569,0.043121,0.008719,8.223333333,292.1666667,16.4,154.8666667,0.222916667,0.019833333,2.826666667,35300,2150,99,4.051987741,40.7,360.7619048
110,BM,8/6/2010,0.00925,0.034783333,0.007583333,7.793333333,256.1666667,18.13333333,136.2333333,0.2431875,0.019666667,3.126666667,23100,2150,61,3.277832523,20.52631579,66.4047619
111,BM,9/9/2010,0.020929167,0.052858333,0.006541667,7.793333333,290.3333333,15.75,154.3,0.2431875,0.019666667,3.398333333,23100,2150,95,3.277832523,31.95,138.8285714
125,BM,8/10/2011,0.018116667,0.026616667,0.011366667,8.3,221.2833333,15.3,143.8666667,0.186333333,0.020933333,4.933333333,46600,2150,61,4.655579299,13.0952381,44.28571429
124,BM,9/13/2011,0.015883333,0.040183333,0.008533333,8.3,257.9083333,14.225,167.6166667,0.186333333,0.020933333,2.09,46600,2150,93,4.655579299,8.428571429,39.33333333
138,BM,8/12/2012,0.01567,0.02843,0.00589,8.263333333,238.8166667,17.05,155.1166667,0.211651667,0.01575,2.208333333,33700,2150,103,3.959093154,12.04761905,32.76190476
139,BM,9/6/2012,0.0086125,0.038736667,0.003516667,8.263333333,250.775,14.29166667,162.925,0.211651667,0.01575,2.200833333,33700,2150,130,3.959093154,27.80952381,161.3809524
155,BM,8/8/2013,0.0136725,0.02705,0.0035125,8.345,258.95,18.175,168.325,0.238280556,0.013125,2.49,25600,2150,83,3.450648743,8.047619048,22.80952381
156,BM,9/9/2013,0.013594167,0.0367375,0.005550833,8.345,282.1,16.325,183.275,0.238280556,0.013125,2.7125,25600,2150,115,3.450648743,14.47619048,81.42857143
163,BM,7/20/2014,NA,0.0093,0.00825,8.13,228.75,16.95,148.85,0.175,0.01435,3.79,33400,2150,58,3.941431684,14.63684211,44.15789474
164,BM,9/6/2014,0.0118,0.0244,0.006875,8.13,308.925,15.375,200.675,0.175,0.01435,2.335,33400,2150,101,3.941431684,19.53809524,123.6666667
183,BM,7/9/2015,0.0075,0.01145,0.0023,8.395,222.05,18.9,144.3,0.228333333,0.01925,1.465,15200,2150,32,2.658903428,64.375,228.125
182,BM,8/8/2015,0.0098,0.0165,0.0022,8.395,251.775,17.6,163.625,0.228333333,0.01925,2.1825,15200,2150,64,2.658903428,24.76190476,100.2380952
181,BM,9/12/2015,0.01155,0.0211,0.00245,8.395,291.175,14.9,189.275,0.228333333,0.01925,3.83,15200,2150,99,2.658903428,16.33333333,76.33333333
196,BM,7/14/2016,0.0079,0.0113,0.001666667,8.34,244.85,16.75,159.25,0.214,0.0232,1.63,16800,2150,65,2.795344968,70.22975,252.7425
197,BM,9/8/2016,0.012925,0.0315,0.00205,8.34,275.925,13.425,179.375,0.214,0.0232,5.965,16800,2150,120,2.795344968,51.02380952,285.7619048
214,BM,7/13/2017,0.010675,0.010766667,0.004266667,8.085,249.05,17.5,161.8,0.192722222,0.0156,2.265,29200,2150,26,3.685294472,5.071428571,13.5047619
215,BM,8/10/2017,0.0116125,0.021283333,0.004083333,8.085,261.025,17,169.625,0.192722222,0.0156,2.025,29200,2150,56,3.685294472,6.585714286,24.99047619
216,BM,9/7/2017,0.010825,0.02995,0.004,8.085,288.1,14.325,187.225,0.192722222,0.0156,2.435,29200,2150,83,3.685294472,47.01904762,175.8380952
229,BM,8/10/2018,0.03095,0.021475,0.006775,8.17,269.275,16.75,175,0.193944444,0.01745,2.755,51200,2150,90,4.879954251,11.46315789,42.51052632
230,BM,9/12/2018,0.020483333,0.033441667,0.003558333,8.17,298.125,14.975,193.725,0.193944444,0.01745,2.1,51200,2150,123,4.879954251,23.26666667,148.3619048
244,BM,8/8/2019,0.025,0.032083333,0.021583333,8.485,285.525,17.425,185.74,0.165555556,0.014,3.6425,34000,2150,81,3.976676186,15.06725,44.315
245,BM,9/9/2019,0.0225,0.039,0.015,8.485,311.35,16.075,202.725,0.165555556,0.014,6.2975,34000,2150,112,3.976676186,58.55,253.4
261,BM,8/11/2020,NA,0.017,0.0045,8.255,269.325,17.9,NA,0.147222222,0.0205,3.3925,37300,2150,77,4.165193538,17.42095238,55.13571429
262,BM,9/10/2020,0.02,0.025,0.005,8.255,291.85,15.65,NA,0.147222222,0.0205,2.9875,37300,2150,107,4.165193538,24.88333333,116.3857143
279,BM,7/16/2021,0.02,0.02,0.001,8.44,262.35,17.6,NA,0.151111111,0.007,2.045,28200,2150,40,3.621640384,16.38095238,57.33333333
278,BM,8/16/2021,0.02,0.0175,0.001,8.44,280.525,17,NA,0.151111111,0.007,3.2675,28200,2150,65,3.621640384,14.04761905,59.19047619
295,BM,7/20/2022,NA,0.01,0.004,7.99,237.6,17.4,NA,0.181666667,0.031666667,6.14,28700,2150,40,3.653606056,16.71428571,53.86095714
296,BM,9/11/2022,0.02,0.033,0.01,7.99,289.975,17.725,NA,0.181666667,0.031666667,3.230833333,28700,2150,87,3.653606056,21.04761905,116.1640619
77,BN,8/10/2008,0.02,0.005833333,NA,8.553333333,439.3333333,17.73333333,233.35,0.266666667,0.015,3.835,3100,2830,65,1.046616625,103.72,112.75
76,BN,9/9/2008,0.01,0.006166667,NA,8.553333333,480.5,14.90833333,255.0833333,0.266666667,0.015,4.364166667,3100,2830,93,1.046616625,61.085,259.4736842
90,BN,8/7/2009,0.008523333,0.00616125,0.015671667,8.176666667,399,18.51666667,211.9666667,0.26075,0.036396667,7.168333333,3700,2830,73,1.143424897,111.7,144.8571429
91,BN,9/7/2009,0.009326667,0.008506667,0.01066,8.176666667,451.5,17.83333333,239.8333333,0.26075,0.036396667,4.641666667,3700,2830,104,1.143424897,56.35,225.6190476
105,BN,8/6/2010,0.008625,0.005770833,0.0214,7.88,399.5,19.1,212.0666667,0.279229167,0.0363,3.798333333,4130,2830,48,1.208041372,68.68421053,61.98947368
104,BN,9/9/2010,0.006825,0.003433333,0.0162,7.88,445.8333333,17.01666667,238.1666667,0.279229167,0.0363,3.228333333,4130,2830,83,1.208041372,82.45,138.3571429
119,BN,8/9/2011,0.009216667,0.01155,0.024183333,8.26,336.4166667,16.9,218.7166667,0.232388889,0.0396,7.581666667,7740,2830,59,1.653778199,16.44444444,34.875
118,BN,9/10/2011,0.00715,0.004391667,0.02135,8.26,399.8666667,15.075,259.9583333,0.232388889,0.0396,3.293333333,7740,2830,90,1.653778199,17.2,69.55555556
132,BN,7/24/2012,0.008898333,0.002898333,0.013656667,8.42,361.525,16.88333333,235.0583333,0.258020417,0.022826667,3.64,2180,2830,88,0.877677629,122.7619048,216.1428571
133,BN,9/4/2012,0.00976,0.00576,0.004168333,8.42,464.475,15.225,302.0333333,0.258020417,0.022826667,2.57,2180,2830,128,0.877677629,71.28571429,167.85
148,BN,6/28/2013,0.018076667,0.011175,0.00556,8.3,446.4,19,289.9,0.253377778,0.014075,2.075,1080,2830,28,0.617758401,78.0952381,99
147,BN,8/9/2013,0.014190833,0.0067675,0.006095,8.3,476.95,18.275,309.9,0.253377778,0.014075,2.265,1080,2830,68,0.617758401,60.61904762,111.952381
149,BN,9/6/2013,0.0108,0.0017925,0.00682,8.3,513.75,16.65,333.95,0.253377778,0.014075,4.8425,1080,2830,96,0.617758401,63.47619048,119.6190476
160,BN,8/14/2014,0.01765,0.004558333,0.020308333,8.165,463.375,18.525,301.275,0.239944444,0.0335,4.925,2620,2830,157,0.962182443,79.19767442,129.372093
173,BN,7/8/2015,0.00755,0.002333333,0.00245,8.24,395,19.15,256.75,0.286611111,0.02115,1.245,1500,2830,32,0.728035257,97.76190476,68.9047619
174,BN,8/6/2015,0.01035,0.002591667,0.002175,8.24,449.625,17.7,292.175,0.286611111,0.02115,2.705,1500,2830,63,0.728035257,151.9,179.15
175,BN,9/11/2015,0.013775,0.002275,0.003475,8.24,492,14.625,319.65,0.286611111,0.02115,5.72,1500,2830,99,0.728035257,26.52380952,57.04761905
190,BN,7/15/2016,0.008033333,0.001633333,0.001233333,8.135,465.15,17.3,302.3,0.347055556,0.07645,0.94,1330,2830,49,0.685539688,178.8008108,185.3513514
191,BN,9/13/2016,0.029875,0.017025,0.006725,8.135,493.625,14.5,320.925,0.347055556,0.07645,21.83,1330,2830,102,0.685539688,60.10454545,96.27272727
206,BN,7/14/2017,0.01745,0.0047,0.01265,8.26,445.25,19.85,289.55,0.277333333,0.0147,2.985,5140,2830,26,1.347684836,24.08235294,21.73529412
207,BN,8/8/2017,0.016325,0.005825,0.0073,8.26,476.35,18.85,309.7,0.277333333,0.0147,2.3125,5140,2830,53,1.347684836,16.04285714,25.86190476
208,BN,9/7/2017,0.0133,0.00895,0.00435,8.26,506.875,15.375,329.525,0.277333333,0.0147,3.4575,5140,2830,84,1.347684836,31.16190476,58.45238095
224,BN,8/8/2018,0.01215,0.0051125,0.014666667,8.215,409.05,19.225,266,0.232444444,0.03365,3.8775,5870,2830,47,1.440210036,27.97142857,24.37142857
