,Year,Site,Q_CFS.x,LOG_Q_CFS.x,Q_CFS.y,anomaly,Days_Since_Freshet,pH,Specific conductance,"Temperature, water",Total dissolved solids,"Total Nitrogen, mixed forms",Turbidity,DIN,Ammonia,Nitrate + Nitrite,DNP,SNP,TNP,SPp,SRP,SP,"Total Phosphorus, mixed forms"
146,2011,BN,7740,3.888740961,2830,1.3984647,99,8.43,426.6,13.05,277250,235.5,3.77,9.75,6.2,3.55,0.50257732,10.28473804,5.69528416,0.530834341,19.4,21.95,41.35
377,2015,BN,1500,3.176091259,2830,0.809285218,38,,,,,245.3333333,,9.883333333,7.55,2.333333333,4.034013605,31.18543046,24.53333333,0.755,2.45,7.55,10
436,2021,BN,1650,3.217483944,2830,0.835409038,134,,,,,180,,10,10,,11.11111111,8.056872038,8.181818182,0.959090909,0.9,21.1,22
484,2021,MS,13500,4.130333768,2580,1.736086477,125,,,,,130,,10,10,,10,8.571428571,8.666666667,0.933333333,1,14,15
272,2021,MS,13500,4.130333768,2580,1.736086477,102,,,,,115,,10,10,,,10,10.95238095,1,,10.5,10.5
258,2020,MS,20000,4.301029996,2580,1.979110744,83,,,,,200,,10,7,3,2.222222222,16.52173913,12.5,0.71875,4.5,11.5,16
234,2022,BM,28700,4.457881897,2150,2.372180941,32,7.99,237.6,17.4,,140,6.14,10,,10,2.5,8.666666667,7.368421053,0.789473684,4,15,19
210,2015,GR,807,2.906873535,270,1.440466813,35,8.225,377.7,17.35,245700,317.5,1.885,10.35,8.7,1.65,0.953917051,14.98292683,10.12759171,0.653907496,10.85,20.5,31.35
361,2012,BN,2180,3.338456494,2830,0.916691813,81,8.42,408.6,19.26666667,265666.6667,253.4066667,1.72,10.54666667,7.776666667,2.77,2.795053004,26.21734436,19.4379954,0.710559959,3.773333333,9.263333337,13.03666667
406,2012,GR,999,2.999565488,270,1.546680374,39,,,,,290.65,,10.6475,8.8675,1.78,0.549335741,9.757884649,6.045447455,0.596848838,19.3825,28.695,48.0775
,2022,FH,35700,4.552668216,7590,1.675491183,100,8.24,255,15.05,,250,1.835,11,,11,11,9.56,9.615384615,0.961538462,1,25,26
368,2014,BN,2620,3.418301291,2830,0.974626656,183,8.255,504.05,14.15,327600,243,4.295,11.6,8.9,2.7,0.978902954,12.9273743,8.168067227,0.601680672,11.85,17.9,29.75
263,2013,FH,32700,4.514547753,7590,1.627178981,68,8.453333333,211.6666667,20.8,137566.6667,154.5866667,1.083333333,11.60666667,,11.60666667,2.988841203,28.6916388,17.43458647,0.562030075,3.883333333,4.983333334,8.866666667
385,2010,BN,4130,3.615950052,2830,1.134282431,54,8.073333333,436,19.73333333,231333.3333,217.6666667,2.79,11.61666667,7.65,3.966666667,0.563915858,13.12420382,5.996326906,0.432506887,20.6,15.7,36.3
313,2011,MS,28100,4.44870632,2580,2.216641899,99,8.36,277,12.1,180000,146,2.06,11.7,8.8,2.9,1.720588235,20.04477612,10.81481481,0.496296296,6.8,6.7,13.5
214,2014,MS,17100,4.23299611,2580,1.87841754,39,,,,,142,,11.76666667,8,3.766666667,1.297794118,9.743142147,6.329866271,0.595839524,9.066666667,13.36666666,22.43333333
326,2013,MS,12300,4.089905111,2580,1.683042703,118,,,,,,,11.79133333,10.82333333,0.968,3.178256962,,,0.643611912,3.71,6.7,10.41
189,2016,GR,598,2.776701184,270,1.303504315,77,,,,,279.6666667,,11.84166667,10.075,1.766666667,1.134984026,13.57221283,9.270718232,0.654143647,10.43333333,19.73333334,30.16666667
412,2015,FH,17000,4.230448921,7590,1.308385478,105,,,,,186.6666667,,12.15,6.1,6.05,,14.50277009,15.51246538,1,,12.03333333,12.03333333
104,2015,MS,7010,3.845718018,2580,1.395402309,31,,,,,171.6666667,,12.175,10.475,1.7,7.609375,17.14964158,15.74923548,0.853211009,1.6,9.3,10.9
193,2013,BN,1080,3.033423755,2830,0.725346923,103,8.28,520,15.75,338000,236.165,7.23,12.52,11.295,1.225,1.786019971,10.28016548,8.210151225,0.75630106,7.01,21.755,28.765
325,2014,MS,17100,4.23299611,2580,1.87841754,106,7.74,338.45,13.4,220050,189.5,2.595,12.65,10.8,1.85,2.386792453,17.00480769,12.07006369,0.662420382,5.3,10.4,15.7
302,2013,BN,1080,3.033423755,2830,0.725346923,75,8.315,507.5,17.55,329900,213.695,2.455,12.665,10.305,2.36,1.91025641,27.00201478,15.18259325,0.528952043,6.63,7.445,14.075
387,2012,MS,17600,4.245512668,2580,1.896550104,112,,,,,165.0766667,,12.74333333,9.133333333,3.61,3.392191659,16.95732839,12.95735217,0.705128205,3.756666667,8.983333333,12.74
452,2015,FH,17000,4.230448921,7590,1.308385478,36,8.58,182.2,20.55,118600,168.5,0.9,12.95,5.3,7.65,5.886363636,18.62874251,15.97156398,0.791469194,2.2,8.35,10.55
312,2012,BN,2180,3.338456494,2830,0.916691813,57,,,,,277.76,,13.04666667,10.02,3.026666667,0.554233928,14.63852535,6.673180108,0.43445183,23.54,18.08333333,41.62333333
260,2011,BN,7740,3.888740961,2830,1.3984647,68,8.356666667,373.1333333,17.1,242666.6667,182.3333333,2.816666667,13.33333333,8.1,5.233333333,0.572246066,10.36809816,4.604377104,0.411616162,23.3,16.3,39.6
408,2010,MS,10100,4.004321374,2580,1.576039952,55,,,,,189,,13.46666667,9.933333333,3.533333333,2.050761421,15.90936556,10.73863636,0.626893939,6.566666667,11.03333333,17.6
355,2017,MS,14700,4.167317335,2580,1.786073018,90,8.32,306.15,12.4,198900,210.5,2.64,13.55,9.6,3.95,7.131578947,16.2768595,15.03571429,0.864285714,1.9,12.1,14
191,2018,BN,5870,3.768638101,2830,1.275314278,52,8.385,447.65,17.95,291200,216,2,13.6,8.9,4.7,1.152542373,9.263157895,6.419019316,0.649331352,11.8,21.85,33.65
124,2017,MS,14700,4.167317335,2580,1.786073018,62,8.455,267.3,16.75,173850,180,1.62,13.65,11.6,2.05,6.825,18.79661017,16.58986175,0.815668203,2,8.85,10.85
130,2019,GR,1420,3.152288344,270,1.739034482,52,8.735,378.15,19.4,245705,230,4.03,13.7,13.7,,0.297826087,30.9,4.339622642,0.132075472,46,7,53
236,2014,GR,978,2.990338855,270,1.535765935,42,,,,,263.3333333,,13.9,12.25,1.65,0.788279773,18.11864406,8.386411889,0.438428875,17.63333333,13.76666667,31.4
,2008,FH,45700,4.6599162,7590,1.819246193,120,8.865,237,16.45,126000,200,1.77,14,,14,,,,1,,9.5,9.5
217,2010,FH,26400,4.421603927,7590,1.515144488,68,,,,,166.5,,14.15,6.15,8,3.985915493,21.38245614,15.5971897,0.667447307,3.55,7.125,10.675
388,2011,MS,28100,4.44870632,2580,2.216641899,69,,,,,130.3333333,,14.17333333,9.533333333,4.64,1.292401215,16.28411215,7.200736646,0.394106814,10.96666667,7.13333333,18.1
433,2010,MS,10100,4.004321374,2580,1.576039952,26,7.52,247,17.4,131400,164,2.816666667,14.25,9.35,4.9,1.425,15.81866197,8.424657533,0.48630137,10,9.46666667,19.46666667
518,2009,MS,17300,4.238046103,2580,1.885712438,106,7.853333333,301.6666667,15.66666667,160066.6667,161.6666667,1.793333333,14.291,10.395,3.896,4.124386724,20.47358186,15.16098782,0.675054704,3.465,7.19833333,10.66333333
110,2009,GR,1420,3.152288344,270,1.739034482,100,8.35,446.6666667,17.73333333,237333.3333,233.6666667,2.326666667,14.48,8.43,6.05,1.618479881,18.48116919,11.23037488,0.570009612,8.946666667,11.86,20.80666667
327,2014,MS,17100,4.23299611,2580,1.87841754,78,7.91,301.15,17.4,195950,151.5,1.55,14.55,12.65,1.9,3.38372093,18.88965517,13.11688312,0.627705628,4.3,7.25,11.55
100,2015,FH,17000,4.230448921,7590,1.308385478,69,8.525,211.55,18.5,137500,187,1.04,14.65,9.2,5.45,,17.14925373,18.60696517,1,,10.05,10.05
399,2009,MS,17300,4.238046103,2580,1.885712438,50,7.8,244.6666667,16.23333333,130033.3333,199.3333333,5.023333333,14.73333333,10.79,3.943333333,1.466489714,14.22553301,8.657883307,0.563631099,10.04666667,12.97666666,23.02333333
206,2012,MS,17600,4.245512668,2580,1.896550104,81,8.176666667,231.4,17.23333333,150566.6667,149.4866667,1.49,14.87,12.16,2.71,4.285302594,17.7907489,13.54454847,0.685593476,3.47,7.56666667,11.03666667
485,2008,BN,3100,3.491361694,2830,1.030841164,103,8.66,470,13.05,249500,200,5.465,15,10,5,,,,1,,38,38
527,2013,MS,12300,4.089905111,2580,1.683042703,92,8.205,275.75,16.4,179450,155.005,2.225,15.015,12.99,2.025,4.509009009,16.82572115,13.30515021,0.71416309,3.33,8.32,11.65
,2009,FH,42500,4.62838893,7590,1.775752295,45,8.29,195.6,22.1,103933.3333,136,2.616666667,15.08,9.25,5.83,3.886597938,17.76493633,12.72613849,0.636930755,3.88,6.80666667,10.68666667
,2011,FH,54700,4.737987326,7590,1.931591046,69,8.463333333,196.3666667,18.56666667,127633.3333,118.615,1.126666667,15.15,9.9,5.25,3.348066298,9.602320186,7.752614379,0.704248366,4.525,10.775,15.3
134,2010,HU,23100,4.36361198,2150,2.206604536,39,8.026666667,206.9666667,20.46666667,109933.3333,171,2.34,15.53333334,10.26666667,5.266666667,3.006451613,14.71293376,10.86864407,0.671610169,5.166666667,10.56666666,15.73333333
463,2018,MS,31500,4.498310554,2580,2.30266247,93,8.375,283.15,17.05,183950,138.5,1.505,15.7,11.8,3.9,4.757575758,10.10699588,8.964401294,0.786407767,3.3,12.15,15.45
,2018,HU,51200,4.709269961,2150,2.877026311,65,,,,,164,,15.95,9.7,6.25,4.623188406,9.460063898,8.586387435,0.819371728,3.45,15.65,19.1
225,2015,BN,1500,3.176091259,2830,0.809285218,70,8.215,504.25,16.25,327600,261,4.165,16,13.15,2.85,8.421052632,12.72727273,12.34042553,0.910165485,1.9,19.25,21.15
180,2020,DL,1590,3.201397124,266,1.81484064,33,,,,,170,,16,,16,2.666666667,9.058823529,7.391304348,0.739130435,6,17,23
