,Year,Site,Q_CFS.x,LOG_Q_CFS.x,Q_CFS.y,anomaly,Days_Since_Freshet,pH,Specific conductance,"Temperature, water",Total dissolved solids,"Total Nitrogen, mixed forms",Turbidity,DIN,Ammonia,Nitrate + Nitrite,DNP,SNP,TNP,SPp,SRP,SP,"Total Phosphorus, mixed forms"
164,2016,GR,598,2.776701184,270,1.303504315,46,8.15,438.3,15.55,284700,285,1.37,23.15,21.9,1.25,1.002164502,12.99503722,6.589595376,0.465895954,23.1,20.15,43.25
247,2008,MS,16800,4.225309282,2580,1.867367769,91,8.273333333,276,16.2,146300,133.3333333,1.636666667,23.33333333,15,8.333333333,,,,1,,9.666666667,9.666666667
322,2010,GR,1980,3.29666519,270,1.942825561,54,8.266666667,401,20.13333333,213000,363.3333333,22.74,23.4,8.8,14.6,0.621789194,6.678454485,4.103915662,0.574924699,37.63333333,50.9,88.53333333
262,2012,BM,33700,4.527629901,2150,2.502632885,57,8.225,163,12.7,106000,186.28,4.82,23.98,6.495,17.485,2.769053118,12.90656064,8.772309866,0.592182717,8.66,12.575,21.235
566,2008,BN,3100,3.491361694,2830,1.030841164,40,8.553333333,387.6666667,18.7,206033.3333,233.3333333,4.406666667,24.33333333,20,4.333333333,,,,1,,48,48
,2020,BM,37300,4.571708832,2150,2.588750072,82,,,,,155,,25,,25,6.25,7.878787879,7.56097561,0.804878049,4,16.5,20.5
,2008,FH,45700,4.6599162,7590,1.819246193,57,8.486666667,173.4333333,20.76666667,91966.66667,150,3.853333333,25,10,15,,,,1,,14,14
503,2018,MS,31500,4.498310554,2580,2.30266247,63,,,,,173,,25.175,22,3.175,3.280130293,6.910401246,5.951834862,0.735951835,7.675,21.39166667,29.06666667
215,2008,MS,16800,4.225309282,2580,1.867367769,56,8.476666667,230.6666667,17.33333333,122633.3333,200,4.603333333,25.66666667,20,5.666666667,,,,1,,24.33333333,24.33333333
422,2021,GR,577,2.761175813,270,1.288063725,124,,,,,200,,26,10,16,26,26.76923077,26.66666667,0.866666667,1,6.5,7.5
231,2021,FH,31700,4.501059262,7590,1.610420025,79,,,,,130,,26,20,6,,13,16.25,1,,8,8
,2008,FH,45700,4.6599162,7590,1.819246193,93,,,,,133.3333333,,26,10,16,,,,1,,8.5,8.5
,2009,BM,35300,4.547774705,2150,2.541628559,45,8.223333333,242.3333333,16.16666667,128666.6667,192.6666667,4.246666667,26.68333334,5.866666667,20.81666667,2.791143654,17.49648629,10.11550578,0.498074904,9.56,9.48666667,19.04666667
,2009,HU,35300,4.547774705,2150,2.541628559,24,8.04,154.1,18.1,81700,,6.99,26.83,,26.83,2.557673975,,,0.600380952,10.49,15.76,26.25
185,2021,GR,577,2.761175813,270,1.288063725,47,,,,,260,,27,25,2,5.785714285,7.853932585,7.572815535,0.86407767,4.666666667,29.66666666,34.33333333
328,2010,HU,23100,4.36361198,2150,2.206604536,92,,,,,220.25,,27.25,,27.25,9.008264463,16.92982456,15.26863085,0.790294627,3.025,11.4,14.425
,2009,HU,35300,4.547774705,2150,2.541628559,45,8.276666667,202.5666667,19.76666667,107666.6667,192,3.64,27.59,7.39,20.2,4.535342466,12.11867322,9.770992366,0.690415606,6.083333333,13.56666667,19.65
343,2012,HU,33700,4.527629901,2150,2.502632885,57,8.04,119.65,14.4,78000,207.845,4.585,27.69,9.215,18.475,3.621975147,12.68250616,9.512356979,0.650114416,7.645,14.205,21.85
307,2011,BN,7740,3.888740961,2830,1.3984647,40,8.26,299.7,16.7,194766.6667,279.3333333,12.34666667,28.2,10.33333333,17.86666667,1.125,5.777607362,4.075875486,0.634241245,25.06666667,43.46666666,68.53333333
359,2013,BN,1080,3.033423755,2830,0.725346923,50,,,,,310.2733333,,29.25166667,18.07666667,11.175,5.261091128,28.50118323,20.12148724,0.639429313,5.56,9.86,15.42
289,2015,HU,15200,4.181843588,2150,1.919265438,69,8.51,231.6,19.2,150500,220.5,2.045,29.75,11.55,18.2,17.5,11.84782609,12.38764045,0.904494382,1.7,16.1,17.8
203,2022,GR,923,2.965201701,270,1.506419674,39,8.43,436.1,21.2,,233.3333333,3.125,30,30,,1.428571429,,,0.58,21,29,50
331,2021,HU,28200,4.450249108,2150,2.358324428,80,,,,,150,,30,20,10,,8,10,1,,15,15
257,2021,FH,31700,4.501059262,7590,1.610420025,99,,,,,115,,30,20,10,,8.095238095,10.95238095,1,,10.5,10.5
,2008,HU,35500,4.550228353,2150,2.546419576,120,8.73,259,13.95,137650,200,2.205,30.5,,30.5,,,,1,,15,15
392,2016,FH,20800,4.318063335,7590,1.39939565,69,8.345,192.05,18.8,124800,133.5,0.86,30.7,21.1,9.6,25.58333333,13.70666667,15.34482759,0.862068966,1.2,7.5,8.7
,2011,FH,54700,4.737987326,7590,1.931591046,100,8.505,223.5,14.95,145250,149,1.29,30.7,6.35,24.35,6.822222222,33.32394366,18.50931677,0.440993789,4.5,3.55,8.05
417,2010,GR,1980,3.29666519,270,1.942825561,26,8.08,326.3333333,19.26666667,175266.6667,306,4.556666667,30.725,12.75,17.975,1.186293436,9.875336323,5.690376569,0.518363552,25.9,27.875,53.775
334,2016,MS,7660,3.88422877,2580,1.437263361,99,8.245,264.65,16.05,171900,321,45.635,30.75,19.8,10.95,24.6,5.869565217,6.331360947,0.975345168,1.25,49.45,50.7
,2020,FH,42900,4.632457292,7590,1.781305896,114,,,,,100,,30.75,20,10.75,7.6875,30.77777778,16,0.36,4,2.25,6.25
80,2019,MS,16200,4.209515015,2580,1.844867171,121,8.285,329.35,13.45,214175,175,12.11,31,15,16,1.823529412,4.881355932,3.76344086,0.634408602,17,29.5,46.5
,2008,HU,35500,4.550228353,2150,2.546419576,57,8.483333333,177.4666667,19.86666667,117833.3333,200,,31.33333333,15,16.33333333,,,,1,,19.66666667,19.66666667
,2011,FH,54700,4.737987326,7590,1.931591046,41,8.206666667,144.8,16.6,94066.66667,144,9.153333333,31.4,9.833333333,21.56666667,4.131578948,7.407894737,6.315789474,0.666666667,7.6,15.2,22.8
255,2015,BM,15200,4.181843588,2150,1.919265438,106,8.435,300.85,13.5,195600,251,4.76,31.65,11,20.65,11.30357143,12.28851541,12.15496368,0.86440678,2.8,17.85,20.65
356,2010,BM,23100,4.36361198,2150,2.206604536,39,7.793333333,235.3333333,17.83333333,125200,187,3.443333333,31.66666667,8.566666667,23.1,3.54477612,14.60815047,9.557069845,0.543441227,8.933333333,10.63333334,19.56666667
346,2021,BM,28200,4.450249108,2150,2.358324428,125,,,,,150,,32,10,22,32,8.428571429,10,0.933333333,1,14,15
,2020,HU,37300,4.571708832,2150,2.588750072,81,,,,,155,,32,9,23,8,14.47058824,12.4,0.68,4,8.5,12.5
344,2013,HU,25600,4.408239965,2150,2.283497297,127,8.36,279.7,14.1,182000,223.98,2.83,32.03,8.38,23.65,8.633423181,15.99583333,14.25716104,0.763844685,3.71,12,15.71
,2011,HU,46600,4.668385917,2150,2.788147973,42,8.07,148.6333333,15.93333333,96633.33333,171.3333333,7.533333333,32.11666667,8.85,23.26666667,3.299657535,7.11499148,5.847554038,0.667804323,9.733333333,19.56666667,29.3
373,2014,HU,33400,4.523746467,2150,2.495184529,83,8.083333333,255.9,19.23333333,166400,170.6666667,1.646666667,32.3,10.9,21.4,7.69047619,12.57878788,11.22807018,0.723684211,4.2,11,15.2
337,2014,BM,33400,4.523746467,2150,2.495184529,80,8.17,281.85,17.45,182950,159,1.995,32.3,10.65,21.65,6.152380952,13.92307692,11.08013937,0.634146341,5.25,9.1,14.35
402,2019,BN,3640,3.561101384,2830,1.087522663,130,,,,,190,,33,30,3,1.2375,,6.867469879,0.036144578,26.66666667,1,27.66666667
250,2022,BM,28700,4.457881897,2150,2.372180941,100,8.295,313.25,15.05,,185,3.055,33,,33,22,11.69230769,12.75862069,0.896551724,1.5,13,14.5
,2019,FH,42000,4.62324929,7590,1.768761072,52,8.45,208.55,17.4,135525,115,2.13,33.5,20,13.5,1.425531915,,12.77777778,,23.5,,9
434,2015,BM,15200,4.181843588,2150,1.919265438,71,8.345,281.5,16.3,182950,227.5,2.9,33.65,12.1,21.55,16.02380952,11.303207,11.81818182,0.890909091,2.1,17.15,19.25
420,2021,GR,577,2.761175813,270,1.288063725,80,,,,,260,,34,30,4,11.33333333,8.37037037,8.666666667,0.9,3,27,30
,2011,BM,46600,4.668385917,2150,2.788147973,42,8.3,203.3,14.5,132200,185.6666667,7.766666667,34.13333334,11.66666667,22.46666667,2.782608695,7.114241003,5.531281033,0.634558093,12.26666667,21.3,33.56666667
339,2014,GR,978,2.990338855,270,1.535765935,11,8.325,344.7,18,224250,356,6.215,34.4,9.2,25.2,1.255474453,10.64900662,6.180555556,0.524305556,27.4,30.2,57.6
405,2021,HU,28200,4.450249108,2150,2.358324428,102,,,,,155,,34.5,20,14.5,,10.04166667,12.91666667,1,,12,12
177,2021,BN,1650,3.217483944,2830,0.835409038,54,,,,,230,,35,30,5,7,15.6,13.14285714,0.714285714,5,12.5,17.5
383,2021,BM,28200,4.450249108,2150,2.358324428,80,,,,,160,,35,20,15,,17.85714286,22.85714286,1,,7,7
504,2012,HU,33700,4.527629901,2150,2.502632885,82,8.243333333,185.8666667,19.66666667,120900,213.59,1.906666667,35.47333333,11.76333333,23.71,10.06811731,10.95653065,10.79828109,0.821873947,3.523333333,16.25666667,19.78
295,2012,GR,999,2.999565488,270,1.546680374,17,8.435,281.7,14.25,182950,330.82,5.73,35.51,10.24,25.27,1.452054795,13.50914913,7.142826298,0.471985318,24.455,21.86,46.315
347,2016,FH,20800,4.318063335,7590,1.39939565,130,,,,,190.3333333,,35.6,27.6,8,34.73170732,15.15755102,16.94362018,0.908753709,1.025,10.20833333,11.23333333
510,2009,BN,3700,3.568201724,2830,1.093465528,29,8.35,305,15.9,162200,,14.9,35.86,7.85,28.01,1.124137931,,,0.633164673,31.9,55.06,86.96
,2018,FH,59700,4.775974331,7590,1.988737754,97,,,,,164.3333333,,36.08333333,11.75,24.33333333,,12.37138263,15.85209002,1,,10.36666667,10.36666667
,2019,FH,42000,4.62324929,7590,1.768761072,84,,,,,136.6666667,,36.66666667,25,11.66666667,,,17.08333334,,,,8
501,2013,BM,25600,4.408239965,2150,2.283497297,64,8.345,246.9,18.95,160550,216.07,2.07,36.745,13.79,22.955,11.00149701,18.91613924,16.85413417,0.739469579,3.34,9.48,12.82
,2011,HU,46600,4.668385917,2150,2.788147973,17,7.815,152.3,13.3,98750,,37,36.8,17.7,19.1,2.637992832,,,0.809165527,13.95,59.15,73.1
133,2018,GR,2450,3.389166084,270,2.085774915,27,8.28,347.4,18.65,225900,324,4.94,37.05,11.5,25.55,1.820638821,8.721884498,6.084507042,0.617840376,20.35,32.9,53.25
351,2015,HU,15200,4.181843588,2150,1.919265438,36,8.29,198.25,19.85,129000,211.5,1.645,37.05,6.55,30.5,19,13.2661597,14.00662252,0.870860927,1.95,13.15,15.1
398,2018,BN,5870,3.768638101,2830,1.275314278,82,8.455,459.65,15.15,299000,240,2.8,37.15,32.85,4.3,15.16326531,10.45618557,10.98398169,0.887871854,2.45,19.4,21.85
160,2017,BM,29200,4.465382851,2150,2.385877439,91,8.09,303.2,12.15,197000,228.5,3.085,37.2,9.1,28.1,9.073170732,14.88715953,13.48082596,0.758112094,4.1,12.85,16.95
,2017,FH,34500,4.537819095,7590,1.656503812,46,8.14,209.3,20.1,135800,136.5,1.08,38.55,19.1,19.45,24.87096774,13.14765101,15.16666667,0.827777778,1.55,7.45,9
,2019,BM,34000,4.531478917,2150,2.510037168,55,,,,,136.6666667,,39.66666667,20,19.66666667,1.337078652,26.45454551,4.100000001,0.11,29.66666667,3.66666666,33.33333333
490,2011,BN,7740,3.888740961,2830,1.3984647,17,,,,,,,39.93333333,20.63333333,19.3,1.167641325,,,0.648990763,34.2,63.23333333,97.43333333
153,2017,DL,1560,3.193124598,266,1.803353999,33,8.22,363.45,18.6,236250,259.5,2.29,40,12.75,27.25,4.938271605,13.80503145,10.8125,0.6625,8.1,15.9,24
382,2021,BM,28200,4.450249108,2150,2.358324428,47,,,,,130,,40,20,20,40,6.428571429,8.666666667,0.933333333,1,14,15
233,2014,BM,33400,4.523746467,2150,2.495184529,108,8.085,336,13.3,218400,221,2.675,40.1,12.95,27.15,4.717647059,16.82790698,11.48051948,0.558441558,8.5,10.75,19.25
72,2019,BN,3640,3.561101384,2830,1.087522663,158,,,,,310,,40.16666667,16.66666667,23.5,1.217171717,2.885918004,2.450592885,0.739130435,33,93.5,126.5
,2017,FH,34500,4.537819095,7590,1.656503812,103,,,,,182.5,,40.3,18.5,21.8,,14.7357513,18.9119171,1,,9.65,9.65
82,2015,GR,807,2.906873535,270,1.440466813,105,8.2,482.45,11.5,313650,366,3.71,40.55,13.9,26.65,7.372727273,12.46934866,11.58227848,0.825949367,5.5,26.1,31.6
147,2016,BM,16800,4.225309282,2150,1.984374362,101,8.315,261.45,14.75,169950,268.5,6.54,40.75,9,31.75,16.97916667,10.94951923,11.57327586,0.896551724,2.4,20.8,23.2
,2011,BM,46600,4.668385917,2150,2.788147973,17,8.04,136.6,12.6,88750,,44.2,42,15.8,26.2,2.584615385,,,0.841075795,16.25,86,102.25
371,2012,BM,33700,4.527629901,2150,2.502632885,82,8.263333333,231.1333333,17.96666667,150133.3333,246.2366667,1.84,42.02333333,21.08,20.94333333,6.19813176,18.80417434,13.95899471,0.615646259,6.78,10.86,17.64
384,2012,HU,33700,4.527629901,2150,2.502632885,115,,,,,222.9975,,43.125,9.47,33.655,13.2183908,14.88394704,14.52989086,0.787424662,3.2625,12.085,15.3475
487,2011,DL,1960,3.292256071,266,1.945919238,11,8.365,248.3,15.05,161150,,10.31,43.35,19.1,24.25,1.273127753,,,0.613726602,34.05,54.1,88.15
316,2021,FH,31700,4.501059262,7590,1.610420025,45,,,,,193.3333333,,43.66666667,20,23.66666667,1.746666667,17.26923076,5.742574256,0.257425743,25,8.66666667,33.66666667
429,2016,HU,16800,4.225309282,2150,1.984374362,73,,,,,200.5,,43.86666666,15.53333333,28.33333333,20.40310077,20.124197,20.18456376,0.783557047,2.15,7.783333333,9.933333333
267,2010,GR,1980,3.29666519,270,1.942825561,82,8.443333333,426.3333333,14.53333333,226333.3333,281,3.786666667,43.86666667,10.3,33.56666667,2.419117648,12.16068376,7.466784766,0.518157662,18.13333333,19.5,37.63333333
520,2012,HU,33700,4.527629901,2150,2.502632885,134,8.42,230.1,14.7,149550,217.97,2.235,44.07,,44.07,26.07692308,13.55945419,15.01687909,0.883568722,1.69,12.825,14.515
195,2017,BM,29200,4.465382851,2150,2.385877439,63,8.185,273,16.5,177450,196,1.785,44.35,12.55,31.8,11.37179487,12.96153846,12.56410256,0.75,3.9,11.7,15.6
317,2010,HU,23100,4.36361198,2150,2.206604536,18,7.47,153.4,18.9,81400,245,12.2,44.4,9.2,35.2,2.979865772,8.464135021,6.347150259,0.613989637,14.9,23.7,38.6
,2008,HU,35500,4.550228353,2150,2.546419576,29,8.06,134.05,14.3,71100,250,17,44.5,10,34.5,,,,1,,48.5,48.5
,2018,FH,59700,4.775974331,7590,1.988737754,123,8.215,257.4,13.75,167400,153.5,1.205,44.65,25.6,19.05,44.65,13.6918239,17.15083799,0.888268156,1,7.95,8.95
318,2013,BM,25600,4.408239965,2150,2.283497297,92,8.36,271,17.4,176100,271.875,2.91,44.7,13.555,31.145,12.1302578,24.06514831,20.71428571,0.719238095,3.685,9.44,13.125
,2011,FH,54700,4.737987326,7590,1.931591046,16,7.97,159.45,13.35,103400,,45,44.75,14.6,30.15,3.551587302,,,0.82972973,12.6,61.4,74
,2020,BM,37300,4.571708832,2150,2.588750072,117,,,,,156.6666667,,45,20,25,7.5,20.93750002,13.82352942,0.470588235,6,5.33333333,11.33333333
515,2010,DL,1470,3.167317335,266,1.767984959,29,,,,,280.5,,45.675,11.5,34.175,2.083238312,10.22089227,6.247216036,0.51169265,21.925,22.975,44.9
506,2012,BM,33700,4.527629901,2150,2.502632885,112,,,,,215.63,,46.17666667,10.26,35.91666667,9.235333334,15.76310077,13.69079365,0.682539683,5,10.75,15.75
,2011,HU,46600,4.668385917,2150,2.788147973,101,8.4,241.1,14.05,156650,215,1.85,47.05,11.05,36,9.505050505,18.05913978,15.0877193,0.652631579,4.95,9.3,14.25
414,2021,HU,28200,4.450249108,2150,2.358324428,125,,,,,160,,48,10,38,24,10.18181818,12.30769231,0.846153846,2,11,13
103,2011,GR,2560,3.408239965,270,2.116534736,17,,,,,,,48.1,15.2,32.9,1.396902227,,,0.601926782,34.43333333,52.06666667,86.5
494,2016,BM,16800,4.225309282,2150,1.984374362,129,8.27,290.4,12.1,188800,210,5.39,48.1,16.85,31.25,28.29411765,8.034739454,9.610983982,0.922196796,1.7,20.15,21.85
315,2019,BM,34000,4.531478917,2150,2.510037168,121,8.275,323.65,13.6,211100,190,9.695,48.5,15,33.5,2.939393939,4.796610169,4.130434783,0.641304348,16.5,29.5,46
372,2012,BM,33700,4.527629901,2150,2.502632885,133,,,,,198.46,,48.52166667,6.965,41.55666667,23.86311476,14.6950343,16.21846908,0.833832743,2.033333333,10.20333334,12.23666667
,2008,BM,35500,4.550228353,2150,2.546419576,57,8.52,233,16.8,123833.3333,200,5.2,49,26.66666667,22.33333333,,,,1,,24,24
,2018,BM,51200,4.709269961,2150,2.877026311,96,8.335,285.65,15.8,185600,180.5,2.31,49.15,20.5,28.65,10.13402062,10.42460317,10.34383954,0.722063037,4.85,12.6,17.45
118,2013,HU,25600,4.408239965,2150,2.283497297,103,8.365,247.7,17.4,160900,273.57,3.835,49.74,9.95,39.79,14.23175966,15.58704735,15.32175861,0.804256511,3.495,14.36,17.855
,2017,FH,34500,4.537819095,7590,1.656503812,70,8.305,222.75,19,144600,182.5,0.9165,49.8,22.05,27.75,31.125,21.06349206,23.10126582,0.797468354,1.6,6.3,7.9
,2018,HU,51200,4.709269961,2150,2.877026311,126,,,,,218,,49.83333333,16.63333333,33.2,29.31372549,15.64341085,17.51004016,0.863453815,1.7,10.75,12.45
525,2015,HU,15200,4.181843588,2150,1.919265438,104,8.52,261.3,13.85,169950,249,2.905,50.25,20.8,29.45,27.91666667,12.61904762,14.18803419,0.897435897,1.8,15.75,17.55
,2009,FH,42500,4.62838893,7590,1.775752295,24,8.07,146.4,19.2,77900,,11.4,50.33,18.55,31.78,5.359957401,,,0.609400998,9.39,14.65,24.04
,2019,HU,34000,4.531478917,2150,2.510037168,118,,,,,170,,50.5,17.5,33,3.787500001,14.33999999,7.846153845,0.384615385,13.33333333,8.33333334,21.66666667
88,2016,DL,507,2.705007959,266,1.23986797,52,8.285,400.2,16.05,260300,294.5,1.9,50.7,12,38.7,14.08333333,15.43037975,15.18041237,0.81443299,3.6,15.8,19.4
77,2012,DL,781,2.892651034,266,1.431934433,17,8.48,243.45,14.1,158250,277.36,4.54,50.965,22.19,28.775,3.370701058,11.28026906,7.881784598,0.570332481,15.12,20.07,35.19
421,2022,MS,11800,4.071882007,2580,1.659921055,41,8.315,251.45,20.5,,125,5.92,51,30,21,2.615384615,3.288888889,2.976190476,0.535714286,19.5,22.5,42
,2008,GR,,,,,,8.965,471,12.35,250500,250,3.18,51,10,41,,,,1,,33.5,33.5
492,2011,GR,2560,3.408239965,270,2.116534736,40,8.25,263.5333333,15.5,171366.6667,296,12.14333333,51.1,12.63333333,38.46666667,1.858181818,5.066896552,3.903296703,0.637362637,27.5,48.33333333,75.83333333
557,2008,DL,957,2.980911938,266,1.532298702,41,8.633333333,324.3333333,19.43333333,172033.3333,,4.32,51.25,20,31.25,,,,1,,48.75,48.75
252,2021,HU,28200,4.450249108,2150,2.358324428,46,,,,,155,,52,30,22,35.86206897,6.843853821,9.393939394,0.912121212,1.45,15.05,16.5
342,2019,HU,34000,4.531478917,2150,2.510037168,55,,,,,170,,52.33333333,23.33333333,29,3.651162791,9.289473682,6.296296296,0.469135803,14.33333333,12.66666667,27
294,2022,BM,28700,4.457881897,2150,2.372180941,61,8.353333333,266.7,20.4,,220,3.406666667,53,20,33,2.864864865,12.6835443,6.94736842,0.415789474,18.5,13.16666667,31.66666667
,2009,BM,35300,4.547774705,2150,2.541628559,75,8.386666667,277.3333333,17.2,146966.6667,228.3333333,3.52,53.06,8.28,44.78,9.992467043,12.06839569,11.51260504,0.732268908,5.31,14.52333333,19.83333333
161,2010,HU,23100,4.36361198,2150,2.206604536,67,8.18,263,21.73333333,139800,245.3333333,3.526666667,53.9,9.933333333,43.96666667,12.6328125,11.81687242,11.98697068,0.791530945,4.266666667,16.2,20.46666667
166,2021,GR,577,2.761175813,270,1.288063725,97,,,,,225,,54,20,34,27,12.66666667,14.51612903,0.870967742,2,13.5,15.5
167,2010,DL,1470,3.167317335,266,1.767984959,55,8.403333333,385.6666667,19.9,204700,319.3333333,7.046666667,54.4,7.1,47.3,1.63036963,5.839823659,4.055884843,0.576206605,33.36666667,45.36666666,78.73333333
366,2019,DL,1280,3.10720997,266,1.688273399,52,8.85,345.4,18.05,224575,235,3.23,54.5,25,29.5,2.137254902,21.23529412,6.911764706,0.25,25.5,8.5,34
431,2021,BM,28200,4.450249108,2150,2.358324428,105,,,,,163.3333333,,55.33333333,20,35.33333333,27.66666667,9.257142852,11.95121951,0.853658537,2,11.66666667,13.66666667
,2011,BM,46600,4.668385917,2150,2.788147973,70,8.396666667,239.2666667,16.1,155533.3333,171.6666667,2.1,55.33333334,24.56666667,30.76666667,5.286624203,11.11464969,8.200636946,0.5,10.46666667,10.46666666,20.93333333
170,2010,MS,10100,4.004321374,2580,1.576039952,5,7.14,199.2,14.9,105700,299,17.9,55.35,23.85,31.5,3.041208791,5.581901489,4.834276475,0.705739693,18.2,43.65,61.85
,2018,BM,51200,4.709269961,2150,2.877026311,66,8.17,252.9,17.7,164400,180,3.2,55.7,41.4,14.3,6.402298851,7.917197452,7.37704918,0.643442623,8.7,15.7,24.4
97,2014,DL,741,2.869818208,266,1.407058618,74,8.59,461.75,13.1,300300,320,2.41,55.8,12.1,43.7,6.377142857,5.16015625,5.337781485,0.854045038,8.75,51.2,59.95
301,2013,BM,25600,4.408239965,2150,2.283497297,123,,,,,226.8966667,,55.96333333,13.63333333,42.33,7.545617977,16.73629243,12.8699187,0.579315561,7.416666667,10.21333333,17.63
270,2020,GR,2040,3.309630167,270,1.962255106,99,,,,,250,,56,20,36,4.097560975,22.3846154,11.19402985,0.388059701,13.66666667,8.66666666,22.33333333
,2009,BM,35300,4.547774705,2150,2.541628559,101,8.306666667,307,15.6,162766.6667,247.75,2.133333333,56.32,14.858,41.462,4.643799472,12.68000265,9.100091827,0.554527089,12.128,15.097,27.225
306,2010,BM,23100,4.36361198,2150,2.206604536,67,7.993333333,277,18.43333333,147266.6667,233,2.81,56.4,9.933333333,46.46666667,9.048128343,13.14640198,11.84745763,0.683050848,6.233333333,13.43333334,19.66666667
,2008,FH,45700,4.6599162,7590,1.819246193,29,8.165,124.1,14.45,65800,250,22.25,56.5,15,41.5,,,,1,,46,46
,2011,BM,46600,4.668385917,2150,2.788147973,99,,,,,201.6666667,,56.8,7.2,49.6,8.606060606,22.51813473,15.47314579,0.493606138,6.6,6.43333333,13.03333333
547,2014,HU,33400,4.523746467,2150,2.495184529,115,8.08,306.7,14.3,199600,236,2,57.3,12.3,45,13.97560976,16.70093458,15.94594595,0.722972973,4.1,10.7,14.8
293,2022,HU,28700,4.457881897,2150,2.372180941,63,7.936666667,251.1666667,18.7,,,3.803333333,57.33333333,20,37.33333333,,,,1,,32.33333333,32.33333333
410,2011,DL,1960,3.292256071,266,1.945919238,36,8.203333333,244.8333333,15.23333333,159266.6667,283.75,10.93,57.475,11.45,46.025,2.425105485,5.757633588,4.503968254,0.623809524,23.7,39.3,63
181,2010,BM,23100,4.36361198,2150,2.206604536,18,7.59,193,16.5,102500,288,17.4,57.5,15.9,41.6,3.382352941,6.034031414,5.217391304,0.692028986,17,38.2,55.2
201,2018,DL,2180,3.338456494,266,2.016159805,25,8.17,300.5,17.5,195300,305,4.625,58.1,11.05,47.05,3.760517799,8.469982847,6.838565022,0.653587444,15.45,29.15,44.6
404,2013,HU,25600,4.408239965,2150,2.283497297,71,,,,,192.618,,58.39333333,12.97333333,45.42,15.23635573,11.64386612,12.54023438,0.750488281,3.8325,11.5275,15.36
,2018,BM,51200,4.709269961,2150,2.877026311,127,,,,,221.3333333,,58.7,20.46666667,38.23333333,25.89705882,13.33060109,15.29953916,0.843317972,2.266666667,12.2,14.46666667
222,2008,MS,16800,4.225309282,2580,1.867367769,25,,,,,333.3333333,,59,23.33333333,35.66666667,,,,1,,67,67
74,2016,GR,598,2.776701184,270,1.303504315,109,8.24,489.15,11.2,317800,293.5,1.21,59.05,24.15,34.9,7.926174497,15.37377049,12.92951542,0.671806167,7.45,15.25,22.7
266,2011,MS,28100,4.44870632,2580,2.216641899,13,,,,,,,59.3,32.4,26.9,3.427745665,,,0.797027767,17.3,67.93333333,85.23333333
,2011,HU,46600,4.668385917,2150,2.788147973,72,,,,,203.595,,59.3,12.725,46.575,8.381625442,9.782711864,9.328522337,0.67583047,7.075,14.75,21.825
92,2014,DL,741,2.869818208,266,1.407058618,11,8.27,308.1,17.75,200550,338,6.025,59.35,9.1,50.25,3.618902439,11.88272921,8.481806775,0.588456713,16.4,23.45,39.85
,2009,HU,35300,4.547774705,2150,2.541628559,75,8.473333333,257,19.36666667,136633.3333,263.6666667,3.116666667,59.54,10.92666667,48.61333333,11.51644101,17.62244605,15.73816157,0.691404696,5.17,11.58333333,16.75333333
186,2015,DL,628,2.797959644,266,1.331555693,35,8.305,354.05,17.8,230100,328.5,2.565,61.15,10.85,50.3,14.55952381,17.2483871,16.6751269,0.78680203,4.2,15.5,19.7
276,2016,HU,16800,4.225309282,2150,1.984374362,104,,,,,250,,62.05833333,18.825,43.23333333,45.9691358,10.26069154,12.7118644,0.931355932,1.35,18.31666667,19.66666667
,2008,BM,35500,4.550228353,2150,2.546419576,29,8.435,174.65,12,92350,300,19.35,62.5,25,37.5,,,,1,,57,57
,2008,BM,35500,4.550228353,2150,2.546419576,122,,,,,200,,62.66666667,16.66666667,46,,,,1,,19,19
348,2009,DL,1140,3.056904851,266,1.624330522,23,8.27,253,16.5,134600,,9.23,62.93,12.75,50.18,2.109621187,,,0.615592784,29.83,47.77,77.6
221,2018,MS,31500,4.498310554,2580,2.30266247,123,8.465,309.7,14.4,201200,153.5,2.65,64.35,22.55,41.8,45.96428571,8.141552511,12.4291498,0.886639676,1.4,10.95,12.35
200,2008,DL,957,2.980911938,266,1.532298702,76,8.853333333,457.3333333,16.03333333,242666.6667,250,2.09,66,10,56,,,,1,,18,18
111,2008,BN,3100,3.491361694,2830,1.030841164,14,,,,,433.3333333,,67.33333333,20,47.33333333,,,,1,,95.33333333,95.33333333
,2020,HU,37300,4.571708832,2150,2.588750072,117,,,,,176.6666667,,67.33333333,20,47.33333333,12.625,20.49999999,16.5625,0.5,5.333333333,5.333333337,10.66666667
524,2011,GR,2560,3.408239965,270,2.116534736,99,8.565,383.05,11.8,248950,304.5,2.82,69.1,12.7,56.4,4.415335463,14.13813814,9.427244582,0.515479876,15.65,16.65,32.3
395,2009,DL,1140,3.056904851,266,1.624330522,100,8.503333333,434.6666667,17.66666667,231000,289.6666667,2.24,69.80333334,11.88666667,57.91666667,10.52840624,18.88860252,15.85477103,0.637110016,6.63,11.64,18.27
367,2017,HU,29200,4.465382851,2150,2.385877439,39,,,,,243.3333333,,70.325,11.425,58.9,33.48809524,13.98989218,16.82027649,0.85483871,2.1,12.36666667,14.46666667
389,2009,GR,1420,3.152288344,270,1.739034482,23,8.36,282,15.9,149900,,11.5,70.37,16.54,53.83,1.803896437,,,0.548129271,39.01,47.32,86.33
