,date_yearmon,Site.OLD,Site,ActivityStartDate,Day,Month,Year,Ammonia,Kjeldahl nitrogen,Nitrate + Nitrite,Orthophosphate,pH,Specific conductance,"Temperature, water",Total dissolved solids,"Total Nitrogen, mixed forms","Total Phosphorus, mixed forms",Turbidity
638,Jul-16,Clark Fork River above Missoula,MS,7/13/2016,13,7,2016,,,,,8.28,247.05,17.4,160550,,,1.195
133,Aug-16,Clark Fork River above Missoula,MS,8/17/2016,17,8,2016,19.8,,10.95,1.25,8.245,264.65,16.05,171900,321,50.7,45.635
134,Sep-16,Clark Fork River above Missoula,MS,9/14/2016,14,9,2016,18.9,,1.75,1.1,8.5,291.65,12.15,189800,139,13.2,3.295
135,Jul-17,Clark Fork River above Missoula,MS,7/15/2017,15,7,2017,14.9,,2,4.2,,,,,169,15.15,
639,Jul-17,Clark Fork River above Missoula,MS,7/17/2017,17,7,2017,,,,,8.175,253,18.9,164450,,,2.34
136,Aug-17,Clark Fork River above Missoula,MS,8/15/2017,15,8,2017,11.6,,2.05,2,8.455,267.3,16.75,173850,180,10.85,1.62
137,Sep-17,Clark Fork River above Missoula,MS,9/12/2017,12,9,2017,9.6,,3.95,1.9,8.32,306.15,12.4,198900,210.5,14,2.64
138,Jul-18,Clark Fork River above Missoula,MS,7/13/2018,13,7,2018,22,,3.175,7.675,,,,,173,29.06666667,
640,Jul-18,Clark Fork River above Missoula,MS,7/17/2018,17,7,2018,,,,,8.185,259,19.15,168350,,,4.735
139,Aug-18,Clark Fork River above Missoula,MS,8/12/2018,12,8,2018,11.8,,3.9,3.3,8.375,283.15,17.05,183950,138.5,15.45,1.505
140,Sep-18,Clark Fork River above Missoula,MS,9/11/2018,11,9,2018,22.55,,41.8,1.4,8.465,309.7,14.4,201200,153.5,12.35,2.65
141,Jul-19,Clark Fork River above Missoula,MS,7/9/2019,9,7,2019,15,,5,24.5,8.58,277.3,17.4,180375,125,29.5,5.13
142,Aug-19,Clark Fork River above Missoula,MS,8/14/2019,14,8,2019,20,,,14,8.52,303.85,18.05,197655,130,14,2.195
143,Sep-19,Clark Fork River above Missoula,MS,9/16/2019,16,9,2019,15,,16,17,8.285,329.35,13.45,214175,175,46.5,12.11
641,Jul-20,Clark Fork River above Missoula,MS,7/21/2020,21,7,2020,,,,,8.18,257.5,18.65,,,,8.16
145,Aug-20,Clark Fork River above Missoula,MS,8/12/2020,12,8,2020,7,,3,4.5,,,,,200,16,
642,Aug-20,Clark Fork River above Missoula,MS,8/17/2020,17,8,2020,,,,,8.365,297.3,18.3,,,,2.775
643,Sep-20,Clark Fork River above Missoula,MS,9/13/2020,13,9,2020,,,,,8.12,324.95,13.85,,,,3.915
146,Sep-20,Clark Fork River above Missoula,MS,9/16/2020,16,9,2020,20,,3,5.666666667,,,,,125,12,
644,Jul-21,Clark Fork River above Missoula,MS,7/13/2021,13,7,2021,,,,,8.49,265.8,18.55,,,,2.745
147,Jul-21,Clark Fork River above Missoula,MS,7/23/2021,23,7,2021,20,,,1,,,,,105,14.5,
645,Aug-21,Clark Fork River above Missoula,MS,8/22/2021,22,8,2021,,,,,8.53,307.45,18.6,,,,4.785
148,Aug-21,Clark Fork River above Missoula,MS,8/25/2021,25,8,2021,20,,,,,,,,120,15,
149,Sep-21,Clark Fork River above Missoula,MS,9/15/2021,15,9,2021,10,,,,,,,,115,10.5,
646,Sep-21,Clark Fork River above Missoula,MS,9/22/2021,22,9,2021,,,,,7.935,326.75,11.85,,,,3.57
150,Oct-21,Clark Fork River above Missoula,MS,10/8/2021,8,10,2021,10,,,1,,,,,130,15,
151,Jul-22,Clark Fork River above Missoula,MS,7/23/2022,23,7,2022,30,,21,19.5,8.315,251.45,20.5,,125,42,5.92
152,Aug-22,Clark Fork River above Missoula,MS,8/18/2022,18,8,2022,16.66666667,,3,2,,,,,126.6666667,12.33333333,
647,Aug-22,Clark Fork River above Missoula,MS,8/19/2022,19,8,2022,,,,,8.465,272.6,20.85,,,,3.14
153,Sep-22,Clark Fork River above Missoula,MS,9/20/2022,20,9,2022,,,,,8.365,319.15,14.9,,115,8,3.73
648,Jun-08,Clark Fork River at Bonita,BN,6/18/2008,18,6,2008,,,,,8.325,272.55,12.95,144850,,,25.4
154,Jun-08,Clark Fork River at Bonita,BN,6/20/2008,20,6,2008,20,433.3333333,47.33333333,,,,,,,95.33333333,
155,Jul-08,Clark Fork River at Bonita,BN,7/16/2008,16,7,2008,20,233.3333333,4.333333333,,8.553333333,387.6666667,18.7,206033.3333,,48,4.406666667
156,Aug-08,Clark Fork River at Bonita,BN,8/20/2008,20,8,2008,,200,7.333333333,,8.626666667,491,16.76666667,260666.6667,,15,3.263333333
157,Sep-08,Clark Fork River at Bonita,BN,9/17/2008,17,9,2008,10,200,5,,8.66,470,13.05,249500,,38,5.465
158,Jun-09,Clark Fork River at Bonita,BN,6/24/2009,24,6,2009,7.85,,28.01,31.9,8.35,305,15.9,162200,,86.96,14.9
159,Jul-09,Clark Fork River at Bonita,BN,7/9/2009,9,7,2009,9.456666667,,3.2925,20.13,,,,,,,
719,Jul-09,Clark Fork River at Bonita,BN,7/11/2009,11,7,2009,,,,,,,,,275.25,53.0075,
649,Jul-09,Clark Fork River at Bonita,BN,7/15/2009,15,7,2009,,,,,8.176666667,367.6666667,18.13333333,195266.6667,,,8.693333333
160,Aug-09,Clark Fork River at Bonita,BN,8/14/2009,14,8,2009,7.59,,9.03,11.21333333,8.46,430.3333333,18.9,228666.6667,261,36.39666667,5.643333333
161,Sep-09,Clark Fork River at Bonita,BN,9/9/2009,9,9,2009,11.06333333,,7.983333333,10.10666667,8.373333333,472.6666667,16.76666667,251000,246,24.04,3.64
162,Jun-10,Clark Fork River at Bonita,BN,6/23/2010,23,6,2010,20.2,,62.3,34.8,7.76,278,15.9,148000,424,112.1,29.9
163,Jul-10,Clark Fork River at Bonita,BN,7/11/2010,11,7,2010,9.6,,7.575,22.2,,,,,,,
720,Jul-10,Clark Fork River at Bonita,BN,7/12/2010,12,7,2010,,,,,,,,,241.25,46.5,
650,Jul-10,Clark Fork River at Bonita,BN,7/14/2010,14,7,2010,,,,,7.88,363,18.46666667,192800,,,4.806666667
164,Aug-10,Clark Fork River at Bonita,BN,8/11/2010,11,8,2010,7.65,,3.966666667,20.6,8.073333333,436,19.73333333,231333.3333,217.6666667,36.3,2.79
165,Sep-10,Clark Fork River at Bonita,BN,9/8/2010,8,9,2010,6,,2.9,11.8,8.206666667,455.6666667,14.3,245000,234,29.2,3.666666667
651,Jun-11,Clark Fork River at Bonita,BN,6/25/2011,25,6,2011,,,,,8.105,256.65,15.4,166700,,,27.3
166,Jun-11,Clark Fork River at Bonita,BN,6/27/2011,27,6,2011,20.63333333,,19.3,34.2,,,,,,97.43333333,
167,Jul-11,Clark Fork River at Bonita,BN,7/20/2011,20,7,2011,10.33333333,,17.86666667,25.06666667,8.26,299.7,16.7,194766.6667,279.3333333,68.53333333,12.34666667
168,Aug-11,Clark Fork River at Bonita,BN,8/17/2011,17,8,2011,8.1,,5.233333333,23.3,8.356666667,373.1333333,17.1,242666.6667,182.3333333,39.6,2.816666667
169,Sep-11,Clark Fork River at Bonita,BN,9/17/2011,17,9,2011,6.2,,3.55,19.4,8.43,426.6,13.05,277250,235.5,41.35,3.77
652,Jun-12,Clark Fork River at Bonita,BN,6/23/2012,23,6,2012,,,,,8.37,314.45,14.5,204450,,,5.56
170,Jun-12,Clark Fork River at Bonita,BN,6/24/2012,24,6,2012,10.02,,3.026666667,23.54,,,,,277.76,41.62333333,
171,Jul-12,Clark Fork River at Bonita,BN,7/18/2012,18,7,2012,7.776666667,,2.77,3.773333333,8.42,408.6,19.26666667,265666.6667,253.4066667,13.03666667,1.72
172,Aug-12,Clark Fork River at Bonita,BN,8/17/2012,17,8,2012,9.76,,9.53,5.866666667,,,,,312.55,22.82666667,
653,Aug-12,Clark Fork River at Bonita,BN,8/17/2012,17,8,2012,,,,,8.206666667,455.2,17.5,295966.6667,,,3.65
173,Sep-12,Clark Fork River at Bonita,BN,9/8/2012,8,9,2012,,,1.99,2.47,8.335,473.75,12.95,308100,188.365,11.925,1.49
654,Jul-13,Clark Fork River at Bonita,BN,7/17/2013,17,7,2013,,,,,8.3,446.4,19,289900,,,2.075
174,Jul-13,Clark Fork River at Bonita,BN,7/20/2013,20,7,2013,18.07666667,,11.175,5.56,,,,,310.2733333,15.42,
175,Aug-13,Clark Fork River at Bonita,BN,8/14/2013,14,8,2013,10.305,,2.36,6.63,8.315,507.5,17.55,329900,213.695,14.075,2.455
176,Sep-13,Clark Fork River at Bonita,BN,9/11/2013,11,9,2013,11.295,,1.225,7.01,8.28,520,15.75,338000,236.165,28.765,7.23
655,Jul-14,Clark Fork River at Bonita,BN,7/9/2014,9,7,2014,,,,,8.165,393.75,18.4,256100,,,6.715
177,Jul-14,Clark Fork River at Bonita,BN,7/12/2014,12,7,2014,,,4.566666667,23.36666667,,,,,246.3333333,46.23333333,
178,Aug-14,Clark Fork River at Bonita,BN,8/13/2014,13,8,2014,17.65,,4.55,17.25,8.25,533,18.65,346450,230.5,33.5,3.135
179,Sep-14,Clark Fork River at Bonita,BN,9/10/2014,10,9,2014,8.9,,2.7,11.85,8.255,504.05,14.15,327600,243,29.75,4.295
656,Jul-15,Clark Fork River at Bonita,BN,7/8/2015,8,7,2015,,,,,8.24,395,19.15,256750,,,1.245
180,Jul-15,Clark Fork River at Bonita,BN,7/11/2015,11,7,2015,7.55,,2.333333333,2.45,,,,,245.3333333,10,
181,Aug-15,Clark Fork River at Bonita,BN,8/12/2015,12,8,2015,13.15,,2.85,1.9,8.215,504.25,16.25,327600,261,21.15,4.165
182,Sep-15,Clark Fork River at Bonita,BN,9/16/2015,16,9,2015,14.4,,1.7,5.05,8.355,479.75,13,311700,353.5,37,7.275
657,Jul-16,Clark Fork River at Bonita,BN,7/13/2016,13,7,2016,,,,,8.135,465.15,17.3,302300,,,0.94
183,Jul-16,Clark Fork River at Bonita,BN,7/16/2016,16,7,2016,8.033333333,,1.633333333,1.233333333,,,,,211.6666667,8.8,
184,Aug-16,Clark Fork River at Bonita,BN,8/17/2016,17,8,2016,40.65,,31.75,5.7,8.3,490.3,16,318800,541.5,76.45,34.135
185,Sep-16,Clark Fork River at Bonita,BN,9/14/2016,14,9,2016,19.1,,2.3,7.75,8.52,496.95,13,323050,288,47.75,9.525
658,Jul-17,Clark Fork River at Bonita,BN,7/17/2017,17,7,2017,,,,,8.26,445.25,19.85,289550,,,2.985
186,Jul-17,Clark Fork River at Bonita,BN,7/19/2017,19,7,2017,17.45,,4.7,12.65,,,,,225,33.05,
187,Aug-17,Clark Fork River at Bonita,BN,8/15/2017,15,8,2017,15.2,,6.95,1.95,8.305,507.45,17.85,329850,272.5,14.7,1.64
188,Sep-17,Clark Fork River at Bonita,BN,9/12/2017,12,9,2017,11.4,,10.95,6.75,8.225,506.3,12.9,329200,334.5,32.8,5.275
659,Jul-18,Clark Fork River at Bonita,BN,7/17/2018,17,7,2018,,,,,8.215,370.45,20.5,240800,,,5.755
189,Jul-18,Clark Fork River at Bonita,BN,7/20/2018,20,7,2018,15.4,,5.525,17.53333333,,,,,241.3333333,46.13333333,
190,Aug-18,Clark Fork River at Bonita,BN,8/12/2018,12,8,2018,8.9,,4.7,11.8,8.385,447.65,17.95,291200,216,33.65,2
191,Sep-18,Clark Fork River at Bonita,BN,9/11/2018,11,9,2018,32.85,,4.3,2.45,8.455,459.65,15.15,299000,240,21.85,2.8
192,Jul-19,Clark Fork River at Bonita,BN,7/9/2019,9,7,2019,13.65,,5,39,8.58,423.5,18.65,275275,185,44.5,4.51
660,Aug-19,Clark Fork River at Bonita,BN,8/13/2019,13,8,2019,,,,,8.63,412,20.75,265850,,,3.61
193,Aug-19,Clark Fork River at Bonita,BN,8/16/2019,16,8,2019,30,,3,26.66666667,,,,,190,27.66666667,
194,Sep-19,Clark Fork River at Bonita,BN,9/13/2019,13,9,2019,16.66666667,,23.5,33,,,,,310,126.5,
661,Sep-19,Clark Fork River at Bonita,BN,9/16/2019,16,9,2019,,,,,8.345,468.05,15.3,305700,,,29.325
195,Jul-20,Clark Fork River at Bonita,BN,7/22/2020,22,7,2020,,,,9,8.195,378.8,19.5,,150,27,5.015
196,Aug-20,Clark Fork River at Bonita,BN,8/12/2020,12,8,2020,,,,8.5,,,,,205,17.5,
662,Aug-20,Clark Fork River at Bonita,BN,8/17/2020,17,8,2020,,,,,8.4,481.15,19.55,,,,3.015
663,Sep-20,Clark Fork River at Bonita,BN,9/13/2020,13,9,2020,,,,,8.23,479.45,13.45,,,,5.26
197,Sep-20,Clark Fork River at Bonita,BN,9/16/2020,16,9,2020,20,,,11,,,,,175,25,
664,Jul-21,Clark Fork River at Bonita,BN,7/14/2021,14,7,2021,,,,,8.67,548.7,21.65,,,,2.61
198,Jul-21,Clark Fork River at Bonita,BN,7/20/2021,20,7,2021,30,,5,5,,,,,230,17.5,
665,Aug-21,Clark Fork River at Bonita,BN,8/22/2021,22,8,2021,,,,,8.655,513.45,19.9,,,,4.595
199,Aug-21,Clark Fork River at Bonita,BN,8/25/2021,25,8,2021,20,,,,,,,,200,19,
200,Sep-21,Clark Fork River at Bonita,BN,9/13/2021,13,9,2021,20,,,0.8,,,,,180,19.5,
666,Sep-21,Clark Fork River at Bonita,BN,9/23/2021,23,9,2021,,,,,8.45,528.4,11.95,,,,4.66
201,Oct-21,Clark Fork River at Bonita,BN,10/8/2021,8,10,2021,10,,,0.9,,,,,180,22,
202,Jul-22,Clark Fork River at Bonita,BN,7/13/2022,13,7,2022,,,,,,,,,,,
587,Jul-22,Clark Fork River at Bonita,BN,7/22/2022,22,7,2022,,,21,22.5,8.395,441,22.05,,,60,8.14
721,Jul-22,Clark Fork River at Bonita,BN,7/25/2022,25,7,2022,,,,,,,,,210,,
667,Aug-22,Clark Fork River at Bonita,BN,8/19/2022,19,8,2022,,,,,8.475,519.9,22.4,,,,4.39
203,Aug-22,Clark Fork River at Bonita,BN,8/21/2022,21,8,2022,13.33333333,,5,3.666666667,,,,,176.6666667,19.33333333,
204,Sep-22,Clark Fork River at Bonita,BN,9/20/2022,20,9,2022,,,,1.45,8.395,531.9,16.55,,220,16.5,4.03
205,Jun-08,Clark Fork River at Deer Lodge,DL,6/18/2008,18,6,2008,35,500,131.5,,8.435,291.5,13.85,154950,,120,14.65
206,Jul-08,Clark Fork River at Deer Lodge,DL,7/16/2008,16,7,2008,20,275,31.25,,8.633333333,324.3333333,19.43333333,172033.3333,,48.75,4.32
207,Aug-08,Clark Fork River at Deer Lodge,DL,8/20/2008,20,8,2008,10,233.3333333,56,,8.853333333,457.3333333,16.03333333,242666.6667,,18,2.09
208,Sep-08,Clark Fork River at Deer Lodge,DL,9/17/2008,17,9,2008,10,250,61,,8.985,464,11.9,251000,,25.5,3.64
209,Jun-09,Clark Fork River at Deer Lodge,DL,6/24/2009,24,6,2009,12.75,,50.18,29.83,8.27,253,16.5,134600,,77.6,9.23
668,Jul-09,Clark Fork River at Deer Lodge,DL,7/15/2009,15,7,2009,,,,,8.446666667,313,18.06666667,148166.6667,,,5.7
722,Jul-09,Clark Fork River at Deer Lodge,DL,7/18/2009,18,7,2009,,,,,,,,,317.25,44.8375,
210,Jul-09,Clark Fork River at Deer Lodge,DL,7/20/2009,20,7,2009,8.546,,51.734,16.148,,,,,,,
723,Aug-09,Clark Fork River at Deer Lodge,DL,8/8/2009,8,8,2009,,,,,,,,,335,,
211,Aug-09,Clark Fork River at Deer Lodge,DL,8/14/2009,14,8,2009,9.59,,68.87333333,11.37,8.766666667,409,19.5,217000,,29.22333333,3.546666667
212,Sep-09,Clark Fork River at Deer Lodge,DL,9/9/2009,9,9,2009,11.88666667,,57.91666667,6.63,8.503333333,434.6666667,17.66666667,231000,289.6666667,18.27,2.24
213,Jun-10,Clark Fork River at Deer Lodge,DL,6/23/2010,23,6,2010,25.1,,129.4,39.2,8.09,285,16.4,151600,479,112.8,13.9
669,Jul-10,Clark Fork River at Deer Lodge,DL,7/14/2010,14,7,2010,,,,,8.303333333,288.3333333,18.66666667,153400,,,4.533333333
214,Jul-10,Clark Fork River at Deer Lodge,DL,7/16/2010,16,7,2010,11.5,,34.175,21.925,,,,,280.5,44.9,
215,Aug-10,Clark Fork River at Deer Lodge,DL,8/11/2010,11,8,2010,7.1,,47.3,33.36666667,8.403333333,385.6666667,19.9,204700,319.3333333,78.73333333,7.046666667
216,Sep-10,Clark Fork River at Deer Lodge,DL,9/8/2010,8,9,2010,8.466666667,,70.03333333,20.46666667,8.513333333,415,14.9,220666.6667,323,37.9,4.18
217,Jun-11,Clark Fork River at Deer Lodge,DL,6/25/2011,25,6,2011,19.1,,24.25,34.05,8.365,248.3,15.05,161150,,88.15,10.31
218,Jul-11,Clark Fork River at Deer Lodge,DL,7/20/2011,20,7,2011,11.45,,46.025,23.7,8.203333333,244.8333333,15.23333333,159266.6667,283.75,63,10.93
219,Aug-11,Clark Fork River at Deer Lodge,DL,8/17/2011,17,8,2011,18.43333333,,89.46666667,29.23333333,8.346666667,317.4,16.26666667,206466.6667,304,50.3,4.456666667
220,Sep-11,Clark Fork River at Deer Lodge,DL,9/17/2011,17,9,2011,7.5,,114.25,13.6,8.445,375.15,11.65,244050,331.5,29.05,2.475
221,Jun-12,Clark Fork River at Deer Lodge,DL,6/23/2012,23,6,2012,22.19,,28.775,15.12,8.48,243.45,14.1,158250,277.36,35.19,4.54
222,Jul-12,Clark Fork River at Deer Lodge,DL,7/18/2012,18,7,2012,10.6875,,64.445,12.605,8.386666667,350.7333333,18.96666667,227900,336.625,41.8775,3.043333333
223,Aug-12,Clark Fork River at Deer Lodge,DL,8/17/2012,17,8,2012,7.713333333,,91.93333333,8.676666667,,,,,408.8133333,22.50666667,
670,Aug-12,Clark Fork River at Deer Lodge,DL,8/17/2012,17,8,2012,,,,,8.36,405.2333333,16.5,263466.6667,,,1.886666667
224,Sep-12,Clark Fork River at Deer Lodge,DL,9/8/2012,8,9,2012,8.47,,103.8,3.035,8.51,412.25,12.35,268100,355.545,17.345,2.33
225,Jul-13,Clark Fork River at Deer Lodge,DL,7/17/2013,17,7,2013,15.905,,67.495,12.18,8.425,449.8,19.1,292500,341.42,28.665,2.43
671,Aug-13,Clark Fork River at Deer Lodge,DL,8/14/2013,14,8,2013,,,,,8.255,500.25,17,325300,,,2.805
226,Aug-13,Clark Fork River at Deer Lodge,DL,8/17/2013,17,8,2013,18.31666667,,178.5866667,8.593333333,,,,,502.9166667,19.13666667,
227,Sep-13,Clark Fork River at Deer Lodge,DL,9/11/2013,11,9,2013,15.045,,198.83,8.675,8.23,496.95,14.9,323050,451.905,20.785,4.055
228,Jul-14,Clark Fork River at Deer Lodge,DL,7/9/2014,9,7,2014,9.1,,50.25,16.4,8.27,308.1,17.75,200550,338,39.85,6.025
672,Aug-14,Clark Fork River at Deer Lodge,DL,8/13/2014,13,8,2014,,,,,8.335,449.55,18.6,292200,,,2.65
229,Aug-14,Clark Fork River at Deer Lodge,DL,8/15/2014,15,8,2014,16.15,,62.1,10.75,,,,,320,24.95,
230,Sep-14,Clark Fork River at Deer Lodge,DL,9/10/2014,10,9,2014,12.1,,43.7,8.75,8.59,461.75,13.1,300300,320,59.95,2.41
231,Jul-15,Clark Fork River at Deer Lodge,DL,7/8/2015,8,7,2015,10.85,,50.3,4.2,8.305,354.05,17.8,230100,328.5,19.7,2.565
673,Aug-15,Clark Fork River at Deer Lodge,DL,8/12/2015,12,8,2015,,,,,8.315,464.8,14.45,302250,,,1.33
232,Aug-15,Clark Fork River at Deer Lodge,DL,8/14/2015,14,8,2015,9.666666667,,159.6333333,2.35,,,,,406,12.55,
233,Sep-15,Clark Fork River at Deer Lodge,DL,9/16/2015,16,9,2015,14.55,,89.1,2.5,8.385,471.1,11.7,306150,389,19,3.365
234,Jul-16,Clark Fork River at Deer Lodge,DL,7/13/2016,13,7,2016,12,,38.7,3.6,8.285,400.2,16.05,260300,294.5,19.4,1.9
588,Aug-16,Clark Fork River at Deer Lodge,DL,8/17/2016,17,8,2016,,,,2.3,8.21,436.45,12.85,283700,,12.5,1.13
235,Aug-16,Clark Fork River at Deer Lodge,DL,8/19/2016,19,8,2016,18.03333333,,254.8,,,,,,421.5,,
236,Sep-16,Clark Fork River at Deer Lodge,DL,9/14/2016,14,9,2016,20.8,,183.6,2.55,8.205,476.95,11,309750,425.5,16.2,2.24
237,Jul-17,Clark Fork River at Deer Lodge,DL,7/17/2017,17,7,2017,12.75,,27.25,8.1,8.22,363.45,18.6,236250,259.5,24,2.29
674,Aug-17,Clark Fork River at Deer Lodge,DL,8/15/2017,15,8,2017,,,,,8.135,421.5,16,274000,,,1.3
238,Aug-17,Clark Fork River at Deer Lodge,DL,8/18/2017,18,8,2017,13.93333333,,240.7333333,3.8,,,,,530.6666667,16.86666667,
239,Sep-17,Clark Fork River at Deer Lodge,DL,9/12/2017,12,9,2017,10.1,,212.65,3.4,8.185,471.1,10.65,306150,513,17.85,2.2
240,Jul-18,Clark Fork River at Deer Lodge,DL,7/17/2018,17,7,2018,11.05,,47.05,15.45,8.17,300.5,17.5,195300,305,44.6,4.625
241,Aug-18,Clark Fork River at Deer Lodge,DL,8/12/2018,12,8,2018,19.85,,100.2,8.75,8.175,411.55,14,267500,348,30.4,2.895
242,Sep-18,Clark Fork River at Deer Lodge,DL,9/7/2018,7,9,2018,14.63333333,,130,4.65,,,,,394,27.63333333,
675,Sep-18,Clark Fork River at Deer Lodge,DL,9/11/2018,11,9,2018,,,,,8.16,441.9,11.45,287350,,,2.74
243,Jul-19,Clark Fork River at Deer Lodge,DL,7/9/2019,9,7,2019,25,,29.5,25.5,8.85,345.4,18.05,224575,235,34,3.23
244,Aug-19,Clark Fork River at Deer Lodge,DL,8/13/2019,13,8,2019,30,,142.5,28.5,8.495,437.3,19.65,284375,345,25.5,2.92
245,Sep-19,Clark Fork River at Deer Lodge,DL,9/16/2019,16,9,2019,20,,108,19.5,8.205,462.55,13.75,300625,350,87.5,16.985
246,Jul-20,Clark Fork River at Deer Lodge,DL,7/22/2020,22,7,2020,,,16,6,,,,,170,23,
676,Jul-20,Clark Fork River at Deer Lodge,DL,7/22/2020,22,7,2020,,,,,8.47,364.05,19.1,,,,3.44
247,Aug-20,Clark Fork River at Deer Lodge,DL,8/15/2020,15,8,2020,,,77,7,,,,,295,17,
677,Aug-20,Clark Fork River at Deer Lodge,DL,8/17/2020,17,8,2020,,,,,8.115,444.65,16.6,,,,2.425
678,Sep-20,Clark Fork River at Deer Lodge,DL,9/13/2020,13,9,2020,,,,,8.14,485.4,12.75,,,,1.305
248,Sep-20,Clark Fork River at Deer Lodge,DL,9/16/2020,16,9,2020,20,,89.66666667,8.333333333,,,,,253.3333333,13,
679,Jul-21,Clark Fork River at Deer Lodge,DL,7/14/2021,14,7,2021,,,,,8.44,453.15,19.35,,,,2.77
249,Jul-21,Clark Fork River at Deer Lodge,DL,7/22/2021,22,7,2021,30,,114,2,,,,,335,21,
680,Aug-21,Clark Fork River at Deer Lodge,DL,8/22/2021,22,8,2021,,,,,8.43,514.05,16.8,,,,3.03
250,Aug-21,Clark Fork River at Deer Lodge,DL,8/24/2021,24,8,2021,30,,93,,,,,,330,17,
251,Sep-21,Clark Fork River at Deer Lodge,DL,9/15/2021,15,9,2021,20,,119,,,,,,310,12,
681,Sep-21,Clark Fork River at Deer Lodge,DL,9/23/2021,23,9,2021,,,,,8.19,532.6,9.65,,,,2.98
252,Oct-21,Clark Fork River at Deer Lodge,DL,10/8/2021,8,10,2021,10,,232,1,,,,,400,13,
589,Jul-22,Clark Fork River at Deer Lodge,DL,7/13/2022,13,7,2022,,,,2,,,,,,45,
253,Jul-22,Clark Fork River at Deer Lodge,DL,7/22/2022,22,7,2022,30,,13.5,,8.41,430.6,20.5,,,,2.57
724,Jul-22,Clark Fork River at Deer Lodge,DL,7/25/2022,25,7,2022,,,,,,,,,213.3333333,,
254,Aug-22,Clark Fork River at Deer Lodge,DL,8/19/2022,19,8,2022,15,,114.5,1.9,8.37,490.05,19.45,,300,12,1.345
255,Sep-22,Clark Fork River at Deer Lodge,DL,9/20/2022,20,9,2022,,,149.5,0.9,8.28,537.3,14.1,,395,8,1.94
256,Jun-08,Clark Fork River at Huson,HU,6/19/2008,19,6,2008,10,250,34.5,,8.06,134.05,14.3,71100,,48.5,17
728,Jul-08,Clark Fork River at Huson,HU,7/13/2008,13,7,2008,,,,,,,,,,,5.72
257,Jul-08,Clark Fork River at Huson,HU,7/17/2008,17,7,2008,15,200,16.33333333,,8.483333333,177.4666667,19.86666667,117833.3333,,19.66666667,
258,Aug-08,Clark Fork River at Huson,HU,8/21/2008,21,8,2008,15,200,78.5,,8.493333333,243.3333333,17.7,129000,,15.25,2.423333333
259,Sep-08,Clark Fork River at Huson,HU,9/18/2008,18,9,2008,,200,30.5,,8.73,259,13.95,137650,,15,2.205
260,Jun-09,Clark Fork River at Huson,HU,6/25/2009,25,6,2009,,,26.83,10.49,8.04,154.1,18.1,81700,,26.25,6.99
261,Jul-09,Clark Fork River at Huson,HU,7/16/2009,16,7,2009,7.39,,20.2,6.083333333,8.276666667,202.5666667,19.76666667,107666.6667,192,19.65,3.64
262,Aug-09,Clark Fork River at Huson,HU,8/15/2009,15,8,2009,10.92666667,,48.61333333,5.17,8.473333333,257,19.36666667,136633.3333,263.6666667,16.75333333,3.116666667
590,Sep-09,Clark Fork River at Huson,HU,9/6/2009,6,9,2009,,,,2.97,,,,,,,
263,Sep-09,Clark Fork River at Huson,HU,9/7/2009,7,9,2009,10.73,,15.222,,,,,,,,
725,Sep-09,Clark Fork River at Huson,HU,9/8/2009,8,9,2009,,,,,,,,,226.5,13.0675,
682,Sep-09,Clark Fork River at Huson,HU,9/10/2009,10,9,2009,,,,,8.393333333,266.3333333,18.9,141566.6667,,,2.296666667
264,Jun-10,Clark Fork River at Huson,HU,6/24/2010,24,6,2010,9.2,,35.2,14.9,7.47,153.4,18.9,81400,245,38.6,12.2
265,Jul-10,Clark Fork River at Huson,HU,7/15/2010,15,7,2010,10.26666667,,5.266666667,5.166666667,8.026666667,206.9666667,20.46666667,109933.3333,171,15.73333333,2.34
266,Aug-10,Clark Fork River at Huson,HU,8/12/2010,12,8,2010,9.933333333,,43.96666667,4.266666667,8.18,263,21.73333333,139800,245.3333333,20.46666667,3.526666667
267,Sep-10,Clark Fork River at Huson,HU,9/6/2010,6,9,2010,,,27.25,3.025,,,,,220.25,14.425,
683,Sep-10,Clark Fork River at Huson,HU,9/9/2010,9,9,2010,,,,,8.38,268,14.63333333,143033.3333,,,3.753333333
268,Jun-11,Clark Fork River at Huson,HU,6/26/2011,26,6,2011,17.7,,19.1,13.95,7.815,152.3,13.3,98750,,73.1,37
269,Jul-11,Clark Fork River at Huson,HU,7/21/2011,21,7,2011,8.85,,23.26666667,9.733333333,8.07,148.6333333,15.93333333,96633.33333,171.3333333,29.3,7.533333333
684,Aug-11,Clark Fork River at Huson,HU,8/18/2011,18,8,2011,,,,,8.323333333,219.2666667,17.86666667,142566.6667,,,2.17
270,Aug-11,Clark Fork River at Huson,HU,8/20/2011,20,8,2011,12.725,,46.575,7.075,,,,,203.595,21.825,
271,Sep-11,Clark Fork River at Huson,HU,9/18/2011,18,9,2011,11.05,,36,4.95,8.4,241.1,14.05,156650,215,14.25,1.85
272,Jun-12,Clark Fork River at Huson,HU,6/24/2012,24,6,2012,9.215,,18.475,7.645,8.04,119.65,14.4,78000,207.845,21.85,4.585
273,Jul-12,Clark Fork River at Huson,HU,7/19/2012,19,7,2012,11.76333333,,23.71,3.523333333,8.243333333,185.8666667,19.66666667,120900,213.59,19.78,1.906666667
