,date_yearmon,Site.OLD,Site,ActivityStartDate,Day,Month,Year,Ammonia,Kjeldahl nitrogen,Nitrate + Nitrite,Orthophosphate,pH,Specific conductance,"Temperature, water",Total dissolved solids,"Total Nitrogen, mixed forms","Total Phosphorus, mixed forms",Turbidity
598,Sep-15,Clark Fork River above Flathead,FH,9/15/2015,15,9,2015,,,,,8.48,240.5,14.25,156650,,,1.955
29,Sep-15,Clark Fork River above Flathead,FH,9/16/2015,16,9,2015,6.1,,6.05,,,,,,186.6666667,12.03333333,
30,Jul-16,Clark Fork River above Flathead,FH,7/18/2016,18,7,2016,21.1,,9.6,1.2,8.345,192.05,18.8,124800,133.5,8.7,0.86
31,Aug-16,Clark Fork River above Flathead,FH,8/18/2016,18,8,2016,13.75,,6.55,0.85,8.365,217,17,141050,152.5,9.6,1.08
599,Sep-16,Clark Fork River above Flathead,FH,9/12/2016,12,9,2016,,,,,8.375,234.4,14,152450,,,1.52
32,Sep-16,Clark Fork River above Flathead,FH,9/17/2016,17,9,2016,27.6,,8,1.025,,,,,190.3333333,11.23333333,
33,Jul-17,Clark Fork River above Flathead,FH,7/19/2017,19,7,2017,19.1,,19.45,1.55,8.14,209.3,20.1,135800,136.5,9,1.08
34,Aug-17,Clark Fork River above Flathead,FH,8/12/2017,12,8,2017,22.05,,27.75,1.6,8.305,222.75,19,144600,182.5,7.9,0.9165
600,Sep-17,Clark Fork River above Flathead,FH,9/11/2017,11,9,2017,,,,,8.215,250.4,14.55,162850,,,1.435
35,Sep-17,Clark Fork River above Flathead,FH,9/14/2017,14,9,2017,18.5,,21.8,,,,,,182.5,9.65,
601,Jul-18,Clark Fork River above Flathead,FH,7/18/2018,18,7,2018,,,,,8.2,208.25,19.05,135500,,,3.155
36,Jul-18,Clark Fork River above Flathead,FH,7/20/2018,20,7,2018,9.633333333,,11.4,3.1,,,,,133.5,12.55,
602,Aug-18,Clark Fork River above Flathead,FH,8/12/2018,12,8,2018,,,,,8.33,239.15,17.95,155350,,,0.98
37,Aug-18,Clark Fork River above Flathead,FH,8/17/2018,17,8,2018,11.75,,24.33333333,,,,,,164.3333333,10.36666667,
38,Sep-18,Clark Fork River above Flathead,FH,9/12/2018,12,9,2018,25.6,,19.05,1,8.215,257.4,13.75,167400,153.5,8.95,1.205
39,Jul-19,Clark Fork River above Flathead,FH,7/10/2019,10,7,2019,20,,13.5,23.5,8.45,208.55,17.4,135525,115,9,2.13
40,Aug-19,Clark Fork River above Flathead,FH,8/11/2019,11,8,2019,25,,11.66666667,16.66666667,,,,,136.6666667,8,
603,Aug-19,Clark Fork River above Flathead,FH,8/14/2019,14,8,2019,,,,,8.57,247.15,20.55,160550,,,2.32
41,Sep-19,Clark Fork River above Flathead,FH,9/17/2019,17,9,2019,14.85,,8,10.5,8.46,265.6,15.2,172950,120,10,5.19
42,Jul-20,Clark Fork River above Flathead,FH,7/22/2020,22,7,2020,,,5,1,8.075,200.05,19.2,,90,9,3.375
43,Aug-20,Clark Fork River above Flathead,FH,8/11/2020,11,8,2020,,,8,3,,,,,120,6,
604,Aug-20,Clark Fork River above Flathead,FH,8/18/2020,18,8,2020,,,,,8.24,241.35,18.7,,,,1.18
44,Sep-20,Clark Fork River above Flathead,FH,9/13/2020,13,9,2020,20,,10.75,4,,,,,100,6.25,
605,Sep-20,Clark Fork River above Flathead,FH,9/14/2020,14,9,2020,,,,,8.13,260.95,13.85,,,,1.705
606,Jul-21,Clark Fork River above Flathead,FH,7/13/2021,13,7,2021,,,,,8.525,216,19.9,,,,2.955
45,Jul-21,Clark Fork River above Flathead,FH,7/21/2021,21,7,2021,20,,23.66666667,25,,,,,193.3333333,33.66666667,
607,Aug-21,Clark Fork River above Flathead,FH,8/23/2021,23,8,2021,,,,,8.36,251.3,18.1,,,,2.25
46,Aug-21,Clark Fork River above Flathead,FH,8/24/2021,24,8,2021,20,,6,,,,,,130,8,
47,Sep-21,Clark Fork River above Flathead,FH,9/13/2021,13,9,2021,20,,10,,,,,,115,10.5,
608,Sep-21,Clark Fork River above Flathead,FH,9/22/2021,22,9,2021,,,,,8.305,269.7,13.45,,,,2.635
48,Oct-21,Clark Fork River above Flathead,FH,10/8/2021,8,10,2021,10,,8,,,,,,110,11,
49,Jul-22,Clark Fork River above Flathead,FH,7/14/2022,14,7,2022,,,7,2,7.95,169.7,18.4,,150,6,3.98
715,Aug-22,Clark Fork River above Flathead,FH,8/11/2022,11,8,2022,,,,,,,,,170,,
50,Aug-22,Clark Fork River above Flathead,FH,8/15/2022,15,8,2022,20,,,18.5,8.196666667,227.1333333,19.73333333,,,29.33333333,0.96
585,Aug-22,Clark Fork River above Flathead,FH,8/22/2022,22,8,2022,,,16.5,,,,,,,,
51,Sep-22,Clark Fork River above Flathead,FH,9/21/2022,21,9,2022,,,11,1,8.24,255,15.05,,250,26,1.835
52,Jun-08,Clark Fork River above Little Blackfoot,GR,6/18/2008,18,6,2008,30,500,110.5,,8.305,260.05,13.15,138250,,126,18.4
53,Jul-08,Clark Fork River above Little Blackfoot,GR,7/14/2008,14,7,2008,16.66666667,325,3,,,,,,,60.25,
