 Agency Code, Station number,Site, Begin date,Day,Month,Year, Begin time, End date, End time, Time datum, Time datum reliability code, Agency Collecting Sample Code, Medium code, Taxonomic unit code, Body part code," Stream width, feet"," Temperature, water, degrees Celsius"," Temperature, air, degrees Celsius"," Temperature, air, degrees Fahrenheit"," Barometric pressure, millimeters of mercury"," Agency analyzing sample, code"," Weather, World Meteorological Organization (WMO) code"," Discharge, cubic feet per second"," Discharge, instantaneous, cubic feet per second"," Number of sampling points, count"," Gage height, feet"," Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius"," Hydrogen ion, water, unfiltered, calculated, milligrams per liter"," pH, water, unfiltered, field, standard units"," pH, water, unfiltered, laboratory, standard units"," Carbon dioxide, water, unfiltered, milligrams per liter"," Hardness, water, milligrams per liter as calcium carbonate"," Noncarbonate hardness, water, filtered, lab, milligrams per liter as calcium carbonate"," Calcium, water, filtered, milligrams per liter"," Magnesium, water, filtered, milligrams per liter"," Sodium, water, filtered, milligrams per liter"," Sodium adsorption ratio (SAR), water, number"," Sodium fraction of cations, water, percent in equivalents of major cations"," Potassium, water, filtered, milligrams per liter"," Chloride, water, filtered, milligrams per liter"," Sulfate, water, filtered, milligrams per liter"," Fluoride, water, filtered, milligrams per liter"," Silica, water, filtered, milligrams per liter as SiO2"," Arsenic, water, filtered, micrograms per liter"," Arsenic, water, unfiltered, micrograms per liter"," Cadmium, water, filtered, micrograms per liter"," Cadmium, water, unfiltered, micrograms per liter"," Copper, water, filtered, micrograms per liter"," Copper, water, unfiltered, recoverable, micrograms per liter"," Iron, water, unfiltered, recoverable, micrograms per liter"," Iron, water, filtered, micrograms per liter"," Lead, water, filtered, micrograms per liter"," Lead, water, unfiltered, recoverable, micrograms per liter"," Manganese, water, unfiltered, recoverable, micrograms per liter"," Manganese, water, filtered, micrograms per liter"," Zinc, water, filtered, micrograms per liter"," Zinc, water, unfiltered, recoverable, micrograms per liter"," Aluminum, water, unfiltered, recoverable, micrograms per liter"," Aluminum, water, filtered, micrograms per liter"," Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbonate"," Gage height, above datum, meters"," Discharge, cubic meters per second"," Discharge, instantaneous, cubic meters per second"," Transit rate, sampler, minimum, feet per second"," Transit rate, sampler, feet per second"," Transit rate, sampler, maximum, feet per second"," Site visit purpose, code"," Turbidity, water, unfiltered, broad band light source (400"," Turbidity, water, unfiltered, monochrome near infra"," Turbidity, water, unfiltered, monochrome near infra"," Dissolved solids, water, filtered, sum of constituents, milligrams per liter"," Dissolved solids, water, short tons per day"," Dissolved solids, water, filtered, short tons per acre"," Suspended sediment, sieve diameter, percent smaller than 0.0625 millimeters"," Sample purpose, code"," Sample location, distance downstream, feet"," Sample location, distance upstream, feet"," Sampler nozzle material, code"," Sampler nozzle diameter, code"," Suspended sediment concentration, milligrams per liter"," Suspended sediment discharge, short tons per day"," Velocity at point in stream, feet per second"," Sampling method, code"," Sampler type, code"," Sample splitter type, field, code"," Bottle or bag sampler material (construction), code"," Specific conductance, water, unfiltered, laboratory, microsiemens per centimeter at 25 degrees Celsius"," Suspended sediment, sediment mass recovered from whole water sample, dry weight, grams"," Suspended sediment, smaller than 0.063 mm sieve diameter, sediment mass recovered from whole water sample, dry weight, grams"," Suspended sediment, larger than 0.063 mm sieve diameter, sediment mass recovered from whole water sample, dry weight, grams"," Suspended sediment, between 0.063 and 4 mm sieve diameter, sediment mass analyzed for particle size fractions, dry weight, grams"," Type of replicate, code"," Type of quality assurance data associated with sample, code"," Sulfuric acid NWIS lot number, 4.5 N (1:7), 1 mL, National Field Supply Service (NFSS) stock number Q438FLD"," Nitric acid NWIS lot number, 7.5"," Conductance standard NWIS lot number, 50 uS/cm KCl, National Field Supply Service (NFSS) stock number Q42FLD"," Conductance standard NWIS lot number, 100 uS/cm KCl, National Field Supply Service (NFSS) stock number Q43FLD"," Conductance standard NWIS lot number, 500 uS/cm KCl, National Field Supply Service (NFSS) stock number Q45FLD"," Conductance standard NWIS lot number, 750 uS/cm KCl, National Field Supply Service (NFSS) stock number Q46FLD"," Conductance standard NWIS lot number, 1000 uS/cm KCl, National Field Supply Service (NFSS) stock number Q47FLD"," pH 10 Buffer solution, NWIS lot number, National Field Supply Service (NFSS) stock numbers Q122FLD, Q123FLD"," pH 4 Buffer solution, NWIS lot number, National Field Supply Service (NFSS) stock numbers Q124FLD, Q125FLD"," pH 7 Buffer solution, NWIS lot number, National Field Supply Service (NFSS) stock numbers Q126FLD, Q127FLD"," Lot number, first, inorganic"," NWIS lot number, capsule filter, 0.45 micron"," NWIS lot number, disk filter, 0.45 micron"," Julian date, in"
USGS,12324200,DL,6/1/1997,1,6,1997,12:15,,,MDT,T,USGS-WRD,WS,,,,12.5,19.5,,,80020,,,1260,,4.1,286,0.00001,8.1,,,119,,36.3,6.84,,,,,,,,,22,44,0.2,< 1.0,32,130,1580,29.7,< 0.5,15,190,33.5,23.4,110,,,,1.25,,36,,,,,,,,,,,50,,,,,,113,384,,20,3036,,,,,,,,,,,,,,,,,,,,,,,164
USGS,12324200,DL,6/12/1997,12,6,1997,16:10,,,MDT,T,USGS-WRD,WS,,,,15,,,,1028,,,1970,,5.02,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,6/23/1997,23,6,1997,14:30,,,MDT,T,USGS-WRD,WS,,,,12.5,12.5,,,80020,,,1170,,4.2,296,M ,8.5,,,130,,39.8,7.49,,,,,,,,,21,37,0.1,< 1.0,18.5,92,1140,21.2,< 0.5,10.8,160,55.4,8.5,80,,,,1.28,,33,,,,,,,,,,,56,,,,,,65,205,,20,3036,,,,,,,,,,,,,,,,,,,,,,,189
USGS,12324200,DL,7/23/1997,23,7,1997,15:30,,,MDT,T,USGS-WRD,WS,,,,19.5,27,,,1028,,,458,,3.33,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,8/9/1997,9,8,1997,6:40,,,MDT,T,USGS-WRD,WS,,,,14,11,,,80020,,,313,,3.03,395,0.00001,8.3,,,179,,52.9,11.4,,,,,,,,,24,26,< 0.1,< 1.0,10,47.3,470,11,< 0.5,4.7,90,29.6,9.9,40,,,,0.92,,8.9,,,,,,,,,,,77,,,,,,20,17,,10,3044,,,,,,,,30,30,,,,,,,,,,,,,,231
USGS,12324200,DL,8/13/1997,13,8,1997,15:45,,,MDT,T,USGS-WRD,WS,,,,16,19.5,,,1028,,,293,,2.98,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,10/6/1997,6,10,1997,14:30,,,MDT,T,USGS-WRD,WS,,,,7.5,10.5,,,1028,,,321,,3.05,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,11/3/1997,3,11,1997,17:15,,,MST,T,USGS-WRD,WS,,,,5,10,,,80020,,,351,,3.09,458,M ,8.6,,,207,,60.4,13.7,,,,,,,,,9,10,< 0.1,< 1.0,4,12.1,200,7.8,< 0.6,1.1,60,28.9,< 10.0,20,120,< 5,,0.94,,9.9,,,,,,,,,,,80,,,,,,10,9.5,,10,3044,,,,,,,,20,30,,,,,,,,,,,,,,325
USGS,12324200,DL,11/21/1997,21,11,1997,17:00,,,MST,T,USGS-WRD,WS,,,,3,2,,,1028,,,323,,3.04,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,1/13/1998,13,1,1998,14:00,,,MST,T,USGS-WRD,WS,,,,0,-7,,,1028,,,206,,2.86,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/9/1998,9,3,1998,11:20,,,MST,T,USGS-WRD,WS,,,,1.5,-4,,,1028,,,274,,2.91,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/11/1998,11,3,1998,16:10,,,MST,T,USGS-WRD,WS,,,,5,15,,,80020,,,252,,2.91,485,M ,8.6,,,218,,63.3,14.5,,,,,,,,,7,10,< 0.1,< 1.0,5.4,20.9,330,< 5.0,< 0.6,2.1,90,49.8,< 10.0,20,,,,0.89,,7.1,,,,,,,,,,,74,,,,,,18,12,,10,3044,,,,,,,,30,30,,,,,,,,,,,,,,84
USGS,12324200,DL,4/15/1998,15,4,1998,9:05,,,MDT,T,USGS-WRD,WS,,,,4.5,4,,,80020,,,277,,2.98,500,0.00001,8.2,,1.7,219,77,63.9,14.4,15.2,0.45,13,3.25,8.26,102,0.66,15,9,13,< 0.1,< 1.0,6.8,28.5,430,8,< 0.6,3.5,110,43.9,< 10.0,40,,,142,0.91,,7.8,,,,,,,,308,230,0.42,63,,,,,,21,16,,10,3044,,,,,,,,20,30,,,,,,,,,,,,,,114
USGS,12324200,DL,4/27/1998,27,4,1998,16:30,,,MDT,T,USGS-WRD,WS,,,,12.5,19,,,1028,,,305,,3.04,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,5/5/1998,5,5,1998,12:20,,,MDT,T,USGS-WRD,WS,,,,13.5,20.5,,,80020,,,384,,3.22,385,0.00001,8.3,7.7,1,159,50,46.7,10.2,12.5,0.43,14,2.97,6.31,72.6,0.53,14.2,14,25,< 0.1,< 1.0,11.1,79,1380,8,< 0.6,10.6,240,23.1,15,80,,,109,0.98,,11,,,,,,,,231,240,0.31,68,,,,,,69,72,,10,3044,,,389,,,,,20,30,,,,,,,,,,,,,,133
USGS,12324200,DL,5/13/1998,13,5,1998,7:50,,,MDT,T,USGS-WRD,WS,,,,11.5,11,,,80020,,,292,,3.06,360,0.00001,8.1,,1.6,149,44,43.8,9.52,12,0.43,15,2.76,6.38,64.9,0.52,14.3,14,19,< 0.1,< 1.0,9.8,40.5,510,11.1,< 0.6,4.6,130,28.1,< 10.0,40,,,105,0.93,,8.3,,,,,,,,217,171,0.3,79,,,,,,25,20,,10,3044,,,,,,,,20,30,,,,,,,,,,,,,,146
USGS,12324200,DL,5/28/1998,28,5,1998,8:45,,,MDT,T,USGS-WRD,WS,,,,9.5,7.5,,,80020,,,443,,3.33,330,0.00001,8.2,,,142,,41.8,9.06,,,,,,,,,19,28,< 0.1,< 1.0,9.4,90,1400,16.9,< 0.6,10.9,210,24.7,< 10.0,80,,,,1.01,,13,,,,,,,,,,,67,,,,,,76,91,,10,3044,,,,,,,,20,30,,,,,,,,,,,,,,166
USGS,12324200,DL,6/3/1998,3,6,1998,13:30,,,MDT,T,USGS-WRD,WS,,,,10.5,13,,,1028,,,330,,3.1,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,6/20/1998,20,6,1998,15:00,,,MDT,T,USGS-WRD,WS,,,,12.5,15.5,,,1028,,,1060,,4.1,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,6/29/1998,29,6,1998,8:40,,,MDT,T,USGS-WRD,WS,,,,12.5,13,,,80020,,,728,,3.7,347,0.00001,8.2,,,150,,44.8,9.35,,,,,,,,,16,20,0.1,< 1.0,11.7,55.7,840,16.8,< 0.6,6.2,130,25.8,< 10.0,50,,,,1.13,,21,,,,,,,,,,,66,,,,,,39,77,,30,3044,,,,,,,,20,30,,,,,,,,,,,,,,197
USGS,12324200,DL,7/29/1998,29,7,1998,10:00,,,MDT,T,USGS-WRD,WS,,,,17.5,19,,,1028,,,297,,3.13,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,8/21/1998,21,8,1998,16:55,,,MDT,T,USGS-WRD,WS,,,,17,22,,,80020,,,86,,2.52,516,M ,8.5,,,220,,65.5,13.7,,,,,,,,,19,20,< 0.1,< 1.0,6.1,10,70,< 5.0,< 0.6,< 1.0,40,23.9,< 10.0,< 10,,,,0.77,,2.4,,,,,,,,,,,81,,,,,,5,1.2,,10,3044,,,,,,,,,,,,,,,,,,,,,,,252
USGS,12324200,DL,10/7/1998,7,10,1998,12:40,,,MDT,T,USGS-WRD,WS,,,,9,17,,,1028,,,270,,2.96,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,11/17/1998,17,11,1998,15:05,,,MST,T,USGS-WRD,WS,,,,4,4.5,,,80020,,,286,,3,473,M ,8.4,,,206,,59.9,13.7,,,,,,,,,9,12,< 0.1,< 1.0,4.2,15.6,280,< 10.0,< 0.5,1.7,70,23.7,< 20.0,20,,,,0.91,,8.1,,,,,,,,,,,60,,,,,,15,12,,10,3044,,,,,,,,20,30,,,,,,,,,,,,,,342
USGS,12324200,DL,11/18/1998,18,11,1998,11:15,,,MST,T,USGS-WRD,WS,,,,3,1.5,,,1028,,,298,,3.03,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,1/12/1999,12,1,1999,9:45,,,MST,T,USGS-WRD,WS,,,,2.5,3,,,1028,,,254,,2.97,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,2/22/1999,22,2,1999,15:40,,,MST,T,USGS-WRD,WS,,,,4,4.5,,,80020,,,225,,2.92,502,M ,8.6,,,227,,66.9,14.6,,,,,,,,,7,9,0.1,< 1.0,4.8,16.2,220,< 10.0,< 0.5,2,90,51,< 10.0,30,,,,0.89,,6.4,,,,,,,,,,,72,,,,,,15,9.1,,10,3044,,,,,,,,30,30,,,,,,,,,,,,,,69
USGS,12324200,DL,3/9/1999,9,3,1999,8:20,,,MST,T,USGS-WRD,WS,,,,1.5,0,,,1028,,,213,,2.91,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,4/27/1999,27,4,1999,16:25,,,MDT,T,USGS-WRD,WS,,,,12.5,10,,,80020,,,250,,3,454,M ,8.9,,,197,,57.3,13,,,,,,,,,12,14,< 0.1,< 1.0,7,20.5,339,< 10.0,< 0.5,2.1,77.3,24.8,< 20.0,E 27.0,,,,0.91,,7.1,,,,,,,,,,,69,,,,,,14,9.5,,10,3044,,,,,,,,20,30,,,,,,,,,,,,,,133
USGS,12324200,DL,4/28/1999,28,4,1999,12:00,,,MDT,T,USGS-WRD,WS,,,,7.5,3,,,1028,,,281,,3.06,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,5/11/1999,11,5,1999,12:00,,,MDT,T,USGS-WRD,WS,,,,8.5,9,,,80020,,,281,,3.06,460,M ,8.6,,,197,,57.2,13.1,,,,,,,,,13,14,< 0.1,< 1.0,5.9,23.5,408,< 10.0,< 0.5,2.8,97,33.4,E 7.8,E 35.8,,,,0.93,,8,,,,,,,,,,,73,,,,,,18,14,,10,3044,,,,,,,,20,30,,,,,,,,,,,,,,148
USGS,12324200,DL,5/27/1999,27,5,1999,12:30,,,MDT,T,USGS-WRD,WS,,,,14,21.5,,,80020,,,506,,3.44,286,0.00001,8,,,116,,34.5,7.37,,,,,,,,,19,56,< 0.1,1.1,11.3,255,3750,22.9,< 0.5,31.1,582,47.4,< 20.0,188,,,,1.05,,14,,,,,,,,,,,67,,,,,,219,299,,10,3044,,,,,,,,20,30,,,,,,,,,,,,,,159
USGS,12324200,DL,6/4/1999,4,6,1999,14:40,,,MDT,T,USGS-WRD,WS,,,,12,16,,,1028,,,810,,3.82,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,6/10/1999,10,6,1999,9:10,,,MDT,T,USGS-WRD,WS,,,,9,15,,,80020,,,500,,3.42,341,0.00001,8.2,,,142,,41.6,9.19,,,,,,,,,17,27,< 0.1,< 1.0,9.8,58.6,904,15.6,< 0.5,7.5,159,22.8,< 20.0,E 37.8,,,,1.04,,14,,,,,,,,,,,59,,,,,,48,65,,10,3044,,,,,,,,20,30,,,,,,,,,,,,,,173
USGS,12324200,DL,6/16/1999,16,6,1999,7:30,,,MDT,T,USGS-WRD,WS,,,,14.5,10,,,1028,,,,,3.38,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,6/22/1999,22,6,1999,16:00,,,MDT,T,USGS-WRD,WS,,,,14.5,16.5,,,80020,,,684,,3.66,234,0.00001,8.3,,,94.9,,28.2,5.97,,,,,,,,,15,20,< 0.1,< 1.0,10,69.6,927,17.6,< 0.5,7.3,132,15.5,< 20.0,50.6,,,,1.12,,19,,,,,,,,,,,48,,,,,,53,98,,20,3036,,,,,,,,10,30,,,,,,,,,,,,,,187
USGS,12324200,DL,6/30/1999,30,6,1999,10:35,,,MDT,T,USGS-WRD,WS,,,,14,15,,,1028,,,336,,3.13,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,7/15/1999,15,7,1999,9:45,,,MDT,T,USGS-WRD,WS,,,,13.5,22,,,1028,,,119,,2.72,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,7/29/1999,29,7,1999,11:00,,,MDT,T,USGS-WRD,WS,,,,17,24.5,,,1028,,,58,,2.39,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,8/13/1999,13,8,1999,13:40,,,MDT,T,USGS-WRD,WS,,,,17,15,,,80020,,,132,,2.64,467,M ,8.6,,,198,,58.7,12.5,,,,,,,,,18,20,< 0.1,< 1.0,7.2,32.1,377,E 7.0,< 0.5,3.5,147,23.2,4.9,E 38.2,,,,0.8,,3.7,,,,,,,,,,,90,,,,,,25,8.9,,10,3044,,,,,,,,20,30,,,,,,,,,,,,,,236
USGS,12324200,DL,8/19/1999,19,8,1999,8:10,,,MDT,T,USGS-WRD,WS,,,,17,18.5,,,1028,,,97,,2.51,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,10/7/1999,7,10,1999,11:45,,,MDT,T,USGS-WRD,WS,,,,8.5,13,,,1028,,,186,,2.79,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,11/16/1999,16,11,1999,12:00,,,MST,T,USGS-WRD,WS,,,,4,7,,,80020,,,209,,2.82,520,M ,8.4,,,229,,66.3,15.3,,,,,,,,,8,9,< 0.1,E 0.1,4.1,18.9,232,< 10.0,< 1,1.9,69.6,26.9,6.8,E 15.4,,,,0.86,,5.9,,,,,,,,,,,80,,,,,,10,5.6,,10,3044,,,,,,,,20,30,,,,,,,,,,,,,,334
USGS,12324200,DL,11/17/1999,17,11,1999,15:15,,,MST,T,USGS-WRD,WS,,,,5,6,,,1028,,,213,,2.83,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,1/6/2000,6,1,2000,12:40,,,MST,T,USGS-WRD,WS,,,,0.5,-1.5,,,1028,,,193,,2.77,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,2/23/2000,23,2,2000,14:50,,,MST,T,USGS-WRD,WS,,,,5,11,,,1028,,,227,,2.82,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/6/2000,6,3,2000,17:15,,,MST,T,USGS-WRD,WS,,,,8,13.5,,,80020,,,225,,2.82,506,M ,8.4,,,225,,66.3,14.5,,,,,,,,,8,10,< 0.1,E 0.1,5.5,17.1,269,< 10.0,< 1,1.7,62.5,29.6,6.7,23,,,,0.86,,6.4,,,,,,,,,,,70,,,,,,13,7.9,,10,3044,,,,,,,,30,30,,,,,,,,,,,,,,75
USGS,12324200,DL,4/4/2000,4,4,2000,16:10,,,MDT,T,USGS-WRD,WS,,,,12,18,,,80020,,,209,,2.78,535,M ,8.4,,,244,,72.1,15.6,,,,,,,,,8.9,10,< 0.1,E 0.1,5.9,19.6,262,< 10.0,< 1,2.28,60.2,30.8,6.7,20,,,,0.85,,5.9,,,,,,,,,,,72,,,,,,13,7.3,,10,3044,,,,,,,,20,30,,,,,,,,,,,,,,111
USGS,12324200,DL,4/14/2000,14,4,2000,8:00,,,MDT,T,USGS-WRD,WS,,,,5.5,-3.5,,,1028,,,187,,2.72,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,5/9/2000,9,5,2000,13:50,,,MDT,T,USGS-WRD,WS,,,,11.5,10,,,80020,,,108,,2.49,523,M ,8.5,,,221,,64.2,14.7,,,,,,,,,10.8,12,< 0.1,< 0.1,6.8,15.9,146,15.6,< 1,2.54,119,113,9.6,21,,,,0.76,,3.1,,,,,,,,,,,88,,,,,,4,1.2,,10,3044,,,,,,,,20,30,,,,,,,,,,,,,,138
USGS,12324200,DL,5/16/2000,16,5,2000,10:00,,,MDT,T,USGS-WRD,WS,,,,11.5,15.5,,,1028,,,76,,2.37,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,5/22/2000,22,5,2000,15:30,,,MDT,T,USGS-WRD,WS,,,,17.5,24,,,80020,,,97,,2.45,451,M ,8.7,,,193,,57.1,12.3,,,,,,,,,14.3,16,< 0.1,< 0.1,8,18.3,134,10.1,< 1,1.35,69.8,41.6,5.2,15,,,,0.75,,2.7,,,,,,,,,,,84,,,,,,7,1.8,,10,3044,,,,,,,,20,30,,,,,,,,,,,,,,153
USGS,12324200,DL,5/24/2000,24,5,2000,17:00,,,MDT,T,USGS-WRD,WS,,,,16.5,22,,,1028,,,105,,2.49,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,6/5/2000,5,6,2000,7:20,,,MDT,T,USGS-WRD,WS,,,,14,15.5,,,80020,,,116,,2.52,463,0.00001,8.1,,,197,,57.8,12.9,,,,,,,,,16.9,19,< 0.1,0.1,6.8,28.8,335,E 7.4,< 1,3.23,157,64.2,12.4,28,,,,0.77,,3.3,,,,,,,,,,,92,,,,,,15,4.7,,10,3044,,,,,,,,20,30,,,,,,,,,,,,,,166
USGS,12324200,DL,6/22/2000,22,6,2000,11:15,,,MDT,T,USGS-WRD,WS,,,,16,20,,,1028,,,71,,2.35,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,7/12/2000,12,7,2000,10:25,,,MDT,T,USGS-WRD,WS,,,,16.5,22.5,,,1028,,,42,,2.26,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,7/21/2000,21,7,2000,12:25,,,MDT,T,USGS-WRD,WS,,,,19.5,31,,,80020,,,29,,2.14,512,M ,8.6,,,221,,65.3,14.1,,,,,,,,,12,15,< 0.1,< 0.1,5.8,12.7,97.8,< 10.0,< 1,1.03,85.5,47.2,3.6,11,,,,0.65,,0.82,,,,,,,,,,,69,,,,,,21,1.6,,10,3044,,,,,,,,20,30,,,,,,,,,,,,,,215
USGS,12324200,DL,8/11/2000,11,8,2000,10:25,,,MDT,T,USGS-WRD,WS,,,,14.5,17,,,1028,,,35,,2.17,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,8/29/2000,29,8,2000,14:15,,,MDT,T,USGS-WRD,WS,,,,15,27,,,1028,,,42,,2.22,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,9/5/2000,5,9,2000,11:15,,,MDT,T,USGS-WRD,WS,,,,13.5,18,,,80020,,,86,,2.41,564,0.00001,8.3,,,255,,75.4,16.2,,,,,,,,,12.2,15,< 0.1,0.2,5.2,38.1,494,< 10.0,< 1,4.9,185,28.7,4.7,45,,,,0.73,,2.4,,,,,,,,,,,84,,,,,,31,7.2,,10,3044,,,,,,,,20,30,,,,,,,,,,,,,,263
USGS,12324200,DL,10/11/2000,11,10,2000,11:10,,,MDT,T,USGS-WRD,WS,,,,7.5,5.5,,,1028,,,155,,2.64,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,10/31/2000,31,10,2000,9:10,,,MST,T,USGS-WRD,WS,,,,5.5,7,,,80020,,,194,,2.75,585,0.00001,8.2,,,252,,72.8,17.1,,,,,,,,,8.3,12,< 0.1,E 0.1,4.4,20.6,268,E 5.8,< 1,2.31,97.7,33.8,10.1,27,,,,0.84,,5.5,,,,,,,,,,,80,,,,,,15,7.9,,10,3044,,,,,,,,20,30,,,,,,,,,,,,,,313
