 Agency Code, Station number,Site, Begin date,Day,Month,Year, Begin time, End date, End time, Time datum, Time datum reliability code, Agency Collecting Sample Code, Medium code, Taxonomic unit code, Body part code," Stream width, feet"," Temperature, water, degrees Celsius"," Temperature, air, degrees Celsius"," Temperature, air, degrees Fahrenheit"," Barometric pressure, millimeters of mercury"," Agency analyzing sample, code"," Weather, World Meteorological Organization (WMO) code"," Discharge, cubic feet per second"," Discharge, instantaneous, cubic feet per second"," Number of sampling points, count"," Gage height, feet"," Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius"," Hydrogen ion, water, unfiltered, calculated, milligrams per liter"," pH, water, unfiltered, field, standard units"," pH, water, unfiltered, laboratory, standard units"," Carbon dioxide, water, unfiltered, milligrams per liter"," Hardness, water, milligrams per liter as calcium carbonate"," Calcium, water, filtered, milligrams per liter"," Magnesium, water, filtered, milligrams per liter"," Sodium, water, filtered, milligrams per liter"," Sodium adsorption ratio (SAR), water, number"," Sodium fraction of cations, water, percent in equivalents of major cations"," Potassium, water, filtered, milligrams per liter"," Chloride, water, filtered, milligrams per liter"," Sulfate, water, filtered, milligrams per liter"," Fluoride, water, filtered, milligrams per liter"," Silica, water, filtered, milligrams per liter as SiO2"," Arsenic, water, filtered, micrograms per liter"," Arsenic, water, unfiltered, micrograms per liter"," Cadmium, water, filtered, micrograms per liter"," Cadmium, water, unfiltered, micrograms per liter"," Copper, water, filtered, micrograms per liter"," Copper, water, unfiltered, recoverable, micrograms per liter"," Iron, water, unfiltered, recoverable, micrograms per liter"," Iron, water, filtered, micrograms per liter"," Lead, water, filtered, micrograms per liter"," Lead, water, unfiltered, recoverable, micrograms per liter"," Manganese, water, unfiltered, recoverable, micrograms per liter"," Manganese, water, filtered, micrograms per liter"," Zinc, water, filtered, micrograms per liter"," Zinc, water, unfiltered, recoverable, micrograms per liter"," Gage height, above datum, meters"," Discharge, cubic meters per second"," Discharge, instantaneous, cubic meters per second"," Transit rate, sampler, minimum, feet per second"," Transit rate, sampler, feet per second"," Transit rate, sampler, maximum, feet per second"," Site visit purpose, code"," Turbidity, water, unfiltered, monochrome near infra"," Dissolved solids, water, filtered, sum of constituents, milligrams per liter"," Dissolved solids, water, short tons per day"," Dissolved solids, water, filtered, short tons per acre"," Suspended sediment, sieve diameter, percent smaller than 0.0625 millimeters"," Sample purpose, code"," Sample location, distance downstream, feet"," Sample location, distance upstream, feet"," Sampler nozzle material, code"," Sampler nozzle diameter, code"," Suspended sediment concentration, milligrams per liter"," Suspended sediment discharge, short tons per day"," Velocity at point in stream, feet per second"," Sampling method, code"," Sampler type, code"," Sample splitter type, field, code"," Bottle or bag sampler material (construction), code"," Specific conductance, water, unfiltered, laboratory, microsiemens per centimeter at 25 degrees Celsius"," Acid neutralizing capacity, water, unfiltered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbonate"," Suspended sediment, sediment mass recovered from whole water sample, dry weight, grams"," Suspended sediment, smaller than 0.063 mm sieve diameter, sediment mass recovered from whole water sample, dry weight, grams"," Suspended sediment, larger than 0.063 mm sieve diameter, sediment mass recovered from whole water sample, dry weight, grams"," Suspended sediment, between 0.063 and 4 mm sieve diameter, sediment mass analyzed for particle size fractions, dry weight, grams"," Type of replicate, code"," Type of quality assurance data associated with sample, code"," Sulfuric acid NWIS lot number, 4.5 N (1:7), 1 mL, National Field Supply Service (NFSS) stock number Q438FLD"," Nitric acid NWIS lot number, 7.5"," Conductance standard NWIS lot number, 100 uS/cm KCl, National Field Supply Service (NFSS) stock number Q43FLD"," Conductance standard NWIS lot number, 500 uS/cm KCl, National Field Supply Service (NFSS) stock number Q45FLD"," Conductance standard NWIS lot number, 750 uS/cm KCl, National Field Supply Service (NFSS) stock number Q46FLD"," Conductance standard NWIS lot number, 1000 uS/cm KCl, National Field Supply Service (NFSS) stock number Q47FLD"," pH 10 Buffer solution, NWIS lot number, National Field Supply Service (NFSS) stock numbers Q122FLD, Q123FLD"," pH 4 Buffer solution, NWIS lot number, National Field Supply Service (NFSS) stock numbers Q124FLD, Q125FLD"," pH 7 Buffer solution, NWIS lot number, National Field Supply Service (NFSS) stock numbers Q126FLD, Q127FLD"," Lot number, first, inorganic"," NWIS lot number, capsule filter, 0.45 micron"," NWIS lot number, disk filter, 0.45 micron"," Julian date, in"
USGS,12331800,BN,2/2/1995,2,2,1995,12:30,,,MST,T,USGS-WRD,WS,,,,1.5,7,,,80020,,,2370,,5.68,233,0.00001,8,6.8,1.6,91.3,26,6.4,5.6,0.26,10,10,4.9,25,0.2,10,12,30,< 0.1,< 1.0,14,97,3720,140,0.9,26,550,50,18,210,1.73,,67,,,,,,137,876,0.19,63,,,,,,222,1420,,20,3036,,,253,81,,,,,,,,,,,,,,,,,,,95054
USGS,12331800,BN,3/10/1995,10,3,1995,12:45,,,MST,T,USGS-WRD,WS,,,,5,15.5,,,80020,,,749,,3.87,429,0.00001,8.2,7.7,1.7,197,56,14,12,0.37,11,3.5,6.1,68,0.4,18,9,31,< 0.1,< 1.0,6,100,2700,14,< 0.5,28,400,12,10,170,1.18,,21,,,,,,263,532,0.36,77,,,,,,155,313,,20,3036,,,437,142,,,,,,,,,,,,,,,,,,,95081
USGS,12331800,BN,3/23/1995,23,3,1995,13:30,,,MST,T,USGS-WRD,WS,,,,7,12,,,80020,,,534,,3.47,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,4/11/1995,11,4,1995,13:05,,,MDT,T,USGS-WRD,WS,,,,6,11.5,,,80020,,,598,,3.61,459,0.00001,8.3,7.8,1.4,212,60,15,13,0.39,12,3.3,6.3,78,0.5,16,7,11,< 0.1,< 1.0,5,22,440,6,< 0.5,3,70,16,7,30,1.1,,17,,,,,,282,455,0.38,76,,,,,,22,36,,10,3044,,,463,150,,,,,30,30,,,,,,,,,,,,,95115
USGS,12331800,BN,4/26/1995,26,4,1995,12:15,,,MDT,T,USGS-WRD,WS,,,,8,11,,,80020,,,582,,3.58,450,M ,8.5,7.9,0.9,205,59,14,12,0.36,11,3.2,5.9,79,0.5,14,9,11,< 0.1,< 1.0,5,19,380,7,< 0.5,3,80,15,4,30,1.09,,16,,,,,,277,435,0.38,86,,,,,,18,28,,10,3044,,,447,149,,,,,,,,,,,,,,,,,,,95129
USGS,12331800,BN,5/9/1995,9,5,1995,13:00,,,MDT,T,USGS-WRD,WS,,,,10,17,,,80020,,,1180,,4.48,351,0.00001,8.2,7.4,1.4,153,43,11,9.8,0.35,12,3.1,4.1,57,0.3,16,10,24,< 0.1,< 1.0,6,86,2600,34,< 0.5,15,320,15,4,140,1.37,,33,,,,,,213,678,0.29,66,,,,,,147,468,,20,3036,,,357,114,,,,,,,,,,,,,,,,,,,143
USGS,12331800,BN,5/23/1995,23,5,1995,12:25,,,MDT,T,USGS-WRD,WS,,,,11,18,,,80020,,,1500,,4.84,287,0.00001,8.2,7.7,1.2,123,36,8.1,7.4,0.29,11,2.3,2.8,39,0.3,16,11,18,< 0.1,< 1.0,9,57,1400,23,< 0.5,9,170,14,6,80,1.48,,42,,,,,,172,696,0.23,62,,,,,,77,312,,20,3036,,,289,100,,,,,,,,,,,,,,,,,,,157
USGS,12331800,BN,6/6/1995,6,6,1995,16:45,,,MDT,T,USGS-WRD,WS,,,,8,5.5,,,80020,,,3300,,6.71,281,0.00001,8.2,7.5,1.3,122,36,7.8,8.1,0.32,12,3.4,2.7,35,0.3,17,19,62,< 0.1,2,21,360,8800,54,0.6,56,880,34,16,490,2.05,,93,,,,,,172,1530,0.23,63,,,,,,530,4720,,20,3036,,,293,103,,,,,,,,,,,,,,,,,,,171
USGS,12331800,BN,6/8/1995,8,6,1995,16:10,,,MDT,T,USGS-WRD,WS,,,,8.5,7.5,,,80020,,,3010,,6.49,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,6/21/1995,21,6,1995,8:15,,,MDT,T,USGS-WRD,WS,,,,13,21,,,80020,,,1920,,5.34,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,7/12/1995,12,7,1995,13:35,,,MDT,T,USGS-WRD,WS,,,,16.5,21,,,80020,,,1540,,4.92,364,0.00001,8.3,7.9,1.4,160,46,11,10,0.34,12,3.1,3.5,38,0.4,20,15,27,< 0.1,< 1.0,9,51,1200,12,< 0.5,10,220,22,7,80,1.5,,44,,,,,,218,906,0.3,70,,,,,,73,304,,20,3036,,,365,143,,,,,,,,,,,,,,,,,,,206
USGS,12331800,BN,7/26/1995,26,7,1995,18:20,,,MDT,T,USGS-WRD,WS,,,,19,28,,,80020,,,607,,3.63,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,8/8/1995,8,8,1995,15:15,,,MDT,T,USGS-WRD,WS,,,,16.5,20,,,80020,,,344,,3.07,506,M ,8.5,8.1,1.1,224,65,15,14,0.41,12,3.7,5.3,80,0.5,24,14,16,< 0.1,< 1.0,6,8,80,4,< 0.5,< 1.0,30,15,8,< 10,0.94,,9.7,,,,,,314,292,0.43,91,,,,,,2,1.9,,10,3044,,,494,178,,,,,,,,,,,,,,,,,,,229
USGS,12331800,BN,9/28/1995,28,9,1995,11:30,,,MDT,T,USGS-WRD,WS,,,,11,13,,,80020,,,626,,3.63,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,10/3/1995,3,10,1995,13:00,,,MDT,T,USGS-WRD,WS,,,,10.5,14.5,,,1028,,,668,,3.69,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,10/11/1995,11,10,1995,12:45,,,MDT,T,USGS-WRD,WS,,,,10,15,,,1028,,,703,,3.79,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,12/15/1995,15,12,1995,10:00,,,MST,T,USGS-WRD,WS,,,,3.5,0,,,1028,,,812,,3.89,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,2/8/1996,8,2,1996,16:45,,,MST,T,USGS-WRD,WS,,,,0.5,3,,,80020,,,3520,,6.75,189,0.00002,7.8,,,73.9,21,5.2,,,,,,,,,11,27,< 0.1,< 1.0,16,120,3300,150,0.9,19,420,39,20,210,2.06,,100,,,,,,,,,38,,,,,,289,2750,,20,3036,,,,,,,,,,,,,,,,,,,,,,,52
USGS,12331800,BN,2/9/1996,9,2,1996,16:40,,,MST,T,USGS-WRD,WS,,,,0,8.5,,,1028,,,9260,,9.82,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99,,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,2/14/1996,14,2,1996,16:20,,,MST,T,USGS-WRD,WS,,,,4,10,,,1028,,,1370,,4.81,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,3/13/1996,13,3,1996,12:50,,,MST,T,USGS-WRD,WS,,,,4.5,12,,,80020,,,1280,,4.69,338,0.00001,8.2,,,151,44,10,,,,,,,,,11,27,< 0.1,< 1.0,17,110,2300,55,< 0.5,14,230,16,14,150,1.43,,36,,,,,,,,,79,,,,,,126,435,,20,3036,,,,,,,,,,,,,,,,,,,,,,,88
USGS,12331800,BN,3/14/1996,14,3,1996,17:30,,,MST,T,USGS-WRD,WS,,,,6.5,10,,,1028,,,1040,,4.38,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,4/1/1996,1,4,1996,13:00,,,MST,T,USGS-WRD,WS,,,,6,8,,,1028,,,733,,3.85,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,4/17/1996,17,4,1996,11:00,,,MDT,T,USGS-WRD,WS,,,,7,14.5,,,80020,,,1720,,5.2,337,0.00001,8.1,,,151,44,10,,,,,,,,,10,19,< 0.1,< 1.0,9,66,1300,50,< 0.5,12,160,17,7,80,1.58,,49,,,,,,,,,70,,,,,,83,385,,20,3036,,,,,,,,,,,,,,,,,,,,,,,117
USGS,12331800,BN,5/17/1996,17,5,1996,7:00,,,MDT,T,USGS-WRD,WS,,,,9,10,,,80020,,,2270,,5.74,264,0.00001,8,,,118,35,7.5,,,,,,,,,13,40,< 0.1,1,13,200,3900,31,< 0.5,31,380,15,10,250,1.75,,64,,,,,,,,,65,,,,,,259,1590,,20,3036,,,,,,,,,,,,,,,,,,,,,,,158
USGS,12331800,BN,5/21/1996,21,5,1996,19:20,,,MDT,T,USGS-WRD,WS,,,,10.5,16,,,1028,,,2310,,5.83,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,6/5/1996,5,6,1996,13:00,,,MDT,T,USGS-WRD,WS,,,,13,21,,,80020,,,2670,,6.09,245,0.00001,8,,,111,33,6.9,,,,,,,,,13,30,< 0.1,< 1.0,13,92,2300,27,< 0.5,23,240,23,5,120,1.86,,76,,,,,,,,,61,,,,,,149,1070,,20,3036,,,,,,,,,,,,,,,,,,,,,,,170
USGS,12331800,BN,6/19/1996,19,6,1996,17:00,,,MDT,T,USGS-WRD,WS,,,,,,,,1028,,,1900,,5.36,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,7/9/1996,9,7,1996,15:30,,,MDT,T,USGS-WRD,WS,,,,20.5,36.5,,,1028,,,649,,3.69,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,7/11/1996,11,7,1996,9:30,,,MDT,T,USGS-WRD,WS,,,,16.5,22,,,1028,,,629,,3.64,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,7/23/1996,23,7,1996,9:15,,,MDT,T,USGS-WRD,WS,,,,17,21,,,80020,,,466,,3.27,475,0.00001,8.3,,,215,63,14,,,,,,,,,15,19,< 0.1,< 1.0,6,20,270,7,< 0.5,3,70,17,6,20,1,,13,,,,,,,,,84,,,,,,16,20,,10,3044,,,,,,,,,,,,,,,,,,,,,,,220
USGS,12331800,BN,8/7/1996,7,8,1996,11:00,,,MDT,T,USGS-WRD,WS,,,,18,21,,,1028,,,371,,3,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,8/8/1996,8,8,1996,15:30,,,MDT,T,USGS-WRD,WS,,,,20,32,,,1028,,,337,,2.95,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,9/10/1996,10,9,1996,14:00,,,MDT,T,USGS-WRD,WS,,,,16.5,25,,,1028,,,371,,3.01,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,9/24/1996,24,9,1996,13:50,,,MDT,T,USGS-WRD,WS,,,,9.5,8,,,1028,,,544,,3.49,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,11/13/1996,13,11,1996,15:15,,,MST,T,USGS-WRD,WS,,,,4,,,,1028,,,603,,3.61,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,12/10/1996,10,12,1996,15:20,,,MST,T,USGS-WRD,WS,,,,3,2.5,,,80020,,,663,,3.7,465,0.00001,8.3,,,205,59,14,,,,,,,,,7,13,< 0.1,< 1.0,4,33,660,5,< 0.5,5,120,18,5,50,1.13,,19,,,,,,,,,81,,,,,,36,64,,10,3044,,,,,,,,,,,,,,,,,,,,,,,366
USGS,12331800,BN,1/7/1997,7,1,1997,14:30,,,MST,T,USGS-WRD,WS,,,,1,2,,,1028,,,843,,3.87,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,1/29/1997,29,1,1997,12:00,,,MST,T,USGS-WRD,WS,,,,2,2,,,1028,,,577,,3.44,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,2/26/1997,26,2,1997,11:10,,,MST,T,USGS-WRD,WS,,,,2.5,1,,,1028,,,638,,3.57,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,3/5/1997,5,3,1997,9:55,,,MST,T,USGS-WRD,WS,,,,2.5,4,,,80020,,,584,,3.47,473,0.00001,8.3,,,214,61,15,,,,,,,,,9,11,< 0.1,< 1.0,4,21,450,< 3.0,< 0.5,3,70,25,11,40,1.06,,17,,,,,,,,,79,,,,,,22,35,,10,3044,,,,,,,,,,,,,,,,,,,,,,,73
USGS,12331800,BN,4/11/1997,11,4,1997,10:30,,,MDT,T,USGS-WRD,WS,,,,2,-4,,,1028,,,829,,3.89,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,4/23/1997,23,4,1997,13:00,,,MDT,T,USGS-WRD,WS,,,,7.5,10.5,,,80020,,,1410,,4.72,340,0.00001,8.2,,,151,43.1,10.6,,,,,,,,,9,18,< 0.1,< 1.0,7.4,49.8,1450,67.9,< 0.5,8.7,160,11,< 3.0,70,1.44,,40,,,,,,,,,65,,,,,,96,365,,20,3036,,,,,,,,,,,,,,,,,,,,,,,127
USGS,12331800,BN,5/7/1997,7,5,1997,8:20,,,MDT,T,USGS-WRD,WS,,,,8,11,,,80020,,,1620,,4.98,323,0.00001,8.1,,,139,40.4,9.33,,,,,,,,,10,25,< 0.1,< 1.0,8.4,66.6,1900,57.2,< 0.5,13.5,230,10.8,5.7,100,1.52,,46,,,,,,,,,65,,,,,,111,485,,20,3036,,,,,,,,,,,,,,,,,,,,,,,140
USGS,12331800,BN,5/17/1997,17,5,1997,17:15,,,MDT,T,USGS-WRD,WS,,,,14,24,,,80020,,,3480,,6.68,226,0.00001,8.1,,,94,27.9,5.92,,,,,,,,,16,49,< 0.1,1.3,17.4,217,5250,60.2,< 0.5,35.6,500,27.1,11.6,290,2.04,,99,,,,,,,,,64,,,,,,356,3340,,20,3036,,,,,,,,,,,,,,,,,,,,,,,150
USGS,12331800,BN,5/19/1997,19,5,1997,15:00,,,MDT,T,USGS-WRD,WS,,,,11,24.5,,,1028,,,3550,,6.79,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,6/1/1997,1,6,1997,18:10,,,MDT,T,USGS-WRD,WS,,,,15,21,,,80020,,,3860,,6.96,252,0.00001,8.1,,,108,31.9,6.83,,,,,,,,,19,38,< 0.1,< 1.0,18.3,145,3550,42.1,< 0.5,24.5,340,31.4,10.7,180,2.12,,109,,,,,,,,,63,,,,,,238,2480,,20,3036,,,,,,,,,,,,,,,,,,,,,,,164
USGS,12331800,BN,6/12/1997,12,6,1997,11:30,,,MDT,T,USGS-WRD,WS,,,,15,,,,1028,,,4900,,7.68,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,6/22/1997,22,6,1997,13:15,,,MDT,T,USGS-WRD,WS,,,,13.5,17,,,80020,,,2890,,6.21,309,0.00001,8.2,,,139,41.1,8.8,,,,,,,,,20,30,0.1,< 1.0,12.3,77.3,1420,21.2,< 0.5,10.5,170,47.5,3.8,90,1.89,,82,,,,,,,,,60,,,,,,91,710,,20,3036,,,,,,,,,,,,,,,,,,,,,,,189
USGS,12331800,BN,7/2/1997,2,7,1997,13:25,,,MDT,T,USGS-WRD,WS,,,,13,19,,,1028,,,2580,,5.92,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,8/11/1997,11,8,1997,15:10,,,MDT,T,USGS-WRD,WS,,,,18,31,,,80020,,,716,,3.7,431,M ,8.4,,,198,56.9,13.6,,,,,,,,,15,16,< 0.1,< 1.0,6.5,15.6,230,3.5,< 0.5,2.1,50,15.9,< 3.0,20,1.13,,20,,,,,,,,,82,,,,,,13,25,,10,3044,,,,,,,,,,,,,,,,,,,,,,,231
USGS,12331800,BN,8/13/1997,13,8,1997,13:45,,,MDT,T,USGS-WRD,WS,,,,17,22.5,,,1028,,,653,,3.61,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,10/7/1997,7,10,1997,14:00,,,MDT,T,USGS-WRD,WS,,,,9,5,,,1028,,,873,,3.99,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,11/4/1997,4,11,1997,7:50,,,MST,T,USGS-WRD,WS,,,,5,6,,,80020,,,884,,4.01,437,M ,8.4,,,195,55.3,13.9,,,,,,,,,8,9,< 0.1,< 1.0,3,11.6,230,< 5.0,< 0.6,2.2,60,12.3,< 10.0,20,1.22,,25,,,,,,,,,90,,,,,,11,26,,10,3044,,,,,,,,,,,,,,,,,,,,,,,325
USGS,12331800,BN,11/21/1997,21,11,1997,14:30,,,MST,T,USGS-WRD,WS,,,,3,4,,,1028,,,786,,3.86,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,1/13/1998,13,1,1998,12:00,,,MST,T,USGS-WRD,WS,,,,2.5,-10,,,1028,,,337,,2.8,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,3/9/1998,9,3,1998,15:30,,,MST,T,USGS-WRD,WS,,,,3.5,2,,,1028,,,592,,3.41,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,3/12/1998,12,3,1998,10:55,,,MST,T,USGS-WRD,WS,,,,4.5,4,,,80020,,,593,,3.42,457,M ,8.5,,,206,58.1,14.7,,,,,,,,,7,9,< 0.1,< 1.0,4.4,17.1,300,< 5.0,< 0.6,2,70,25.4,< 10.0,30,1.04,,17,,,,,,,,,76,,,,,,20,32,,10,3044,,,,,,,,,,,,,,,,,,,,,,,84
USGS,12331800,BN,4/16/1998,16,4,1998,11:30,,,MDT,T,USGS-WRD,WS,,,,7,10.5,,,80020,,,758,,3.78,422,0.00001,8.3,,,190,54.4,13.2,,,,,,,,,7,10,< 0.1,< 1.0,4.2,18.1,400,9,M ,2.8,80,20.5,< 10.0,30,1.15,,21,,,,,,,,,53,,,,,,33,68,,10,3044,,,,,,,,,,,,,,,,,,,,,,,114
USGS,12331800,BN,5/6/1998,6,5,1998,8:10,,,MDT,T,USGS-WRD,WS,,,,12,10.5,,,80020,,,1200,,4.36,300,0.00001,8.1,,,127,36.9,8.5,,,,,,,,,9,19,< 0.1,< 1.0,6.7,46.1,1340,21.7,< 0.6,10.6,180,9.6,< 10.0,80,1.33,,34,,,,,,,,,74,,,,,,79,256,,20,3036,,,,,,,,,,,,,,,,,,,,,,,133
USGS,12331800,BN,5/13/1998,13,5,1998,13:10,,,MDT,T,USGS-WRD,WS,,,,13.5,19,,,80020,,,817,,3.9,331,M ,8.4,,,147,42.3,10.1,,,,,,,,,10,11,< 0.1,< 1.0,5.9,23,380,8,< 0.6,4,70,14.9,< 10.0,30,1.19,,23,,,,,,,,,84,,,,,,21,46,,20,3036,,,,,,,,,,,,,,,,,,,,,,,146
USGS,12331800,BN,6/2/1998,2,6,1998,8:45,,,MDT,T,USGS-WRD,WS,,,,12,10,,,80020,,,1220,,4.41,367,0.00001,8.3,,,164,47,11.3,,,,,,,,,12,14,< 0.1,< 1.0,6.5,30.3,600,11.4,< 0.6,4.9,100,10.2,< 10.0,40,1.34,,35,,,,,,,,,66,,,,,,40,132,,20,3036,,,,,,,,,,,,,,,,,,,,,,,166
USGS,12331800,BN,6/16/1998,16,6,1998,13:15,,,MDT,T,USGS-WRD,WS,,,,11,,,,1028,,,1540,,4.7,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,6/29/1998,29,6,1998,16:00,,,MDT,T,USGS-WRD,WS,,,,16,23.5,,,80020,,,3170,,6.22,303,0.00001,8.2,,,137,39.6,9.33,,,,,,,,,15,20,0.2,< 1.0,9.1,57.2,1580,31.8,< 0.6,10.3,160,21.9,< 10.0,90,1.9,,90,,,,,,,,,58,,,,,,115,984,,20,3036,,,,,,,,,,,,,,,,,,,,,,,197
USGS,12331800,BN,7/23/1998,23,7,1998,15:15,,,MDT,T,USGS-WRD,WS,,,,21.5,28,,,1028,,,781,,3.8,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,8/11/1998,11,8,1998,8:30,,,MDT,T,USGS-WRD,WS,,,,18.5,22,,,1028,,,538,,3.38,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
