agency_cd,SITE,datetime,Day,Month,Year,Temp_Mean,10s,Temp Max,10s,Temp Min,10s,Discharge_CFS,10s
USGS,12324200,8/16/1997,16,8,1997,14.5,A,16.5,A,13,A,320,A
USGS,12324200,8/17/1997,17,8,1997,15,A,17,A,13,A,348,A
USGS,12324200,8/18/1997,18,8,1997,16,A,17.5,A,15,A,367,A
USGS,12324200,8/19/1997,19,8,1997,16,A,18,A,14,A,399,A
USGS,12324200,8/20/1997,20,8,1997,16.5,A,18.5,A,14.5,A,357,A
USGS,12324200,8/21/1997,21,8,1997,17,A,19.5,A,14.5,A,360,A
USGS,12324200,8/22/1997,22,8,1997,17.5,A,19.5,A,15,A,350,A
USGS,12324200,8/23/1997,23,8,1997,17.5,A,19.5,A,15,A,333,A
USGS,12324200,8/24/1997,24,8,1997,16.5,A,18.5,A,15.5,A,323,A
USGS,12324200,8/25/1997,25,8,1997,16,A,18.5,A,13.5,A,322,A
USGS,12324200,8/26/1997,26,8,1997,17,A,19.5,A,14.5,A,325,A
USGS,12324200,8/27/1997,27,8,1997,17,A,19.5,A,15,A,337,A
USGS,12324200,8/28/1997,28,8,1997,16.5,A,18.5,A,14.5,A,329,A
USGS,12324200,8/29/1997,29,8,1997,16,A,18.5,A,14,A,315,A
USGS,12324200,8/30/1997,30,8,1997,16,A,18,A,14,A,298,A
USGS,12324200,8/31/1997,31,8,1997,16,A,17.5,A,14,A,295,A
USGS,12324200,9/1/1997,1,9,1997,16,A,18,A,14.5,A,292,A
USGS,12324200,9/2/1997,2,9,1997,16,A,18,A,14.5,A,285,A
USGS,12324200,9/3/1997,3,9,1997,16,A,18,A,14.5,A,283,A
USGS,12324200,9/4/1997,4,9,1997,15.5,A,18,A,13.5,A,305,A
USGS,12324200,9/5/1997,5,9,1997,15,A,16.5,A,13.5,A,294,A
USGS,12324200,9/6/1997,6,9,1997,15,A,17.5,A,13,A,297,A
USGS,12324200,9/7/1997,7,9,1997,15,A,16.5,A,13,A,292,A
USGS,12324200,9/8/1997,8,9,1997,15,A,17,A,12.5,A,291,A
USGS,12324200,9/9/1997,9,9,1997,15,A,17,A,12.5,A,287,A
USGS,12324200,9/10/1997,10,9,1997,14,A,16,A,13,A,277,A
USGS,12324200,9/11/1997,11,9,1997,13,A,13.5,A,12,A,283,A
USGS,12324200,9/12/1997,12,9,1997,13,A,14.5,A,12.5,A,305,A
USGS,12324200,9/13/1997,13,9,1997,13,A,15,A,11,A,313,A
USGS,12324200,9/14/1997,14,9,1997,14.5,A,16.5,A,12.5,A,317,A
USGS,12324200,9/15/1997,15,9,1997,13,A,15,A,12,A,316,A
USGS,12324200,9/16/1997,16,9,1997,12,A,13,A,11,A,330,A
USGS,12324200,9/17/1997,17,9,1997,10.5,A,12,A,9.5,A,329,A
USGS,12324200,9/18/1997,18,9,1997,10.5,A,12.5,A,8.5,A,323,A
USGS,12324200,9/19/1997,19,9,1997,11,A,13,A,9.5,A,317,A
USGS,12324200,9/20/1997,20,9,1997,11,A,12.5,A,8.5,A,324,A
USGS,12324200,9/21/1997,21,9,1997,11,A,13,A,9,A,337,A
USGS,12324200,9/22/1997,22,9,1997,12,A,14,A,10,A,338,A
USGS,12324200,9/23/1997,23,9,1997,12.5,A,14.5,A,11,A,334,A
USGS,12324200,9/24/1997,24,9,1997,12,A,14,A,10,A,310,A
USGS,12324200,9/25/1997,25,9,1997,12.5,A,14.5,A,10.5,A,294,A
USGS,12324200,9/26/1997,26,9,1997,13.5,A,14,A,12.5,A,288,A
USGS,12324200,9/27/1997,27,9,1997,12,A,13,A,11,A,295,A
USGS,12324200,9/28/1997,28,9,1997,10.5,A,12,A,8.5,A,300,A
USGS,12324200,9/29/1997,29,9,1997,11.5,A,13.5,A,9,A,297,A
USGS,12324200,9/30/1997,30,9,1997,12,A,13.5,A,10.5,A,291,A
USGS,12324200,10/1/1997,1,10,1997,12,A,13.5,A,11,A,279,A
USGS,12324200,10/2/1997,2,10,1997,12,A,12.5,A,11.5,A,281,A
USGS,12324200,10/3/1997,3,10,1997,10.5,A,11.5,A,9,A,277,A
USGS,12324200,10/4/1997,4,10,1997,10,A,10.5,A,9,A,280,A
